Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,3,3,0,0
Mar 19,7,7,0,0
Mar 20,12,12,0,0
Mar 21,14,13,1,1
Mar 22,28,26,2,2
Mar 23,36,34,2,2
Mar 24,42,40,2,2
Mar 25,48,46,2,2
Mar 26,81,79,2,2
Mar 27,94,92,2,2
Mar 28,102,100,2,2
Mar 29,107,104,3,3
Mar 30,128,125,3,3
Mar 31,143,138,5,5
Apr 01,161,155,6,6
Apr 02,169,162,7,7
Apr 03,186,179,7,7
Apr 04,196,182,7,14
Apr 05,227,213,7,14
Apr 06,244,230,7,14
Apr 07,268,253,7,15
Apr 08,273,247,7,26
Apr 09,314,284,7,30
Apr 10,318,286,9,32
Apr 11,319,282,9,37
Apr 12,324,273,9,51
Apr 13,324,273,9,51
Apr 14,324,264,9,60
Apr 15,324,250,9,74
Apr 16,324,234,9,90
Apr 17,324,207,9,117
Apr 18,325,136,9,189
Apr 19,328,111,9,217
Apr 20,328,95,9,233
Apr 21,328,76,9,252
Apr 22,329,59,9,270
Apr 23,331,56,9,275
Apr 24,331,37,9,294
Apr 25,331,27,9,304
Apr 26,332,24,9,308
Apr 27,334,22,10,312
Apr 28,334,21,10,313
