Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,3,3,0,0
Mar 19,7,7,0,0
Mar 20,12,12,0,0
Mar 21,14,13,1,1
Mar 22,28,26,2,2
Mar 23,36,34,2,2
Mar 24,42,40,2,2
Mar 25,48,46,2,2
Mar 26,81,79,2,2
Mar 27,94,92,2,2
Mar 28,102,100,2,2
Mar 29,107,104,3,3
Mar 30,128,125,3,3
Mar 31,143,138,5,5
Apr 01,161,155,6,6
Apr 02,169,162,7,7
Apr 03,186,179,7,7
Apr 04,196,182,7,14
Apr 05,227,213,7,14
Apr 06,244,230,7,14
Apr 07,268,253,7,15
Apr 08,273,247,7,26
Apr 09,314,284,7,30
Apr 10,318,286,9,32
Apr 11,319,282,9,37
Apr 12,324,273,9,51
Apr 13,324,273,9,51
Apr 14,324,264,9,60
Apr 15,324,250,9,74
Apr 16,324,234,9,90
Apr 17,324,207,9,117
Apr 18,325,136,9,189
Apr 19,328,111,9,217
Apr 20,328,95,9,233
Apr 21,328,76,9,252
Apr 22,329,59,9,270
Apr 23,331,56,9,275
Apr 24,331,37,9,294
Apr 25,331,27,9,304
Apr 26,332,24,9,308
Apr 27,332,20,10,312
Apr 28,332,19,10,313
Apr 29,332,16,10,316
Apr 30,332,12,10,320
May 01,332,10,10,322
May 02,332,8,10,324
May 03,332,7,10,325
May 04,332,6,10,326
May 05,332,3,10,329
May 06,332,2,10,330
May 07,332,2,10,330
May 08,332,2,10,330
May 09,332,2,10,330
May 10,332,2,10,330
May 11,332,0,10,332
May 12,332,0,10,332
May 13,332,0,10,332
May 14,332,0,10,332
May 15,332,0,10,332
May 16,332,0,10,332
May 17,332,0,10,332
May 18,332,0,10,332
May 19,332,0,10,332
May 20,332,0,10,332
May 21,332,0,10,332
May 22,332,0,10,332
May 23,332,0,10,332
May 24,334,2,10,332
May 25,334,2,10,332
May 26,334,2,10,332
May 27,334,2,10,332
May 28,334,2,10,332
May 29,335,3,10,332
May 30,335,3,10,332
May 31,335,3,10,332
Jun 01,335,3,10,332
Jun 02,335,3,10,332
Jun 03,335,3,10,332
Jun 04,335,3,10,332
Jun 05,337,3,10,334
Jun 06,337,3,10,334
Jun 07,337,3,10,334
Jun 08,337,3,10,334
Jun 09,337,3,10,334
Jun 10,337,2,10,335
Jun 11,337,2,10,335
Jun 12,337,2,10,335
Jun 13,337,2,10,335
Jun 14,337,2,10,335
Jun 15,337,2,10,335
Jun 16,337,2,10,335
Jun 17,337,2,10,335
Jun 18,337,2,10,335
Jun 19,337,2,10,335
Jun 20,337,1,10,336
Jun 21,337,1,10,336
Jun 22,340,4,10,336
Jun 23,340,4,10,336
Jun 24,341,5,10,336
Jun 25,341,5,10,336
Jun 26,341,5,10,336
Jun 27,341,5,10,336
Jun 28,341,5,10,336
Jun 29,341,5,10,336
Jun 30,341,5,10,336
Jul 01,341,5,10,336
Jul 02,341,1,10,340
Jul 03,341,1,10,340
Jul 04,341,1,10,340
Jul 05,341,1,10,340
Jul 06,342,2,10,340
Jul 07,342,2,10,340
Jul 08,342,2,10,340
Jul 09,342,2,10,340
Jul 10,342,2,10,340
Jul 11,342,2,10,340
Jul 12,342,2,10,340
Jul 13,342,2,10,340
Jul 14,342,2,10,340
Jul 15,343,2,10,341
Jul 16,343,2,10,341
Jul 17,343,2,10,341
Jul 18,343,2,10,341
Jul 19,343,2,10,341
Jul 20,343,1,10,342
Jul 21,343,1,10,342
Jul 22,343,1,10,342
Jul 23,343,1,10,342
Jul 24,344,2,10,342
Jul 25,344,2,10,342
Jul 26,344,2,10,342
Jul 27,344,2,10,342
Jul 28,344,2,10,342
Jul 29,344,2,10,342
Jul 30,344,2,10,342
Jul 31,344,2,10,342
Aug 01,344,2,10,342
Aug 02,344,2,10,342
Aug 03,344,0,10,344
Aug 04,344,0,10,344
Aug 05,344,0,10,344
Aug 06,344,0,10,344
Aug 07,344,0,10,344
Aug 08,344,0,10,344
Aug 09,344,0,10,344
Aug 10,344,0,10,344
Aug 11,344,0,10,344
Aug 12,344,0,10,344
Aug 13,344,0,10,344
Aug 14,345,1,10,344
Aug 15,346,2,10,344
Aug 16,346,2,10,344
Aug 17,346,2,10,344
Aug 18,346,2,10,344
Aug 19,346,2,10,344
Aug 20,346,2,10,344
