Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,1,1,0,0
Mar 15,1,1,0,0
Mar 16,2,2,0,0
Mar 17,3,3,0,0
Mar 18,3,3,0,0
Mar 19,4,4,0,0
Mar 20,7,7,0,0
Mar 21,11,11,0,0
Mar 22,11,11,0,0
Mar 23,24,24,0,0
Mar 24,36,36,0,0
Mar 25,36,36,0,0
Mar 26,36,36,0,0
Mar 27,50,50,0,0
Mar 28,63,63,0,0
Mar 29,63,63,0,0
Mar 30,82,72,0,10
Mar 31,94,83,1,11
Apr 01,101,90,1,11
Apr 02,116,105,1,11
Apr 03,128,116,2,12
Apr 04,134,118,2,16
Apr 05,147,131,2,16
Apr 06,164,147,2,17
Apr 07,171,147,2,24
Apr 08,184,160,2,24
Apr 09,184,156,2,28
Apr 10,191,139,2,52
Apr 11,196,134,3,62
Apr 12,196,134,3,62
Apr 13,207,145,3,62
Apr 14,217,145,3,72
Apr 15,217,145,3,72
Apr 16,233,161,3,72
Apr 17,245,124,4,121
Apr 18,254,133,4,121
Apr 19,271,150,4,121
Apr 20,271,150,4,121
Apr 21,311,190,4,121
Apr 22,326,197,4,129
Apr 23,326,197,4,129
Apr 24,354,206,4,148
Apr 25,380,232,4,148
Apr 26,401,253,4,148
Apr 27,401,253,4,148
Apr 28,460,221,4,239
Apr 29,460,221,4,239
Apr 30,539,300,4,239
May 01,539,300,4,239
May 02,596,355,6,241
May 03,650,409,6,241
May 04,686,328,6,358
May 05,739,378,9,361
May 06,739,378,9,361
May 07,854,492,10,362
May 08,854,492,10,362
May 09,988,485,11,503
May 10,1023,520,11,503
May 11,1023,520,11,503
May 12,1095,591,12,504
May 13,1143,502,14,641
May 14,1210,567,16,643
May 15,1210,567,16,643
May 16,1312,667,18,645
May 17,1342,697,18,645
May 18,1370,725,18,645
May 19,1370,725,18,645
May 20,1475,562,19,913
May 21,1475,562,19,913
May 22,1521,608,19,913
May 23,1521,608,19,913
May 24,1587,673,20,914
May 25,1609,695,20,914
May 26,1634,720,20,914
May 27,1645,311,20,1334
May 28,1670,334,21,1336
May 29,1699,293,21,1406
May 30,1699,293,21,1406
May 31,1699,293,21,1406
Jun 01,1934,437,24,1497
Jun 02,1986,489,24,1497
Jun 03,1993,446,24,1547
Jun 04,2058,510,25,1548
Jun 05,2079,531,25,1548
Jun 06,2079,531,25,1548
Jun 07,2079,531,25,1548
Jun 08,2151,472,25,1679
Jun 09,2175,493,28,1682
Jun 10,2226,544,28,1682
Jun 11,2240,558,28,1682
Jun 12,2268,450,28,1818
Jun 13,2282,464,28,1818
Jun 14,2298,479,29,1819
Jun 15,2310,223,29,2087
Jun 16,2333,246,29,2087
Jun 17,2345,250,29,2095
Jun 18,2383,288,29,2095
Jun 19,2394,299,29,2095
Jun 20,2404,307,31,2097
Jun 21,2404,307,31,2097
Jun 22,2434,215,31,2219
Jun 23,2434,215,31,2219
Jun 24,2467,217,32,2250
Jun 25,2508,258,32,2250
Jun 26,2508,258,32,2250
Jun 27,2508,258,32,2250
Jun 28,2508,258,32,2250
Jun 29,2560,203,32,2357
Jun 30,2603,244,34,2359
Jul 01,2643,268,34,2375
Jul 02,2650,275,34,2375
Jul 03,2661,252,34,2409
Jul 04,2661,252,34,2409
Jul 05,2661,252,34,2409
Jul 06,2679,270,34,2409
Jul 07,2688,208,34,2480
Jul 08,2688,208,34,2480
Jul 09,2702,185,37,2517
Jul 10,2711,194,37,2517
Jul 11,2711,194,37,2517
Jul 12,2711,194,37,2517
Jul 13,2724,207,37,2517
Jul 14,2737,220,37,2517
Jul 15,2743,125,37,2618
Jul 16,2778,160,37,2618
Jul 17,2782,154,37,2628
Jul 18,2782,154,37,2628
Jul 19,2782,154,37,2628
Jul 20,2808,179,38,2629
Jul 21,2824,172,38,2652
Jul 22,2839,187,38,2652
Jul 23,2862,174,38,2688
Jul 24,2862,174,38,2688
Jul 25,2862,174,38,2688
Jul 26,2862,174,38,2688
Jul 27,2900,190,38,2710
Jul 28,2900,190,38,2710
Jul 29,2905,194,39,2711
Jul 30,2962,202,39,2760
Jul 31,2962,202,39,2760
Aug 01,2962,202,39,2760
Aug 02,2962,202,39,2760
Aug 03,3008,231,39,2777
Aug 04,3023,246,39,2777
Aug 05,3031,254,39,2777
Aug 06,3042,265,39,2777
Aug 07,3068,194,39,2874
Aug 08,3068,194,39,2874
Aug 09,3068,194,39,2874
Aug 10,3068,194,39,2874
Aug 11,3091,217,39,2874
Aug 12,3091,217,39,2874
Aug 13,3119,140,39,2979
Aug 14,3119,140,39,2979
Aug 15,3119,140,39,2979
Aug 16,3119,140,39,2979
Aug 17,3160,157,39,3003
Aug 18,3160,157,39,3003
Aug 19,3160,157,39,3003
Aug 20,3160,157,39,3003
