Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,1,1,0,0
Mar 15,1,1,0,0
Mar 16,2,2,0,0
Mar 17,3,3,0,0
Mar 18,3,3,0,0
Mar 19,4,4,0,0
Mar 20,7,7,0,0
Mar 21,11,11,0,0
Mar 22,11,11,0,0
Mar 23,24,24,0,0
Mar 24,36,36,0,0
Mar 25,36,36,0,0
Mar 26,36,36,0,0
Mar 27,50,50,0,0
Mar 28,63,63,0,0
Mar 29,63,63,0,0
Mar 30,82,72,0,10
Mar 31,94,83,1,11
Apr 01,101,90,1,11
Apr 02,116,105,1,11
Apr 03,128,116,2,12
Apr 04,134,118,2,16
Apr 05,147,131,2,16
Apr 06,164,147,2,17
Apr 07,171,147,2,24
Apr 08,184,160,2,24
Apr 09,184,156,2,28
Apr 10,191,139,2,52
Apr 11,196,134,3,62
Apr 12,196,134,3,62
Apr 13,207,145,3,62
Apr 14,217,145,3,72
Apr 15,217,145,3,72
Apr 16,233,161,3,72
Apr 17,245,124,4,121
Apr 18,254,133,4,121
Apr 19,271,150,4,121
Apr 20,271,150,4,121
Apr 21,311,190,4,121
Apr 22,326,197,4,129
Apr 23,326,197,4,129
Apr 24,354,206,4,148
Apr 25,380,232,4,148
Apr 26,401,253,4,148
Apr 27,401,253,4,148
Apr 28,460,221,4,239
Apr 29,460,221,4,239
Apr 30,539,300,4,239
May 01,539,300,4,239
May 02,596,355,6,241
May 03,650,409,6,241
May 04,686,328,6,358
May 05,739,378,9,361
May 06,739,378,9,361
May 07,854,492,10,362
May 08,854,492,10,362
May 09,988,485,11,503
May 10,1023,520,11,503
May 11,1023,520,11,503
May 12,1095,591,12,504
May 13,1143,502,14,641
May 14,1210,567,16,643
May 15,1210,567,16,643
May 16,1312,667,18,645
May 17,1342,697,18,645
May 18,1370,725,18,645
May 19,1370,725,18,645
May 20,1475,562,19,913
May 21,1475,562,19,913
May 22,1521,608,19,913
May 23,1521,608,19,913
May 24,1587,673,20,914
May 25,1609,695,20,914
May 26,1634,720,20,914
May 27,1645,311,20,1334
