Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,1,1,0,0
Mar 08,1,1,0,0
Mar 09,1,1,0,0
Mar 10,3,3,0,0
Mar 11,3,3,0,0
Mar 12,6,6,0,0
Mar 13,6,6,0,0
Mar 14,12,12,0,0
Mar 15,23,23,0,0
Mar 16,29,28,0,1
Mar 17,30,29,0,1
Mar 18,36,34,1,2
Mar 19,49,47,1,2
Mar 20,66,64,1,2
Mar 21,80,78,1,2
Mar 22,94,92,1,2
Mar 23,109,106,1,3
Mar 24,125,122,1,3
Mar 25,149,146,1,3
Mar 26,177,174,1,3
Mar 27,199,195,2,4
Mar 28,231,227,2,4
Mar 29,263,259,2,4
Mar 30,298,281,2,17
Mar 31,353,331,4,22
Apr 01,423,395,5,28
Apr 02,505,476,6,29
Apr 03,591,557,8,34
Apr 04,752,711,12,41
Apr 05,864,819,15,45
Apr 06,965,909,19,56
Apr 07,1056,994,22,62
Apr 08,1174,1107,27,67
Apr 09,1289,1210,29,79
Apr 10,1438,1353,29,85
Apr 11,1560,1455,30,105
Apr 12,1662,1537,31,125
Apr 13,1712,1570,35,142
Apr 14,1934,1722,41,212
Apr 15,2049,1832,46,217
Apr 16,2154,1865,54,289
Apr 17,2264,1932,56,332
Apr 18,2351,1903,57,448
Apr 19,2472,1948,67,524
Apr 20,2548,2021,70,527
Apr 21,2614,2037,72,577
Apr 22,2778,2143,75,635
Apr 23,2926,2185,80,741
Apr 24,3110,2271,84,839
Apr 25,3304,2385,94,919
Apr 26,3408,2417,96,991
Apr 27,3481,2454,102,1027
Apr 28,3638,2560,103,1078
Apr 29,3771,2546,111,1225
Apr 30,3897,2599,116,1298
May 01,3980,2586,122,1394
May 02,4052,2594,124,1458
May 03,4121,2614,125,1507
May 04,4248,2693,132,1555
May 05,4363,2683,136,1680
May 06,4476,2675,143,1801
May 07,4605,2713,145,1892
May 08,4728,2752,150,1976
May 09,4867,2781,161,2086
May 10,4927,2800,169,2127
May 11,4995,2840,175,2155
May 12,5154,2903,182,2251
May 13,5406,3045,185,2361
May 14,5553,3131,194,2422
May 15,5745,3315,202,2430
May 16,5934,3383,207,2551
May 17,6060,3505,211,2555
May 18,6138,3496,217,2642
May 19,6340,3611,221,2729
May 20,6553,3372,228,3181
May 21,6704,3518,233,3186
May 22,6847,3241,237,3606
May 23,6994,3300,242,3694
May 24,7093,3130,250,3963
May 25,7147,3084,261,4063
May 26,7305,3154,267,4151
May 27,7537,3379,274,4158
May 28,7725,3320,282,4405
May 29,7896,3330,288,4566
May 30,8098,3352,291,4746
May 31,8251,3375,295,4876
Jun 01,8360,3433,305,4927
Jun 02,8548,3503,307,5045
Jun 03,8795,3622,310,5173
Jun 04,9018,3694,315,5324
Jun 05,9247,3684,323,5563
Jun 06,9511,3730,331,5781
Jun 07,9700,3721,341,5979
Jun 08,9807,3716,353,6091
