Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,1,1,0,0
Feb 29,1,1,0,0
Mar 01,1,1,0,0
Mar 02,1,1,0,0
Mar 03,1,1,0,0
Mar 04,1,1,0,0
Mar 05,1,1,0,0
Mar 06,1,1,0,0
Mar 07,1,1,0,0
Mar 08,1,1,0,0
Mar 09,1,1,0,0
Mar 10,1,1,0,0
Mar 11,1,1,0,0
Mar 12,2,2,0,0
Mar 13,2,2,0,0
Mar 14,2,2,0,0
Mar 15,2,2,0,0
Mar 16,9,9,0,0
Mar 17,9,9,0,0
Mar 18,9,9,0,0
Mar 19,10,10,0,0
Mar 20,11,11,0,0
Mar 21,18,17,0,1
Mar 22,23,22,0,1
Mar 23,23,22,0,1
Mar 24,23,22,0,1
Mar 25,31,30,0,1
Mar 26,33,32,0,1
Mar 27,42,41,0,1
Mar 28,43,41,1,2
Mar 29,46,44,1,2
Mar 30,49,47,1,2
Mar 31,52,49,1,3
Apr 01,55,52,1,3
Apr 02,60,57,1,3
Apr 03,64,60,1,4
Apr 04,66,62,1,4
Apr 05,73,69,1,4
Apr 06,77,72,1,5
Apr 07,79,74,1,5
Apr 08,81,76,1,5
Apr 09,84,78,1,6
Apr 10,90,84,1,6
Apr 11,92,86,1,6
Apr 12,93,86,1,7
Apr 13,93,86,1,7
Apr 14,93,86,1,7
Apr 15,93,78,3,15
Apr 16,93,78,3,15
Apr 17,94,71,3,23
Apr 18,94,69,3,25
Apr 19,94,69,3,25
Apr 20,94,68,3,26
Apr 21,94,65,3,29
Apr 22,94,65,3,29
Apr 23,94,55,4,39
Apr 24,94,49,4,45
Apr 25,94,48,4,46
Apr 26,94,48,4,46
Apr 27,95,49,4,46
Apr 28,95,41,4,54
Apr 29,95,33,4,62
Apr 30,95,27,4,68
May 01,95,18,4,77
May 02,95,13,4,82
May 03,95,13,4,82
May 04,95,13,4,82
May 05,95,10,4,85
May 06,95,9,4,86
May 07,95,9,4,86
May 08,95,9,4,86
May 09,96,10,4,86
May 10,96,10,4,86
May 11,96,7,4,89
May 12,96,7,4,89
May 13,96,5,4,91
May 14,96,5,4,91
May 15,96,5,4,91
May 16,96,5,4,91
May 17,96,5,4,91
May 18,97,6,4,91
May 19,97,6,4,91
May 20,97,3,4,94
May 21,97,3,4,94
May 22,97,3,4,94
May 23,98,4,4,94
May 24,98,4,4,94
May 25,98,4,4,94
May 26,98,4,4,94
May 27,98,4,4,94
