Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,1,1,0,0
Mar 11,1,1,0,0
Mar 12,1,1,0,0
Mar 13,1,1,0,0
Mar 14,1,1,0,0
Mar 15,1,1,0,0
Mar 16,4,4,0,0
Mar 17,5,5,0,0
Mar 18,6,6,0,0
Mar 19,6,6,0,0
Mar 20,6,6,0,0
Mar 21,10,10,0,0
Mar 22,10,10,0,0
Mar 23,10,10,0,0
Mar 24,10,10,0,0
Mar 25,10,10,0,0
Mar 26,11,11,0,0
Mar 27,11,11,0,0
Mar 28,12,12,0,0
Mar 29,12,12,0,0
Mar 30,12,10,0,2
Mar 31,12,10,0,2
Apr 01,14,12,0,2
Apr 02,14,12,0,2
Apr 03,14,12,0,2
Apr 04,14,12,0,2
Apr 05,14,12,0,2
Apr 06,15,13,0,2
Apr 07,15,11,0,4
Apr 08,16,12,0,4
Apr 09,16,12,0,4
Apr 10,16,12,0,4
Apr 11,16,12,0,4
Apr 12,16,12,0,4
Apr 13,17,13,0,4
Apr 14,30,25,0,5
Apr 15,30,25,0,5
Apr 16,31,26,0,5
Apr 17,31,26,0,5
Apr 18,31,26,0,5
Apr 19,32,25,0,7
Apr 20,33,26,0,7
Apr 21,34,26,0,8
Apr 22,35,27,0,8
Apr 23,35,27,0,8
Apr 24,36,27,0,9
Apr 25,37,28,0,9
Apr 26,38,29,0,9
Apr 27,38,28,0,10
Apr 28,38,28,0,10
Apr 29,38,28,0,10
Apr 30,38,28,0,10
May 01,38,28,0,10
May 02,39,29,0,10
May 03,39,29,0,10
May 04,40,28,0,12
May 05,41,28,0,13
May 06,41,28,0,13
May 07,41,28,0,13
May 08,42,29,0,13
May 09,42,28,0,14
May 10,42,28,0,14
May 11,42,28,0,14
May 12,42,27,0,15
May 13,42,27,0,15
May 14,61,46,0,15
May 15,98,78,0,20
May 16,135,115,0,20
May 17,136,115,0,21
May 18,140,116,0,24
May 19,140,114,0,26
May 20,140,114,0,26
May 21,140,114,0,26
May 22,141,113,0,28
May 23,141,111,0,30
May 24,141,109,0,32
May 25,141,108,0,33
May 26,141,104,0,37
May 27,148,105,0,43
May 28,161,118,0,43
May 29,179,136,0,43
May 30,179,135,0,44
May 31,179,135,0,44
Jun 01,185,141,0,44
Jun 02,185,141,0,44
Jun 03,185,141,0,44
Jun 04,186,121,0,65
Jun 05,191,121,0,70
Jun 06,193,122,0,71
Jun 07,193,118,0,75
Jun 08,194,119,0,75
Jun 09,194,109,0,85
Jun 10,194,107,0,87
Jun 11,194,105,0,89
Jun 12,197,102,0,95
Jun 13,197,102,0,95
Jun 14,197,99,0,98
Jun 15,197,89,0,108
Jun 16,197,88,0,109
Jun 17,197,86,0,111
Jun 18,201,74,0,127
Jun 19,204,72,0,132
Jun 20,204,65,0,139
Jun 21,206,67,0,139
Jun 22,213,60,0,153
Jun 23,215,57,0,158
Jun 24,215,47,0,168
Jun 25,216,47,0,169
Jun 26,219,49,0,170
Jun 27,219,44,0,175
Jun 28,219,44,0,175
Jun 29,220,45,0,175
Jun 30,220,45,0,175
Jul 01,220,44,0,176
Jul 02,220,43,0,177
Jul 03,220,41,0,179
Jul 04,220,37,0,183
Jul 05,220,35,0,185
Jul 06,220,32,0,188
Jul 07,225,31,0,194
Jul 08,227,32,0,195
Jul 09,227,30,0,197
Jul 10,227,30,0,197
Jul 11,227,27,0,200
Jul 12,230,28,0,202
Jul 13,230,27,0,203
Jul 14,243,39,0,204
Jul 15,261,54,0,207
Jul 16,261,52,0,209
Jul 17,262,51,0,211
Jul 18,287,76,0,211
Jul 19,287,74,0,213
Jul 20,287,74,0,213
Jul 21,287,74,0,213
Jul 22,287,74,0,213
Jul 23,287,73,0,214
Jul 24,288,71,0,217
Jul 25,288,70,0,218
Jul 26,288,70,0,218
Jul 27,288,70,0,218
Jul 28,289,67,0,222
Jul 29,291,66,0,225
Jul 30,291,66,0,225
Jul 31,291,66,0,225
Aug 01,291,61,0,230
Aug 02,293,63,0,230
Aug 03,293,63,0,230
Aug 04,293,63,0,230
Aug 05,293,49,0,244
Aug 06,293,33,0,260
Aug 07,293,33,0,260
Aug 08,293,33,0,260
Aug 09,293,30,0,263
Aug 10,293,30,0,263
Aug 11,293,30,0,263
Aug 12,293,24,0,269
Aug 13,297,28,0,269
Aug 14,297,28,0,269
Aug 15,298,26,0,272
Aug 16,298,22,0,276
Aug 17,298,22,0,276
Aug 18,298,20,0,278
Aug 19,298,17,0,281
Aug 20,298,17,0,281
