Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,1,1,0,0
Mar 11,1,1,0,0
Mar 12,1,1,0,0
Mar 13,1,1,0,0
Mar 14,1,1,0,0
Mar 15,1,1,0,0
Mar 16,4,4,0,0
Mar 17,5,5,0,0
Mar 18,6,6,0,0
Mar 19,6,6,0,0
Mar 20,6,6,0,0
Mar 21,10,10,0,0
Mar 22,10,10,0,0
Mar 23,10,10,0,0
Mar 24,10,10,0,0
Mar 25,10,10,0,0
Mar 26,11,11,0,0
Mar 27,11,11,0,0
Mar 28,12,12,0,0
Mar 29,12,12,0,0
Mar 30,12,10,0,2
Mar 31,12,10,0,2
Apr 01,14,12,0,2
Apr 02,14,12,0,2
Apr 03,14,12,0,2
Apr 04,14,12,0,2
Apr 05,14,12,0,2
Apr 06,15,13,0,2
Apr 07,15,11,0,4
Apr 08,16,12,0,4
Apr 09,16,12,0,4
Apr 10,16,12,0,4
Apr 11,16,12,0,4
Apr 12,16,12,0,4
Apr 13,17,13,0,4
Apr 14,30,25,0,5
Apr 15,30,25,0,5
Apr 16,31,26,0,5
Apr 17,31,26,0,5
Apr 18,31,26,0,5
Apr 19,32,25,0,7
Apr 20,33,26,0,7
Apr 21,34,26,0,8
Apr 22,35,27,0,8
Apr 23,35,27,0,8
Apr 24,36,27,0,9
Apr 25,37,28,0,9
Apr 26,38,29,0,9
Apr 27,38,28,0,10
Apr 28,38,28,0,10
Apr 29,38,28,0,10
Apr 30,38,28,0,10
May 01,38,28,0,10
May 02,39,29,0,10
May 03,39,29,0,10
May 04,40,28,0,12
May 05,41,28,0,13
May 06,41,28,0,13
May 07,41,28,0,13
May 08,42,29,0,13
May 09,42,28,0,14
May 10,42,28,0,14
May 11,42,28,0,14
May 12,42,27,0,15
May 13,42,27,0,15
May 14,61,46,0,15
May 15,98,78,0,20
May 16,135,115,0,20
May 17,136,115,0,21
May 18,140,116,0,24
May 19,140,114,0,26
May 20,140,114,0,26
May 21,140,114,0,26
May 22,141,113,0,28
May 23,141,111,0,30
May 24,141,109,0,32
May 25,141,108,0,33
May 26,141,104,0,37
May 27,148,105,0,43
May 28,161,118,0,43
May 29,179,136,0,43
May 30,179,135,0,44
May 31,179,135,0,44
Jun 01,185,141,0,44
Jun 02,185,141,0,44
Jun 03,185,141,0,44
Jun 04,186,121,0,65
Jun 05,191,121,0,70
Jun 06,193,122,0,71
Jun 07,193,118,0,75
Jun 08,194,119,0,75
Jun 09,194,109,0,85
Jun 10,194,107,0,87
Jun 11,194,105,0,89
