Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,2,2,0,0
Mar 18,8,8,0,0
Mar 19,13,13,0,0
Mar 20,14,14,0,0
Mar 21,16,16,0,0
Mar 22,21,21,0,0
Mar 23,27,26,1,1
Mar 24,47,46,1,1
Mar 25,53,52,1,1
Mar 26,69,68,1,1
Mar 27,82,81,1,1
Mar 28,84,83,1,1
Mar 29,85,84,1,1
Mar 30,91,90,1,1
Mar 31,109,107,2,2
Apr 01,123,121,2,2
Apr 02,144,142,2,2
Apr 03,174,171,2,3
Apr 04,201,198,2,3
Apr 05,214,211,2,3
Apr 06,233,230,2,3
Apr 07,241,235,2,6
Apr 08,248,242,2,6
Apr 09,252,246,2,6
Apr 10,257,251,2,6
Apr 11,263,256,2,7
Apr 12,272,264,3,8
Apr 13,274,266,3,8
Apr 14,283,233,4,50
Apr 15,288,229,4,59
Apr 16,303,244,4,59
Apr 17,303,243,5,60
Apr 18,307,247,5,60
Apr 19,308,248,5,60
Apr 20,312,219,5,93
Apr 21,313,207,5,106
Apr 22,315,194,5,121
Apr 23,316,188,5,128
Apr 24,319,190,6,129
Apr 25,320,161,6,159
Apr 26,321,161,7,160
Apr 27,321,125,7,196
Apr 28,321,115,7,206
Apr 29,322,112,7,210
Apr 30,322,101,7,221
May 01,322,82,7,240
May 02,322,69,8,253
May 03,322,65,8,257
May 04,323,62,8,261
May 05,324,63,8,261
May 06,324,55,8,269
May 07,324,51,8,273
May 08,324,49,8,275
May 09,324,42,8,282
May 10,324,25,9,299
May 11,324,21,9,303
May 12,324,17,9,307
May 13,324,8,9,316
May 14,324,6,9,318
May 15,324,4,9,320
May 16,324,4,9,320
May 17,324,4,9,320
May 18,324,4,9,320
May 19,324,3,9,321
May 20,324,3,9,321
May 21,324,1,9,323
May 22,324,1,9,323
May 23,324,1,9,323
May 24,324,0,9,324
May 25,324,0,9,324
May 26,324,0,9,324
May 27,324,0,9,324
