Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,1,1,0,0
Mar 19,1,1,0,0
Mar 20,1,1,0,0
Mar 21,1,1,0,0
Mar 22,1,1,0,0
Mar 23,1,1,0,0
Mar 24,1,1,0,0
Mar 25,1,1,0,0
Mar 26,5,5,0,0
Mar 27,5,5,0,0
Mar 28,5,5,0,0
Mar 29,5,5,0,0
Mar 30,5,5,0,0
Mar 31,5,5,0,0
Apr 01,5,5,0,0
Apr 02,5,5,0,0
Apr 03,6,6,0,0
Apr 04,6,6,0,0
Apr 05,6,6,0,0
Apr 06,6,6,0,0
Apr 07,9,9,0,0
Apr 08,9,9,0,0
Apr 09,9,9,0,0
Apr 10,9,9,0,0
Apr 11,9,9,0,0
Apr 12,9,9,0,0
Apr 13,11,10,0,1
Apr 14,11,10,0,1
Apr 15,11,10,0,1
Apr 16,11,10,0,1
Apr 17,11,10,0,1
Apr 18,11,9,0,2
Apr 19,11,9,0,2
Apr 20,11,9,0,2
Apr 21,11,9,0,2
Apr 22,11,9,0,2
Apr 23,11,9,0,2
Apr 24,11,9,0,2
Apr 25,11,8,1,3
Apr 26,11,8,1,3
Apr 27,11,8,1,3
Apr 28,11,8,1,3
Apr 29,11,8,1,3
Apr 30,11,8,1,3
May 01,11,8,1,3
May 02,11,8,1,3
May 03,11,3,1,8
May 04,11,3,1,8
May 05,11,3,1,8
May 06,11,3,1,8
May 07,11,3,1,8
May 08,11,2,1,9
May 09,11,2,1,9
May 10,11,2,1,9
May 11,11,2,1,9
May 12,11,2,1,9
May 13,11,2,1,9
May 14,11,2,1,9
May 15,11,2,1,9
May 16,11,0,1,11
May 17,11,0,1,11
May 18,11,0,1,11
May 19,11,0,1,11
May 20,11,0,1,11
May 21,11,0,1,11
May 22,11,0,1,11
May 23,11,0,1,11
May 24,11,0,1,11
May 25,11,0,1,11
May 26,11,0,1,11
May 27,11,0,1,11
May 28,11,0,1,11
May 29,11,0,1,11
May 30,11,0,1,11
May 31,11,0,1,11
Jun 01,11,0,1,11
Jun 02,11,0,1,11
Jun 03,11,0,1,11
Jun 04,11,0,1,11
Jun 05,11,0,1,11
Jun 06,11,0,1,11
Jun 07,11,0,1,11
Jun 08,11,0,1,11
Jun 09,11,0,1,11
Jun 10,11,0,1,11
Jun 11,11,0,1,11
Jun 12,11,0,1,11
Jun 13,11,0,1,11
Jun 14,11,0,1,11
Jun 15,11,0,1,11
Jun 16,11,0,1,11
Jun 17,11,0,1,11
Jun 18,11,0,1,11
Jun 19,11,0,1,11
Jun 20,11,0,1,11
Jun 21,11,0,1,11
Jun 22,11,0,1,11
Jun 23,11,0,1,11
Jun 24,11,0,1,11
Jun 25,11,0,1,11
Jun 26,11,0,1,11
Jun 27,11,0,1,11
Jun 28,11,0,1,11
Jun 29,11,0,1,11
Jun 30,11,0,1,11
Jul 01,11,0,1,11
Jul 02,11,0,1,11
Jul 03,11,0,1,11
Jul 04,11,0,1,11
Jul 05,11,0,1,11
Jul 06,11,0,1,11
Jul 07,11,0,1,11
Jul 08,11,0,1,11
Jul 09,11,0,1,11
Jul 10,11,0,1,11
Jul 11,12,1,1,11
Jul 12,12,1,1,11
Jul 13,12,1,1,11
Jul 14,12,1,1,11
Jul 15,12,1,1,11
Jul 16,12,1,1,11
Jul 17,12,1,1,11
Jul 18,12,1,1,11
Jul 19,12,1,1,11
Jul 20,12,1,1,11
Jul 21,12,1,1,11
Jul 22,12,1,1,11
Jul 23,12,1,1,11
Jul 24,12,1,1,11
Jul 25,12,1,1,11
Jul 26,12,1,1,11
Jul 27,12,1,1,11
Jul 28,12,1,1,11
Jul 29,13,2,1,11
Jul 30,13,2,1,11
Jul 31,13,2,1,11
Aug 01,13,2,1,11
Aug 02,13,2,1,11
Aug 03,13,2,1,11
Aug 04,13,2,1,11
Aug 05,13,2,1,11
Aug 06,13,2,1,11
Aug 07,13,2,1,11
Aug 08,13,0,1,13
Aug 09,13,0,1,13
Aug 10,13,0,1,13
Aug 11,13,0,1,13
Aug 12,13,0,1,13
Aug 13,13,0,1,13
Aug 14,13,0,1,13
Aug 15,13,0,1,13
Aug 16,13,0,1,13
Aug 17,13,0,1,13
Aug 18,13,0,1,13
Aug 19,13,0,1,13
Aug 20,13,0,1,13
