Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,0,0,0,0
Mar 22,1,1,0,0
Mar 23,1,1,0,0
Mar 24,3,3,0,0
Mar 25,5,5,0,0
Mar 26,7,7,0,0
Mar 27,7,7,0,0
Mar 28,8,8,0,0
Mar 29,8,8,0,0
Mar 30,8,8,0,0
Mar 31,8,8,0,0
Apr 01,10,10,0,0
Apr 02,10,10,0,0
Apr 03,10,10,0,0
Apr 04,10,9,0,1
Apr 05,10,9,0,1
Apr 06,10,9,0,1
Apr 07,10,9,0,1
Apr 08,17,16,0,1
Apr 09,17,16,0,1
Apr 10,20,18,0,2
Apr 11,20,18,0,2
Apr 12,21,19,0,2
Apr 13,21,19,0,2
Apr 14,28,26,0,2
Apr 15,29,27,0,2
Apr 16,31,29,0,2
Apr 17,34,32,0,2
Apr 18,35,31,0,4
Apr 19,39,31,0,8
Apr 20,39,31,0,8
Apr 21,39,31,0,8
Apr 22,41,33,0,8
Apr 23,46,37,0,9
Apr 24,65,53,0,12
Apr 25,70,58,0,12
Apr 26,76,64,0,12
Apr 27,76,64,0,12
Apr 28,76,64,0,12
Apr 29,76,64,0,12
Apr 30,76,64,0,12
May 01,79,67,0,12
May 02,79,61,0,18
May 03,80,61,0,19
May 04,80,61,0,19
May 05,81,62,0,19
May 06,81,60,0,21
May 07,81,57,0,24
May 08,82,55,0,27
May 09,87,53,0,34
May 10,91,57,0,34
May 11,103,69,0,34
May 12,104,70,0,34
May 13,104,70,0,34
May 14,115,80,0,35
May 15,119,77,0,42
May 16,129,86,0,43
May 17,137,93,0,44
May 18,145,101,0,44
May 19,146,102,0,44
May 20,156,108,0,48
May 21,162,114,0,48
May 22,164,116,0,48
May 23,168,120,0,48
May 24,194,143,0,51
May 25,209,137,1,72
May 26,213,141,1,72
May 27,227,155,1,72
May 28,233,149,2,84
May 29,234,148,2,86
May 30,244,152,2,92
May 31,254,161,2,93
Jun 01,254,155,2,99
Jun 02,307,207,2,100
Jun 03,316,205,2,111
Jun 04,352,236,2,116
Jun 05,354,233,2,121
Jun 06,409,281,2,128
Jun 07,424,295,2,129
Jun 08,433,300,2,133
Jun 09,453,315,2,138
Jun 10,472,332,2,140
Jun 11,489,343,2,146
Jun 12,509,362,2,147
Jun 13,553,400,2,153
Jun 14,583,429,3,154
Jun 15,609,449,3,160
Jun 16,638,474,4,164
Jun 17,651,487,4,164
Jun 18,662,483,4,179
Jun 19,668,487,4,181
Jun 20,688,507,4,181
Jun 21,733,547,5,186
Jun 22,737,551,5,186
Jun 23,757,546,5,211
Jun 24,762,537,5,225
Jun 25,788,562,5,226
Jun 26,816,588,5,228
Jun 27,816,588,5,228
Jun 28,859,626,5,233
Jun 29,883,648,6,235
Jun 30,889,651,6,238
Jul 01,903,649,6,254
Jul 02,918,663,6,255
Jul 03,939,684,6,255
Jul 04,969,706,7,263
Jul 05,987,723,8,264
Jul 06,1012,727,8,285
Jul 07,1040,752,8,288
Jul 08,1071,726,8,345
Jul 09,1092,743,9,349
Jul 10,1111,758,9,353
Jul 11,1135,777,9,358
Jul 12,1157,784,9,373
Jul 13,1219,841,9,378
Jul 14,1268,886,9,382
Jul 15,1330,946,9,384
Jul 16,1383,999,9,384
Jul 17,1402,996,9,406
Jul 18,1435,1017,10,418
Jul 19,1491,1009,10,482
Jul 20,1507,991,11,516
Jul 21,1536,1019,11,517
Jul 22,1557,1023,11,534
Jul 23,1582,1043,11,539
Jul 24,1590,1047,11,543
Jul 25,1616,1062,11,554
Jul 26,1669,1065,11,604
Jul 27,1701,1094,11,607
Jul 28,1720,1107,11,613
Jul 29,1748,1121,11,627
Jul 30,1808,1159,11,649
Jul 31,1864,1212,11,652
Aug 01,1907,1250,12,657
Aug 02,1946,1279,13,667
Aug 03,1973,1283,14,690
Aug 04,2029,1249,15,780
Aug 05,2079,1286,15,793
Aug 06,2120,1310,15,810
Aug 07,2213,1371,15,842
Aug 08,2241,1393,16,848
Aug 09,2269,1413,16,856
Aug 10,2411,1535,16,876
Aug 11,2481,1554,17,927
Aug 12,2559,1589,19,970
Aug 13,2638,1604,19,1034
Aug 14,2708,1614,19,1094
Aug 15,2791,1636,19,1155
Aug 16,2855,1673,19,1182
Aug 17,2914,1699,19,1215
Aug 18,2991,1727,19,1264
Aug 19,3045,1735,19,1310
Aug 20,3115,1715,20,1400
