Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,0,0,0,0
Mar 22,1,1,0,0
Mar 23,1,1,0,0
Mar 24,3,3,0,0
Mar 25,5,5,0,0
Mar 26,7,7,0,0
Mar 27,7,7,0,0
Mar 28,8,8,0,0
Mar 29,8,8,0,0
Mar 30,8,8,0,0
Mar 31,8,8,0,0
Apr 01,10,10,0,0
Apr 02,10,10,0,0
Apr 03,10,10,0,0
Apr 04,10,9,0,1
Apr 05,10,9,0,1
Apr 06,10,9,0,1
Apr 07,10,9,0,1
Apr 08,17,16,0,1
Apr 09,17,16,0,1
Apr 10,20,18,0,2
Apr 11,20,18,0,2
Apr 12,21,19,0,2
Apr 13,21,19,0,2
Apr 14,28,26,0,2
Apr 15,29,27,0,2
Apr 16,31,29,0,2
Apr 17,34,32,0,2
Apr 18,35,31,0,4
Apr 19,39,31,0,8
Apr 20,39,31,0,8
Apr 21,39,31,0,8
Apr 22,41,33,0,8
Apr 23,46,37,0,9
Apr 24,65,53,0,12
Apr 25,70,58,0,12
Apr 26,76,64,0,12
Apr 27,76,64,0,12
Apr 28,76,64,0,12
Apr 29,76,64,0,12
Apr 30,76,64,0,12
May 01,79,67,0,12
May 02,79,61,0,18
May 03,80,61,0,19
May 04,80,61,0,19
May 05,81,62,0,19
May 06,81,60,0,21
May 07,81,57,0,24
May 08,82,55,0,27
May 09,87,53,0,34
May 10,91,57,0,34
May 11,103,69,0,34
May 12,104,70,0,34
May 13,104,70,0,34
May 14,115,80,0,35
May 15,119,77,0,42
May 16,129,86,0,43
May 17,137,93,0,44
May 18,145,101,0,44
May 19,146,102,0,44
May 20,156,108,0,48
May 21,162,114,0,48
May 22,164,116,0,48
May 23,168,120,0,48
May 24,194,143,0,51
May 25,209,137,1,72
May 26,213,141,1,72
May 27,227,155,1,72
May 28,233,149,2,84
May 29,234,148,2,86
May 30,244,152,2,92
May 31,254,161,2,93
Jun 01,254,155,2,99
Jun 02,307,207,2,100
Jun 03,316,205,2,111
Jun 04,352,236,2,116
Jun 05,354,233,2,121
Jun 06,409,281,2,128
Jun 07,424,295,2,129
Jun 08,433,300,2,133
Jun 09,453,315,2,138
Jun 10,472,332,2,140
Jun 11,489,343,2,146
