Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,0,0,0,0
Mar 22,0,0,0,0
Mar 23,2,2,0,0
Mar 24,3,3,0,0
Mar 25,3,3,0,0
Mar 26,5,5,0,0
Mar 27,8,8,0,0
Mar 28,8,8,0,0
Mar 29,10,10,0,0
Mar 30,14,14,0,0
Mar 31,15,14,1,1
Apr 01,16,15,1,1
Apr 02,20,19,1,1
Apr 03,20,19,1,1
Apr 04,21,20,1,1
Apr 05,21,20,1,1
Apr 06,22,21,1,1
Apr 07,22,21,1,1
Apr 08,22,19,3,3
Apr 09,23,18,3,5
Apr 10,27,22,3,5
Apr 11,38,33,3,5
Apr 12,41,35,4,6
Apr 13,62,56,4,6
Apr 14,63,57,4,6
Apr 15,74,68,4,6
Apr 16,85,79,4,6
Apr 17,88,79,4,9
Apr 18,98,88,5,10
Apr 19,111,99,5,12
Apr 20,119,107,5,12
Apr 21,121,109,5,12
Apr 22,123,111,5,12
Apr 23,132,118,5,14
Apr 24,144,130,5,14
Apr 25,144,129,5,15
Apr 26,146,131,5,15
Apr 27,146,125,5,21
Apr 28,150,129,5,21
Apr 29,150,117,6,33
Apr 30,150,117,6,33
May 01,151,114,6,37
May 02,151,108,6,43
May 03,155,106,6,49
May 04,161,106,6,55
May 05,161,106,6,55
May 06,161,105,6,56
May 07,176,108,6,68
May 08,177,104,6,73
May 09,178,104,6,74
May 10,180,102,6,78
May 11,180,100,6,80
May 12,180,98,6,82
May 13,181,96,6,85
May 14,181,91,6,90
May 15,181,86,6,95
May 16,182,80,6,102
May 17,184,81,6,103
May 18,188,81,6,107
May 19,193,83,6,110
May 20,199,85,6,114
May 21,199,85,6,114
May 22,199,77,6,122
May 23,201,75,6,126
May 24,201,73,6,128
May 25,203,74,6,129
May 26,206,76,6,130
May 27,206,74,6,132
May 28,206,74,6,132
May 29,207,71,6,136
May 30,224,88,6,136
May 31,224,80,6,144
Jun 01,228,84,6,144
Jun 02,232,83,6,149
Jun 03,233,82,6,151
Jun 04,236,82,6,154
Jun 05,236,79,6,157
Jun 06,240,78,6,162
Jun 07,242,80,6,162
Jun 08,244,79,6,165
Jun 09,246,81,6,165
Jun 10,248,77,6,171
Jun 11,260,89,6,171
Jun 12,261,90,6,171
Jun 13,261,88,6,173
Jun 14,261,88,6,173
Jun 15,262,81,6,181
Jun 16,262,77,6,185
Jun 17,262,71,6,191
Jun 18,263,70,6,193
Jun 19,286,88,6,198
Jun 20,287,85,6,202
Jun 21,290,84,6,206
Jun 22,290,84,6,206
Jun 23,292,82,6,210
Jun 24,293,79,6,214
Jun 25,293,76,6,217
Jun 26,293,72,6,221
Jun 27,293,71,6,222
Jun 28,299,75,6,224
Jun 29,299,72,6,227
Jun 30,299,71,6,228
Jul 01,303,75,6,228
Jul 02,304,75,6,229
Jul 03,306,63,6,243
Jul 04,313,67,6,246
Jul 05,313,66,6,247
Jul 06,316,65,6,251
Jul 07,316,65,6,251
Jul 08,317,61,6,256
Jul 09,319,59,6,260
Jul 10,326,64,6,262
Jul 11,330,64,6,266
Jul 12,331,64,6,267
Jul 13,336,69,6,267
Jul 14,337,70,6,267
Jul 15,337,65,6,272
Jul 16,339,63,6,276
Jul 17,339,62,6,277
Jul 18,340,61,6,279
Jul 19,341,59,6,282
Jul 20,341,57,6,284
Jul 21,341,55,6,286
Jul 22,343,57,6,286
Jul 23,343,57,6,286
Jul 24,346,54,6,292
Jul 25,348,54,6,294
Jul 26,350,54,6,296
Jul 27,350,52,6,298
Jul 28,350,51,6,299
Jul 29,351,51,6,300
Jul 30,353,52,6,301
Jul 31,353,51,6,302
Aug 01,353,50,6,303
Aug 02,353,49,6,304
Aug 03,355,47,6,308
Aug 04,355,47,6,308
Aug 05,357,46,6,311
Aug 06,357,43,6,314
Aug 07,359,44,6,315
Aug 08,359,42,6,317
Aug 09,360,42,6,318
Aug 10,360,42,6,318
Aug 11,360,41,6,319
Aug 12,361,37,6,324
Aug 13,369,42,6,327
Aug 14,374,46,6,328
Aug 15,374,44,6,330
Aug 16,375,40,6,335
Aug 17,376,39,6,337
Aug 18,376,39,6,337
Aug 19,394,55,6,339
Aug 20,399,60,6,339
