Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,0,0,0,0
Mar 22,0,0,0,0
Mar 23,2,2,0,0
Mar 24,3,3,0,0
Mar 25,3,3,0,0
Mar 26,5,5,0,0
Mar 27,8,8,0,0
Mar 28,8,8,0,0
Mar 29,10,10,0,0
Mar 30,14,14,0,0
Mar 31,15,14,1,1
Apr 01,16,15,1,1
Apr 02,20,19,1,1
Apr 03,20,19,1,1
Apr 04,21,20,1,1
Apr 05,21,20,1,1
Apr 06,22,21,1,1
Apr 07,22,21,1,1
Apr 08,22,19,3,3
Apr 09,23,18,3,5
Apr 10,27,22,3,5
Apr 11,38,33,3,5
Apr 12,41,35,4,6
Apr 13,62,56,4,6
Apr 14,63,57,4,6
Apr 15,74,68,4,6
Apr 16,85,79,4,6
Apr 17,88,79,4,9
Apr 18,98,88,5,10
Apr 19,111,99,5,12
Apr 20,119,107,5,12
Apr 21,121,109,5,12
Apr 22,123,111,5,12
Apr 23,132,118,5,14
Apr 24,144,130,5,14
Apr 25,144,129,5,15
Apr 26,146,131,5,15
Apr 27,146,125,5,21
Apr 28,150,129,5,21
Apr 29,150,117,6,33
Apr 30,150,117,6,33
May 01,151,114,6,37
May 02,151,108,6,43
May 03,155,106,6,49
May 04,161,106,6,55
May 05,161,106,6,55
May 06,161,105,6,56
May 07,176,108,6,68
May 08,177,104,6,73
May 09,178,104,6,74
May 10,180,102,6,78
May 11,180,100,6,80
May 12,180,98,6,82
May 13,181,96,6,85
May 14,181,91,6,90
May 15,181,86,6,95
May 16,182,80,6,102
May 17,184,81,6,103
May 18,188,81,6,107
May 19,193,83,6,110
May 20,199,85,6,114
May 21,199,85,6,114
May 22,199,77,6,122
May 23,201,75,6,126
May 24,201,73,6,128
May 25,203,74,6,129
May 26,206,76,6,130
May 27,206,74,6,132
May 28,206,74,6,132
May 29,207,71,6,136
May 30,224,88,6,136
May 31,224,80,6,144
Jun 01,228,84,6,144
Jun 02,232,83,6,149
Jun 03,233,82,6,151
Jun 04,236,82,6,154
Jun 05,236,79,6,157
Jun 06,240,78,6,162
Jun 07,242,80,6,162
Jun 08,244,79,6,165
Jun 09,246,81,6,165
Jun 10,248,77,6,171
Jun 11,260,89,6,171
