Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,2,2,0,0
Mar 15,2,2,0,0
Mar 16,2,2,0,0
Mar 17,2,2,0,0
Mar 18,2,2,0,0
Mar 19,3,3,0,0
Mar 20,3,3,0,0
Mar 21,3,3,0,0
Mar 22,3,3,0,0
Mar 23,4,4,0,0
Mar 24,7,5,0,2
Mar 25,7,5,0,2
Mar 26,8,6,0,2
Mar 27,8,6,0,2
Mar 28,8,6,0,2
Mar 29,11,9,0,2
Mar 30,11,9,0,2
Mar 31,11,9,0,2
Apr 01,14,12,0,2
Apr 02,14,11,0,3
Apr 03,14,11,0,3
Apr 04,14,11,0,3
Apr 05,16,13,0,3
Apr 06,16,13,0,3
Apr 07,16,13,0,3
Apr 08,16,13,0,3
Apr 09,16,13,0,3
Apr 10,16,13,0,3
Apr 11,16,13,0,3
Apr 12,16,13,0,3
Apr 13,16,13,0,3
Apr 14,16,13,0,3
Apr 15,16,13,0,3
Apr 16,16,12,0,4
Apr 17,16,12,0,4
Apr 18,16,10,0,6
Apr 19,16,10,0,6
Apr 20,16,10,0,6
Apr 21,16,10,0,6
Apr 22,16,10,0,6
Apr 23,16,9,0,7
Apr 24,16,9,0,7
Apr 25,16,9,0,7
Apr 26,16,8,0,8
Apr 27,16,8,0,8
Apr 28,16,8,0,8
Apr 29,16,8,0,8
Apr 30,16,8,0,8
May 01,16,8,0,8
May 02,16,8,0,8
May 03,16,8,0,8
May 04,16,8,0,8
May 05,16,8,0,8
May 06,16,8,0,8
May 07,16,7,0,9
May 08,16,7,0,9
May 09,16,6,0,10
May 10,16,5,0,11
May 11,16,5,0,11
May 12,16,5,0,11
May 13,16,5,0,11
May 14,16,4,0,12
May 15,16,3,0,13
May 16,16,3,0,13
May 17,16,3,0,13
May 18,16,3,0,13
May 19,16,3,0,13
May 20,16,2,0,14
May 21,18,4,0,14
May 22,19,5,0,14
May 23,20,6,0,14
May 24,21,7,0,14
May 25,21,7,0,14
May 26,21,7,0,14
May 27,22,8,0,14
May 28,22,8,0,14
May 29,23,9,0,14
May 30,23,9,0,14
May 31,24,10,0,14
Jun 01,25,9,0,16
Jun 02,25,9,0,16
Jun 03,25,9,0,16
Jun 04,25,9,0,16
Jun 05,25,9,0,16
Jun 06,29,13,0,16
Jun 07,29,13,0,16
Jun 08,31,15,0,16
Jun 09,31,15,0,16
Jun 10,31,14,0,17
Jun 11,31,14,0,17
Jun 12,31,14,0,17
Jun 13,32,15,0,17
Jun 14,32,15,0,17
Jun 15,32,15,0,17
Jun 16,34,16,0,18
Jun 17,36,17,0,19
Jun 18,39,20,0,19
Jun 19,45,26,0,19
Jun 20,46,27,0,19
Jun 21,55,36,0,19
Jun 22,63,42,0,21
Jun 23,72,51,0,21
Jun 24,76,55,0,21
Jun 25,102,81,0,21
Jun 26,121,99,0,22
Jun 27,136,114,0,22
Jun 28,183,159,0,24
Jun 29,196,172,0,24
Jun 30,205,181,0,24
Jul 01,285,261,0,24
Jul 02,293,269,0,24
Jul 03,350,325,0,25
Jul 04,375,350,0,25
Jul 05,412,387,0,25
Jul 06,485,460,0,25
Jul 07,539,514,0,25
Jul 08,593,568,0,25
Jul 09,615,590,0,25
Jul 10,668,642,1,26
Jul 11,713,687,1,26
Jul 12,785,758,1,27
Jul 13,861,832,1,29
Jul 14,864,833,2,31
Jul 15,960,927,2,33
Jul 16,1032,999,2,33
Jul 17,1078,1044,2,34
Jul 18,1203,1169,2,34
Jul 19,1247,1209,3,38
Jul 20,1344,1298,4,46
Jul 21,1366,1302,7,64
Jul 22,1402,1331,7,71
Jul 23,1522,1446,7,76
Jul 24,1618,1539,7,79
Jul 25,1687,1608,7,79
Jul 26,1775,1692,8,83
Jul 27,1843,1734,8,109
Jul 28,1917,1805,8,112
Jul 29,1986,1873,9,113
Jul 30,2052,1878,10,174
Jul 31,2129,1953,10,176
Aug 01,2224,2042,11,182
Aug 02,2294,2096,11,198
Aug 03,2406,2207,12,199
Aug 04,2470,2247,12,223
Aug 05,2540,1972,12,568
Aug 06,2652,2074,15,578
Aug 07,2802,2211,16,591
Aug 08,2802,2211,16,591
Aug 09,2949,2226,19,723
Aug 10,3101,2367,19,734
Aug 11,3229,2495,19,734
Aug 12,3406,2549,22,857
Aug 13,3544,2669,27,875
Aug 14,3726,2847,31,879
Aug 15,3907,1520,35,2387
Aug 16,4154,1749,35,2405
Aug 17,4344,1929,36,2415
Aug 18,4464,2020,37,2444
Aug 19,4665,2200,39,2465
Aug 20,4912,2429,41,2483
