Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,1,0,0,1
Feb 16,1,0,0,1
Feb 17,1,0,0,1
Feb 18,1,0,0,1
Feb 19,1,0,0,1
Feb 20,1,0,0,1
Feb 21,1,0,0,1
Feb 22,1,0,0,1
Feb 23,1,0,0,1
Feb 24,1,0,0,1
Feb 25,1,0,0,1
Feb 26,1,0,0,1
Feb 27,1,0,0,1
Feb 28,1,0,0,1
Feb 29,1,0,0,1
Mar 01,1,0,0,1
Mar 02,1,0,0,1
Mar 03,1,0,0,1
Mar 04,1,0,0,1
Mar 05,1,0,0,1
Mar 06,1,0,0,1
Mar 07,1,0,0,1
Mar 08,1,0,0,1
Mar 09,1,0,0,1
Mar 10,1,0,0,1
Mar 11,1,0,0,1
Mar 12,1,0,0,1
Mar 13,1,0,0,1
Mar 14,1,0,0,1
Mar 15,1,0,0,1
Mar 16,1,0,0,1
Mar 17,1,0,0,1
Mar 18,1,0,0,1
Mar 19,1,0,0,1
Mar 20,1,0,0,1
Mar 21,1,0,0,1
Mar 22,1,0,0,1
Mar 23,2,1,0,1
Mar 24,2,1,0,1
Mar 25,3,2,0,1
Mar 26,3,2,0,1
Mar 27,4,3,0,1
Mar 28,5,4,0,1
Mar 29,5,4,0,1
Mar 30,5,4,0,1
Mar 31,5,4,0,1
Apr 01,5,4,0,1
Apr 02,6,5,0,1
Apr 03,6,5,0,1
Apr 04,9,8,0,1
Apr 05,9,8,0,1
Apr 06,9,8,0,1
Apr 07,9,8,0,1
Apr 08,9,8,0,1
Apr 09,9,8,0,1
Apr 10,9,8,0,1
Apr 11,9,8,0,1
Apr 12,12,11,0,1
Apr 13,14,13,0,1
Apr 14,16,15,0,1
Apr 15,16,15,0,1
Apr 16,16,14,0,2
Apr 17,30,28,0,2
Apr 18,31,28,0,3
Apr 19,31,27,0,4
Apr 20,31,27,0,4
Apr 21,42,38,0,4
Apr 22,45,38,0,7
Apr 23,48,39,0,9
Apr 24,49,39,0,10
Apr 25,49,37,0,12
Apr 26,52,36,0,16
Apr 27,52,36,0,16
Apr 28,54,38,0,16
Apr 29,57,41,0,16
Apr 30,57,41,0,16
May 01,59,43,0,16
May 02,59,43,0,16
May 03,75,59,0,16
May 04,75,59,0,16
May 05,82,66,0,16
May 06,99,77,0,22
May 07,101,79,0,22
May 08,102,71,0,31
May 09,109,78,0,31
May 10,110,79,0,31
May 11,134,101,0,33
May 12,217,184,0,33
May 13,243,208,0,35
May 14,249,214,0,35
May 15,267,231,0,36
May 16,281,244,1,37
May 17,295,257,2,38
May 18,375,337,2,38
May 19,402,363,2,39
May 20,427,380,2,47
May 21,457,405,3,52
May 22,516,443,3,73
May 23,584,511,3,73
May 24,603,513,3,90
May 25,682,566,4,116
May 26,772,613,4,159
May 27,886,699,4,187
May 28,1042,850,5,192
May 29,1212,1000,6,212
May 30,1401,1176,6,225
May 31,1572,1344,8,228
Jun 01,1811,1582,8,229
Jun 02,2099,1825,8,274
Jun 03,2300,2013,9,287
Jun 04,2634,2334,10,300
Jun 05,2912,2568,11,344
Jun 06,3235,2857,13,378
Jun 07,3448,2968,13,480
Jun 08,3762,3260,14,502
Jun 09,4086,3487,15,599
Jun 10,4364,3675,15,689
Jun 11,4614,3738,15,876
Jun 12,5062,4169,16,893
Jun 13,5335,4404,18,931
Jun 14,5760,4767,19,993
Jun 15,6211,5151,19,1060
Jun 16,6591,5414,19,1177
Jun 17,7177,5990,20,1187
Jun 18,7848,6640,22,1208
Jun 19,8274,6850,22,1424
Jun 20,8605,7005,22,1600
Jun 21,9026,7231,23,1795
Jun 22,9561,7390,23,2171
Jun 23,10099,7851,24,2248
Jun 24,10728,8366,24,2362
Jun 25,11162,8486,26,2676
Jun 26,11755,9030,27,2725
Jun 27,12309,9447,28,2862
Jun 28,12772,9731,28,3041
Jun 29,13248,10085,29,3163
Jun 30,13564,10341,29,3223
Jul 01,14046,9360,30,4686
Jul 02,14519,9168,31,5351
Jul 03,15259,9084,32,6175
Jul 04,15491,9042,34,6449
Jul 05,15784,9203,34,6581
Jul 06,15964,9118,35,6846
Jul 07,16168,8634,35,7534
Jul 08,16423,8636,35,7787
Jul 09,16531,8605,35,7926
Jul 10,16649,8603,35,8046
Jul 11,16719,8239,38,8480
Jul 12,16801,8174,38,8627
Jul 13,16945,6613,38,10332
Jul 14,17061,6695,38,10366
Jul 15,17177,6113,39,11064
Jul 16,17344,6056,39,11288
Jul 17,17445,5871,40,11574
Jul 18,17502,5825,40,11677
Jul 19,17658,5923,40,11735
