Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,1,1,0,0
Feb 28,2,2,0,0
Feb 29,7,7,0,0
Mar 01,10,10,0,0
Mar 02,18,18,0,0
Mar 03,23,23,0,0
Mar 04,38,38,0,0
Mar 05,82,82,0,0
Mar 06,128,127,1,1
Mar 07,188,187,1,1
Mar 08,265,262,3,3
Mar 09,321,317,4,4
Mar 10,382,378,4,4
Mar 11,503,498,5,5
Mar 12,614,607,5,7
Mar 13,804,792,10,12
Mar 14,959,945,12,14
Mar 15,1135,1113,20,22
Mar 16,1413,1387,24,26
Mar 17,1705,1660,43,45
Mar 18,2051,1991,58,60
Mar 19,2460,2382,76,78
Mar 20,2994,2886,106,108
Mar 21,3631,3493,136,138
Mar 22,4204,4023,179,181
Mar 23,4749,4534,213,215
Mar 24,5560,5282,276,278
Mar 25,6412,6053,356,359
Mar 26,7431,6994,434,437
Mar 27,8603,8054,546,549
Mar 28,9762,9120,639,642
Mar 29,10866,9845,771,1021
Mar 30,11750,10636,864,1114
Mar 31,12595,11306,1039,1289
Apr 01,13614,12191,1173,1423
Apr 02,14697,13108,1339,1589
Apr 03,15723,13986,1487,1737
Apr 04,16627,14726,1651,1901
Apr 05,17851,15835,1766,2016
Apr 06,18803,16686,1867,2117
Apr 07,19580,17229,2101,2351
Apr 08,20549,18051,2248,2498
Apr 09,21762,19116,2396,2646
Apr 10,23097,20336,2511,2761
Apr 11,24413,21520,2643,2893
Apr 12,25587,22600,2737,2987
Apr 13,26551,23478,2823,3073
