Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,2,2,0,0
Mar 19,2,2,0,0
Mar 20,2,2,0,0
Mar 21,4,4,0,0
Mar 22,4,4,0,0
Mar 23,8,8,0,0
Mar 24,10,10,0,0
Mar 25,14,14,0,0
Mar 26,14,14,0,0
Mar 27,15,15,0,0
Mar 28,15,15,0,0
Mar 29,15,15,0,0
Mar 30,15,15,0,0
Mar 31,16,16,0,0
Apr 01,16,15,0,1
Apr 02,18,17,0,1
Apr 03,18,17,0,1
Apr 04,17,16,0,1
Apr 05,18,17,0,1
Apr 06,18,17,0,1
Apr 07,18,17,0,1
Apr 08,18,17,0,1
Apr 09,18,17,0,1
Apr 10,18,17,0,1
Apr 11,18,17,0,1
Apr 12,18,17,0,1
Apr 13,18,17,0,1
Apr 14,18,17,0,1
Apr 15,18,17,0,1
Apr 16,18,17,0,1
Apr 17,18,4,0,14
Apr 18,18,4,0,14
Apr 19,18,3,0,15
Apr 20,18,3,0,15
Apr 21,18,1,0,17
Apr 22,18,1,0,17
Apr 23,18,1,0,17
Apr 24,18,1,0,17
Apr 25,18,1,0,17
Apr 26,18,1,0,17
Apr 27,18,1,0,17
Apr 28,18,1,0,17
Apr 29,18,1,0,17
Apr 30,18,1,0,17
May 01,18,1,0,17
May 02,18,1,0,17
May 03,18,1,0,17
May 04,18,1,0,17
May 05,18,1,0,17
May 06,18,1,0,17
May 07,18,0,0,18
May 08,18,0,0,18
May 09,18,0,0,18
May 10,18,0,0,18
May 11,18,0,0,18
May 12,18,0,0,18
May 13,18,0,0,18
May 14,18,0,0,18
May 15,18,0,0,18
May 16,18,0,0,18
May 17,18,0,0,18
May 18,18,0,0,18
May 19,18,0,0,18
May 20,18,0,0,18
May 21,18,0,0,18
May 22,18,0,0,18
May 23,18,0,0,18
May 24,18,0,0,18
May 25,18,0,0,18
May 26,18,0,0,18
May 27,18,0,0,18
May 28,19,1,0,18
May 29,19,1,0,18
May 30,19,1,0,18
May 31,19,1,0,18
Jun 01,20,2,0,18
Jun 02,20,2,0,18
Jun 03,20,2,0,18
Jun 04,20,2,0,18
Jun 05,20,2,0,18
Jun 06,20,2,0,18
Jun 07,20,1,0,19
Jun 08,20,0,0,20
Jun 09,21,1,0,20
Jun 10,21,1,0,20
Jun 11,21,1,0,20
Jun 12,21,1,0,20
Jun 13,21,1,0,20
Jun 14,21,1,0,20
Jun 15,21,1,0,20
Jun 16,21,0,0,21
Jun 17,21,0,0,21
Jun 18,21,0,0,21
Jun 19,21,0,0,21
Jun 20,21,0,0,21
Jun 21,21,0,0,21
Jun 22,21,0,0,21
Jun 23,21,0,0,21
Jun 24,21,0,0,21
Jun 25,21,0,0,21
Jun 26,21,0,0,21
Jun 27,21,0,0,21
Jun 28,21,0,0,21
Jun 29,21,0,0,21
Jun 30,21,0,0,21
Jul 01,21,0,0,21
Jul 02,21,0,0,21
Jul 03,21,0,0,21
Jul 04,21,0,0,21
Jul 05,21,0,0,21
Jul 06,21,0,0,21
Jul 07,21,0,0,21
Jul 08,21,0,0,21
Jul 09,21,0,0,21
Jul 10,21,0,0,21
Jul 11,21,0,0,21
Jul 12,21,0,0,21
Jul 13,21,0,0,21
Jul 14,21,0,0,21
Jul 15,22,1,0,21
Jul 16,22,1,0,21
Jul 17,22,1,0,21
Jul 18,22,1,0,21
Jul 19,22,1,0,21
Jul 20,22,1,0,21
Jul 21,22,1,0,21
Jul 22,22,1,0,21
Jul 23,22,1,0,21
Jul 24,22,0,0,22
Jul 25,22,0,0,22
Jul 26,22,0,0,22
Jul 27,22,0,0,22
Jul 28,22,0,0,22
Jul 29,22,0,0,22
Jul 30,22,0,0,22
Jul 31,22,0,0,22
Aug 01,22,0,0,22
Aug 02,22,0,0,22
Aug 03,22,0,0,22
Aug 04,22,0,0,22
Aug 05,22,0,0,22
Aug 06,22,0,0,22
Aug 07,22,0,0,22
Aug 08,23,1,0,22
Aug 09,23,1,0,22
Aug 10,23,1,0,22
Aug 11,23,1,0,22
Aug 12,23,1,0,22
Aug 13,23,1,0,22
Aug 14,23,1,0,22
Aug 15,23,1,0,22
Aug 16,23,1,0,22
Aug 17,23,1,0,22
Aug 18,23,1,0,22
Aug 19,23,1,0,22
Aug 20,23,1,0,22
