Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,1,1,0,0
Feb 29,1,1,0,0
Mar 01,1,1,0,0
Mar 02,1,1,0,0
Mar 03,2,2,0,0
Mar 04,3,3,0,0
Mar 05,4,4,0,0
Mar 06,4,4,0,0
Mar 07,5,5,0,0
Mar 08,5,5,0,0
Mar 09,5,5,0,0
Mar 10,5,5,0,0
Mar 11,5,5,0,0
Mar 12,5,5,0,0
Mar 13,6,6,0,0
Mar 14,8,8,0,0
Mar 15,8,8,0,0
Mar 16,8,8,0,0
Mar 17,20,20,0,0
Mar 18,20,20,0,0
Mar 19,28,28,0,0
Mar 20,52,52,0,0
Mar 21,52,52,0,0
Mar 22,102,102,0,0
Mar 23,102,102,0,0
Mar 24,205,183,0,22
Mar 25,283,256,0,27
Mar 26,368,331,0,37
Mar 27,368,331,0,37
Mar 28,514,457,1,57
Mar 29,514,457,1,57
Mar 30,589,525,1,64
Mar 31,647,572,1,75
Apr 01,708,624,1,84
Apr 02,797,704,1,93
Apr 03,868,764,1,104
Apr 04,950,822,1,128
Apr 05,1039,882,1,157
Apr 06,1106,929,1,177
Apr 07,1160,918,1,242
Apr 08,1210,927,1,283
Apr 09,1239,921,1,318
Apr 10,1283,908,2,375
Apr 11,1312,886,4,426
Apr 12,1330,855,4,475
Apr 13,1349,798,5,551
