Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,1,1,0,0
Mar 20,2,2,0,0
Mar 21,2,2,0,0
Mar 22,2,2,0,0
Mar 23,2,2,0,0
Mar 24,2,2,0,0
Mar 25,2,2,0,0
Mar 26,2,2,0,0
Mar 27,4,3,1,1
Mar 28,4,3,1,1
Mar 29,4,3,1,1
Mar 30,4,3,1,1
Mar 31,5,4,1,1
Apr 01,5,4,1,1
Apr 02,5,4,1,1
Apr 03,5,4,1,1
Apr 04,5,4,1,1
Apr 05,6,5,1,1
Apr 06,6,5,1,1
Apr 07,6,5,1,1
Apr 08,6,5,1,1
Apr 09,7,6,1,1
Apr 10,7,6,1,1
Apr 11,9,8,1,1
Apr 12,9,4,1,5
Apr 13,9,4,1,5
