Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,1,1,0,0
Mar 20,2,2,0,0
Mar 21,2,2,0,0
Mar 22,2,2,0,0
Mar 23,2,2,0,0
Mar 24,2,2,0,0
Mar 25,2,2,0,0
Mar 26,2,2,0,0
Mar 27,4,3,1,1
Mar 28,4,3,1,1
Mar 29,4,3,1,1
Mar 30,4,3,1,1
Mar 31,5,4,1,1
Apr 01,5,4,1,1
Apr 02,5,4,1,1
Apr 03,5,4,1,1
Apr 04,5,4,1,1
Apr 05,6,5,1,1
Apr 06,6,5,1,1
Apr 07,6,5,1,1
Apr 08,6,5,1,1
Apr 09,7,6,1,1
Apr 10,7,6,1,1
Apr 11,9,8,1,1
Apr 12,9,4,1,5
Apr 13,9,4,1,5
Apr 14,9,4,1,5
Apr 15,9,4,1,5
Apr 16,9,4,1,5
Apr 17,9,4,1,5
Apr 18,9,1,2,8
Apr 19,10,2,2,8
Apr 20,10,2,2,8
Apr 21,10,1,2,9
Apr 22,10,1,2,9
Apr 23,11,1,3,10
Apr 24,11,1,3,10
Apr 25,12,2,3,10
Apr 26,13,3,3,10
Apr 27,13,3,3,10
Apr 28,13,3,3,10
Apr 29,13,3,3,10
Apr 30,14,4,3,10
May 01,14,4,3,10
May 02,14,4,3,10
May 03,14,4,3,10
May 04,15,3,5,12
May 05,16,4,5,12
May 06,16,4,5,12
May 07,16,4,5,12
May 08,16,4,5,12
May 09,16,4,5,12
May 10,16,4,5,12
May 11,16,4,5,12
May 12,25,10,8,15
May 13,25,10,8,15
May 14,25,10,8,15
May 15,25,10,8,15
May 16,25,10,8,15
May 17,25,10,8,15
May 18,25,10,8,15
May 19,254,38,17,216
May 20,254,38,17,216
May 21,279,63,17,216
May 22,279,63,17,216
May 23,279,63,17,216
May 24,279,63,17,216
May 25,279,63,17,216
May 26,759,354,35,405
May 27,759,354,35,405
May 28,759,354,35,405
May 29,759,354,35,405
May 30,759,354,35,405
May 31,759,354,35,405
Jun 01,759,354,35,405
Jun 02,1118,702,46,416
Jun 03,1118,702,46,416
Jun 04,1118,702,46,416
Jun 05,1118,702,46,416
Jun 06,1118,702,46,416
Jun 07,1118,702,46,416
Jun 08,1118,702,46,416
Jun 09,1464,456,55,1008
Jun 10,1464,456,55,1008
Jun 11,1464,456,55,1008
