Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,1,1,0,0
Feb 29,1,1,0,0
Mar 01,1,1,0,0
Mar 02,1,1,0,0
Mar 03,1,1,0,0
Mar 04,1,1,0,0
Mar 05,1,1,0,0
Mar 06,1,1,0,0
Mar 07,1,1,0,0
Mar 08,1,1,0,0
Mar 09,2,2,0,0
Mar 10,2,2,0,0
Mar 11,2,2,0,0
Mar 12,2,2,0,0
Mar 13,2,2,0,0
Mar 14,2,2,0,0
Mar 15,2,1,0,1
Mar 16,2,1,0,1
Mar 17,3,2,0,1
Mar 18,8,7,0,1
Mar 19,12,11,0,1
Mar 20,12,11,0,1
Mar 21,22,21,0,1
Mar 22,30,28,0,2
Mar 23,40,37,1,3
Mar 24,44,41,1,3
Mar 25,51,48,1,3
Mar 26,65,61,1,4
Mar 27,70,66,1,4
Mar 28,97,93,1,4
Mar 29,111,107,1,4
Mar 30,131,121,2,10
Mar 31,135,125,2,10
Apr 01,174,163,2,11
Apr 02,184,162,2,22
Apr 03,210,181,4,29
Apr 04,214,185,4,29
Apr 05,232,194,5,38
Apr 06,238,198,5,40
Apr 07,254,204,6,50
Apr 08,276,226,6,50
Apr 09,288,230,7,58
Apr 10,305,240,7,65
Apr 11,318,238,10,80
Apr 12,323,228,10,95
Apr 13,343,242,10,101
Apr 14,373,263,11,110
Apr 15,407,267,12,140
Apr 16,442,277,13,165
Apr 17,493,317,17,176
Apr 18,542,357,19,185
Apr 19,627,436,21,191
Apr 20,665,455,22,210
Apr 21,782,560,25,222
Apr 22,873,648,28,225
Apr 23,981,753,31,228
Apr 24,1095,855,32,240
Apr 25,1182,925,35,257
Apr 26,1273,994,40,279
Apr 27,1337,1042,40,295
Apr 28,1532,1233,44,299
