Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,1,1,0,0
Feb 27,1,1,0,0
Feb 28,1,1,0,0
Feb 29,1,1,0,0
Mar 01,1,1,0,0
Mar 02,1,1,0,0
Mar 03,1,1,0,0
Mar 04,1,1,0,0
Mar 05,1,1,0,0
Mar 06,3,3,0,0
Mar 07,3,3,0,0
Mar 08,3,3,0,0
Mar 09,5,5,0,0
Mar 10,7,7,0,0
Mar 11,9,8,0,1
Mar 12,9,8,0,1
Mar 13,14,13,0,1
Mar 14,19,18,0,1
Mar 15,19,18,0,1
Mar 16,24,23,0,1
Mar 17,31,30,0,1
Mar 18,43,42,0,1
Mar 19,50,49,0,1
Mar 20,76,75,0,1
Mar 21,85,84,0,1
Mar 22,115,113,1,2
Mar 23,136,133,2,3
Mar 24,148,145,2,3
Mar 25,177,173,3,4
Mar 26,201,195,3,6
Mar 27,219,213,3,6
Mar 28,241,234,4,7
Mar 29,259,250,6,9
Mar 30,285,266,7,19
Mar 31,329,308,9,21
Apr 01,354,326,11,28
Apr 02,384,356,11,28
Apr 03,430,398,12,32
Apr 04,483,446,17,37
Apr 05,555,514,18,41
Apr 06,570,517,23,53
Apr 07,599,543,26,56
Apr 08,617,553,29,64
Apr 09,663,596,30,67
Apr 10,711,638,32,73
Apr 11,760,685,34,75
Apr 12,828,753,34,75
Apr 13,854,772,38,82
Apr 14,908,778,44,130
Apr 15,974,831,45,143
Apr 16,1081,914,46,167
Apr 17,1117,929,49,188
Apr 18,1170,957,49,213
Apr 19,1207,977,51,230
Apr 20,1225,971,54,254
Apr 21,1231,952,55,279
Apr 22,1259,931,56,328
Apr 23,1300,943,56,357
Apr 24,1326,932,57,394
Apr 25,1367,934,59,433
Apr 26,1386,825,61,561
Apr 27,1399,781,65,618
Apr 28,1421,761,71,660
