Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,1,1,0,0
Feb 27,1,1,0,0
Feb 28,1,1,0,0
Feb 29,1,1,0,0
Mar 01,1,1,0,0
Mar 02,1,1,0,0
Mar 03,1,1,0,0
Mar 04,1,1,0,0
Mar 05,1,1,0,0
Mar 06,3,3,0,0
Mar 07,3,3,0,0
Mar 08,3,3,0,0
Mar 09,5,5,0,0
Mar 10,7,7,0,0
Mar 11,9,8,0,1
Mar 12,9,8,0,1
Mar 13,14,13,0,1
Mar 14,19,18,0,1
Mar 15,19,18,0,1
Mar 16,24,23,0,1
Mar 17,31,30,0,1
Mar 18,43,42,0,1
Mar 19,50,49,0,1
Mar 20,76,75,0,1
Mar 21,85,84,0,1
Mar 22,115,113,1,2
Mar 23,136,133,2,3
Mar 24,148,145,2,3
Mar 25,177,173,3,4
Mar 26,201,195,3,6
Mar 27,219,213,3,6
Mar 28,241,234,4,7
Mar 29,259,250,6,9
Mar 30,285,266,7,19
Mar 31,329,308,9,21
Apr 01,354,326,11,28
Apr 02,384,356,11,28
Apr 03,430,398,12,32
Apr 04,483,446,17,37
Apr 05,555,514,18,41
Apr 06,570,517,23,53
Apr 07,599,543,26,56
Apr 08,617,553,29,64
Apr 09,663,596,30,67
Apr 10,711,638,32,73
Apr 11,760,685,34,75
Apr 12,828,753,34,75
Apr 13,854,772,38,82
Apr 14,908,778,44,130
Apr 15,974,831,45,143
Apr 16,1081,914,46,167
Apr 17,1117,929,49,188
Apr 18,1170,957,49,213
Apr 19,1207,977,51,230
Apr 20,1225,971,54,254
Apr 21,1231,952,55,279
Apr 22,1259,931,56,328
Apr 23,1300,943,56,357
Apr 24,1326,932,57,394
Apr 25,1367,934,59,433
Apr 26,1386,825,61,561
Apr 27,1399,781,65,618
Apr 28,1421,761,71,660
Apr 29,1442,742,73,700
Apr 30,1465,650,77,815
May 01,1494,606,81,888
May 02,1506,572,82,934
May 03,1511,482,84,1029
May 04,1518,441,85,1077
May 05,1526,427,86,1099
May 06,1539,394,88,1145
May 07,1572,404,89,1168
May 08,1586,397,90,1189
May 09,1622,419,91,1203
May 10,1642,415,91,1227
May 11,1664,373,91,1291
May 12,1674,377,92,1297
May 13,1694,370,95,1324
May 14,1723,393,95,1330
May 15,1740,392,97,1348
May 16,1762,397,98,1365
May 17,1792,398,101,1394
May 18,1817,412,104,1405
May 19,1839,382,106,1457
May 20,1858,381,110,1477
May 21,1898,409,111,1489
May 22,1921,422,112,1499
May 23,1941,417,113,1524
May 24,1978,443,113,1535
May 25,1999,447,113,1552
May 26,2014,445,116,1569
May 27,2039,450,119,1589
May 28,2077,470,121,1607
May 29,2129,487,126,1642
May 30,2164,498,131,1666
May 31,2226,541,133,1685
Jun 01,2315,606,140,1709
Jun 02,2391,655,141,1736
Jun 03,2492,742,145,1750
Jun 04,2611,843,147,1768
Jun 05,2790,1009,149,1781
Jun 06,2915,1124,151,1791
Jun 07,3025,1226,153,1799
Jun 08,3152,1343,156,1809
Jun 09,3239,1424,157,1815
Jun 10,3364,1536,164,1828
Jun 11,3538,1687,169,1851
