Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,2,2,0,0
Feb 27,2,2,0,0
Feb 28,2,2,0,0
Feb 29,4,4,0,0
Mar 01,4,4,0,0
Mar 02,4,4,0,0
Mar 03,5,5,0,0
Mar 04,5,5,0,0
Mar 05,5,5,0,0
Mar 06,6,5,0,1
Mar 07,6,5,0,1
Mar 08,7,6,0,1
Mar 09,16,15,0,1
Mar 10,19,17,0,2
Mar 11,20,18,0,2
Mar 12,21,19,0,2
Mar 13,28,26,0,2
Mar 14,33,31,0,2
Mar 15,53,51,0,2
Mar 16,184,182,0,2
Mar 17,247,245,0,2
Mar 18,307,292,2,15
Mar 19,454,439,2,15
Mar 20,501,485,3,16
Mar 21,645,629,3,16
Mar 22,776,758,5,18
Mar 23,875,856,6,19
Mar 24,972,947,7,25
Mar 25,1063,1034,8,29
Mar 26,1201,1171,9,30
Mar 27,1373,1339,11,34
Mar 28,1495,1454,12,41
Mar 29,1597,1554,14,43
Mar 30,1717,1620,21,97
Mar 31,1938,1836,26,102
Apr 01,2118,1997,27,121
Apr 02,2421,2262,34,159
Apr 03,2686,2520,40,166
Apr 04,2818,2646,41,172
Apr 05,3157,2899,47,258
Apr 06,3766,3454,53,312
Apr 07,4035,3549,57,486
Apr 08,4263,3735,61,528
Apr 09,4489,3852,65,637
Apr 10,4695,3902,66,793
Apr 11,5011,4163,86,848
Apr 12,5230,4111,91,1119
Apr 13,5496,4308,93,1188
Apr 14,5837,4363,96,1474
Apr 15,6383,4826,111,1557
Apr 16,6919,5146,128,1773
Apr 17,7025,5125,135,1900
Apr 18,7638,5663,143,1975
Apr 19,8348,6312,168,2036
Apr 20,8892,6746,176,2146
Apr 21,9565,7291,201,2274
Apr 22,10076,7708,212,2368
Apr 23,11057,8485,235,2572
Apr 24,11940,8932,253,3008
Apr 25,12723,9588,269,3135
Apr 26,13328,10111,281,3217
Apr 27,13915,10594,292,3321
Apr 28,14612,11067,312,3545
Apr 29,15525,11757,343,3768
Apr 30,16473,12007,361,4466
May 01,18092,13324,417,4768
May 02,19022,13832,437,5190
May 03,20084,14513,457,5571
May 04,20941,14830,476,6111
May 05,22049,15734,514,6315
May 06,23214,16389,544,6825
May 07,24644,17595,585,7049
May 08,26435,18306,599,8129
May 09,28736,20291,636,8445
May 10,30334,21612,659,8722
May 11,30941,22062,667,8879
May 12,32674,23395,724,9279
May 13,35298,25638,761,9660
May 14,35788,25323,770,10465
May 15,37218,26260,803,10958
May 16,38799,27085,834,11714
May 17,40151,27937,873,12214
May 18,42125,29300,903,12825
May 19,43966,30538,939,13428
May 20,45898,31812,985,14086
May 21,48091,32919,1017,15172
May 22,50694,34426,1067,16268
May 23,52437,34683,1101,17754
May 24,54601,36270,1133,18331
May 25,56349,37700,1167,18649
May 26,57705,38194,1197,19511
May 27,59151,38784,1225,20367
