Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,7,7,0,0
Mar 06,16,16,0,0
Mar 07,19,19,0,0
Mar 08,19,19,0,0
Mar 09,25,25,0,0
Mar 10,29,29,0,0
Mar 11,30,30,0,0
Mar 12,31,31,0,0
Mar 13,35,35,0,0
Mar 14,38,38,0,0
Mar 15,38,38,0,0
Mar 16,39,39,0,0
Mar 17,44,44,0,0
Mar 18,44,44,0,0
Mar 19,47,47,0,0
Mar 20,48,31,0,17
Mar 21,53,36,0,17
Mar 22,59,42,0,17
Mar 23,59,42,0,17
Mar 24,60,44,0,16
Mar 25,71,54,1,17
Mar 26,86,68,1,18
Mar 27,91,73,1,18
Mar 28,104,85,1,19
Mar 29,109,90,1,19
Mar 30,117,98,1,19
Mar 31,119,100,1,19
Apr 01,134,115,1,19
Apr 02,161,142,1,19
Apr 03,194,172,1,22
Apr 04,217,195,1,22
Apr 05,237,211,1,26
Apr 06,254,229,1,25
Apr 07,261,218,1,43
Apr 08,263,218,1,45
Apr 09,263,218,1,45
Apr 10,267,220,2,47
Apr 11,268,209,2,59
Apr 12,290,230,2,60
Apr 13,308,248,2,60
