Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,7,7,0,0
Mar 06,16,16,0,0
Mar 07,19,19,0,0
Mar 08,19,19,0,0
Mar 09,26,26,0,0
Mar 10,31,31,0,0
Mar 11,31,31,0,0
Mar 12,32,32,0,0
Mar 13,36,36,0,0
Mar 14,39,39,0,0
Mar 15,39,39,0,0
Mar 16,40,40,0,0
Mar 17,43,43,0,0
Mar 18,43,43,0,0
Mar 19,45,45,0,0
Mar 20,47,30,0,17
Mar 21,50,33,0,17
Mar 22,57,40,0,17
Mar 23,57,40,0,17
Mar 24,58,42,0,16
Mar 25,63,46,1,17
Mar 26,84,66,1,18
Mar 27,91,73,1,18
Mar 28,98,79,1,19
Mar 29,106,87,1,19
Mar 30,117,98,1,19
Mar 31,119,100,1,19
Apr 01,133,114,1,19
Apr 02,154,135,1,19
Apr 03,193,171,1,22
Apr 04,217,195,1,22
Apr 05,236,210,1,26
Apr 06,254,229,1,25
Apr 07,261,218,1,43
Apr 08,263,218,1,45
Apr 09,263,218,1,45
Apr 10,267,220,2,47
Apr 11,268,209,2,59
Apr 12,271,211,2,60
Apr 13,274,214,2,60
Apr 14,288,224,2,64
Apr 15,291,226,2,65
Apr 16,295,230,2,65
Apr 17,307,236,2,71
Apr 18,313,242,2,71
Apr 19,322,249,2,73
Apr 20,329,256,2,73
Apr 21,334,261,2,73
Apr 22,335,262,2,73
Apr 23,336,242,2,94
Apr 24,340,246,2,94
Apr 25,342,248,2,94
Apr 26,342,257,2,85
Apr 27,342,257,2,85
Apr 28,343,270,2,73
Apr 29,344,271,2,73
Apr 30,344,266,2,78
May 01,353,275,2,78
May 02,353,275,2,78
May 03,353,274,2,79
May 04,362,258,2,104
May 05,371,242,2,129
May 06,374,198,2,176
May 07,375,197,2,178
May 08,375,145,2,230
May 09,375,145,2,230
May 10,375,110,2,265
May 11,375,72,2,303
May 12,375,65,2,310
May 13,375,63,2,312
May 14,375,63,2,312
May 15,375,58,2,317
May 16,376,45,2,331
May 17,381,44,2,337
May 18,388,49,2,339
May 19,391,43,2,348
May 20,398,50,2,348
May 21,423,75,2,348
May 22,423,75,2,348
May 23,423,72,3,351
May 24,423,63,3,360
May 25,423,63,3,360
May 26,429,61,3,368
May 27,434,66,3,368
May 28,446,75,3,371
May 29,446,75,3,371
May 30,447,76,3,371
May 31,448,73,3,375
Jun 01,449,74,3,375
Jun 02,451,76,3,375
Jun 03,457,82,3,375
Jun 04,464,84,3,380
Jun 05,464,84,3,380
Jun 06,464,61,3,403
Jun 07,472,66,3,406
Jun 08,473,66,3,407
Jun 09,481,74,3,407
Jun 10,485,72,3,413
Jun 11,487,74,3,413
Jun 12,489,72,3,417
Jun 13,489,71,3,418
Jun 14,492,74,3,418
Jun 15,505,87,3,418
Jun 16,514,96,3,418
Jun 17,555,137,3,418
Jun 18,600,182,3,418
Jun 19,675,235,3,440
Jun 20,784,344,3,440
Jun 21,833,391,3,442
Jun 22,1001,556,3,445
Jun 23,1169,724,3,445
Jun 24,1328,883,3,445
Jun 25,1382,933,3,449
Jun 26,1557,1108,3,449
Jun 27,1815,1365,4,450
Jun 28,1990,1539,4,451
Jun 29,2185,1733,5,452
Jun 30,2428,1969,8,459
Jul 01,2758,2290,8,468
Jul 02,3080,2611,9,469
Jul 03,3334,2860,11,474
Jul 04,3835,3359,13,476
Jul 05,4277,3770,16,507
Jul 06,4341,3833,17,508
Jul 07,4647,4135,18,512
Jul 08,5029,4515,20,514
Jul 09,5220,4671,24,549
Jul 10,5551,4988,27,563
Jul 11,5931,5362,33,569
Jul 12,6230,5252,36,978
Jul 13,6566,5443,39,1123
Jul 14,6764,5636,44,1128
Jul 15,7064,5936,44,1128
Jul 16,7412,6048,51,1364
Jul 17,7764,6219,53,1545
Jul 18,8204,6549,59,1655
Jul 19,8549,6566,62,1983
Jul 20,8916,6932,63,1984
Jul 21,9228,7232,64,1996
Jul 22,9398,7382,66,2016
Jul 23,9744,6957,67,2787
Jul 24,10093,7303,70,2790
Jul 25,10306,6949,75,3357
Jul 26,10469,6641,76,3828
Jul 27,10621,6791,78,3830
Jul 28,10938,7107,79,3831
Jul 29,11284,6371,80,4913
Jul 30,11548,6451,81,5097
Jul 31,11837,6678,82,5159
Aug 01,12160,6753,83,5407
Aug 02,12297,6823,84,5474
Aug 03,12541,7067,84,5474
Aug 04,12770,6265,86,6505
Aug 05,13065,6358,89,6707
Aug 06,13398,6399,92,6999
Aug 07,13722,6418,94,7304
Aug 08,13928,6126,96,7802
Aug 09,14208,6166,97,8042
Aug 10,14510,6365,100,8145
Aug 11,14875,6590,104,8285
Aug 12,15184,6710,105,8474
Aug 13,15491,6199,106,9292
Aug 14,15834,6346,106,9488
Aug 15,16153,6657,108,9496
Aug 16,16534,6586,110,9948
Aug 17,16844,6825,113,10019
Aug 18,17306,7254,113,10052
Aug 19,17606,7175,119,10431
Aug 20,17989,7187,120,10802
