Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,7,7,0,0
Mar 06,16,16,0,0
Mar 07,19,19,0,0
Mar 08,19,19,0,0
Mar 09,26,26,0,0
Mar 10,31,31,0,0
Mar 11,31,31,0,0
Mar 12,32,32,0,0
Mar 13,36,36,0,0
Mar 14,39,39,0,0
Mar 15,39,39,0,0
Mar 16,40,40,0,0
Mar 17,43,43,0,0
Mar 18,43,43,0,0
Mar 19,45,45,0,0
Mar 20,47,30,0,17
Mar 21,50,33,0,17
Mar 22,57,40,0,17
Mar 23,57,40,0,17
Mar 24,58,42,0,16
Mar 25,63,46,1,17
Mar 26,84,66,1,18
Mar 27,91,73,1,18
Mar 28,98,79,1,19
Mar 29,106,87,1,19
Mar 30,117,98,1,19
Mar 31,119,100,1,19
Apr 01,133,114,1,19
Apr 02,154,135,1,19
Apr 03,193,171,1,22
Apr 04,217,195,1,22
Apr 05,236,210,1,26
Apr 06,254,229,1,25
Apr 07,261,218,1,43
Apr 08,263,218,1,45
Apr 09,263,218,1,45
Apr 10,267,220,2,47
Apr 11,268,209,2,59
Apr 12,271,211,2,60
Apr 13,274,214,2,60
Apr 14,288,224,2,64
Apr 15,291,226,2,65
Apr 16,295,230,2,65
Apr 17,307,236,2,71
Apr 18,313,242,2,71
Apr 19,322,249,2,73
Apr 20,329,256,2,73
Apr 21,334,261,2,73
Apr 22,335,262,2,73
Apr 23,336,242,2,94
Apr 24,340,246,2,94
Apr 25,342,248,2,94
Apr 26,342,257,2,85
Apr 27,342,257,2,85
Apr 28,343,270,2,73
Apr 29,344,271,2,73
Apr 30,344,266,2,78
May 01,353,275,2,78
May 02,353,275,2,78
May 03,353,274,2,79
May 04,362,258,2,104
May 05,371,242,2,129
May 06,374,198,2,176
May 07,375,197,2,178
May 08,375,145,2,230
May 09,375,145,2,230
May 10,375,110,2,265
May 11,375,72,2,303
May 12,375,65,2,310
May 13,375,63,2,312
May 14,375,63,2,312
May 15,375,58,2,317
May 16,376,45,2,331
May 17,381,44,2,337
May 18,388,49,2,339
May 19,391,43,2,348
May 20,398,50,2,348
May 21,423,75,2,348
May 22,423,75,2,348
May 23,423,72,3,351
May 24,423,63,3,360
May 25,423,63,3,360
May 26,429,61,3,368
May 27,434,66,3,368
