Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,1,1,0,0
Mar 21,1,1,0,0
Mar 22,1,1,0,0
Mar 23,1,1,0,0
Mar 24,1,1,0,0
Mar 25,1,1,0,0
Mar 26,1,1,0,0
Mar 27,1,1,0,0
Mar 28,1,1,0,0
Mar 29,1,1,0,0
Mar 30,1,1,0,0
Mar 31,1,1,0,0
Apr 01,1,1,0,0
Apr 02,1,1,0,0
Apr 03,1,1,0,0
Apr 04,1,1,0,0
Apr 05,1,1,0,0
Apr 06,2,2,0,0
Apr 07,2,2,0,0
Apr 08,2,2,0,0
Apr 09,2,2,0,0
Apr 10,2,2,0,0
Apr 11,2,2,0,0
Apr 12,2,2,0,0
Apr 13,2,2,0,0
Apr 14,2,2,0,0
Apr 15,2,2,0,0
Apr 16,7,7,0,0
Apr 17,7,7,0,0
Apr 18,7,7,0,0
Apr 19,7,7,0,0
Apr 20,7,7,0,0
Apr 21,7,7,0,0
Apr 22,8,8,0,0
Apr 23,8,8,0,0
Apr 24,8,8,0,0
Apr 25,8,8,0,0
Apr 26,8,8,0,0
Apr 27,8,8,0,0
Apr 28,8,8,0,0
Apr 29,8,8,0,0
Apr 30,8,8,0,0
May 01,8,8,0,0
May 02,8,8,0,0
May 03,8,8,0,0
May 04,8,2,0,6
May 05,8,0,0,8
May 06,8,0,0,8
May 07,8,0,0,8
May 08,8,0,0,8
May 09,8,0,0,8
May 10,8,0,0,8
May 11,8,0,0,8
May 12,8,0,0,8
May 13,8,0,0,8
May 14,8,0,0,8
May 15,8,0,0,8
May 16,8,0,0,8
May 17,8,0,0,8
May 18,8,0,0,8
May 19,8,0,0,8
May 20,8,0,0,8
May 21,8,0,0,8
May 22,8,0,0,8
May 23,8,0,0,8
May 24,8,0,0,8
May 25,8,0,0,8
May 26,8,0,0,8
May 27,8,0,0,8
May 28,8,0,0,8
May 29,8,0,0,8
May 30,8,0,0,8
May 31,8,0,0,8
Jun 01,8,0,0,8
Jun 02,8,0,0,8
Jun 03,8,0,0,8
Jun 04,8,0,0,8
Jun 05,8,0,0,8
Jun 06,8,0,0,8
Jun 07,8,0,0,8
Jun 08,8,0,0,8
Jun 09,8,0,0,8
Jun 10,8,0,0,8
Jun 11,8,0,0,8
Jun 12,8,0,0,8
Jun 13,8,0,0,8
Jun 14,8,0,0,8
Jun 15,8,0,0,8
Jun 16,8,0,0,8
Jun 17,8,0,0,8
Jun 18,8,0,0,8
Jun 19,8,0,0,8
Jun 20,8,0,0,8
Jun 21,8,0,0,8
Jun 22,9,1,0,8
Jun 23,9,1,0,8
Jun 24,10,2,0,8
Jun 25,10,2,0,8
Jun 26,11,3,0,8
Jun 27,11,3,0,8
Jun 28,11,3,0,8
Jun 29,11,3,0,8
Jun 30,11,3,0,8
Jul 01,11,3,0,8
Jul 02,11,3,0,8
Jul 03,11,3,0,8
Jul 04,11,3,0,8
Jul 05,11,3,0,8
Jul 06,11,3,0,8
Jul 07,11,3,0,8
Jul 08,11,3,0,8
Jul 09,11,3,0,8
Jul 10,11,3,0,8
Jul 11,11,3,0,8
Jul 12,11,3,0,8
Jul 13,11,3,0,8
Jul 14,11,3,0,8
Jul 15,11,3,0,8
Jul 16,11,3,0,8
Jul 17,16,8,0,8
Jul 18,16,8,0,8
Jul 19,16,8,0,8
Jul 20,19,11,0,8
Jul 21,27,19,0,8
Jul 22,30,22,0,8
Jul 23,31,20,0,11
Jul 24,32,21,0,11
Jul 25,39,28,0,11
Jul 26,62,51,0,11
Jul 27,62,51,0,11
Jul 28,63,52,0,11
Jul 29,63,50,2,13
Jul 30,63,50,2,13
Jul 31,72,59,2,13
Aug 01,91,55,2,36
Aug 02,110,74,2,36
Aug 03,111,75,2,36
Aug 04,114,78,2,36
Aug 05,153,107,2,46
Aug 06,163,107,3,56
Aug 07,188,132,3,56
Aug 08,188,132,3,56
Aug 09,214,158,3,56
Aug 10,214,158,3,56
Aug 11,214,140,3,74
Aug 12,269,188,3,81
Aug 13,271,190,3,81
Aug 14,271,190,3,81
Aug 15,271,190,3,81
Aug 16,323,210,3,113
Aug 17,333,220,3,113
Aug 18,347,234,3,113
Aug 19,347,234,3,113
Aug 20,361,159,4,202
