Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,1,1,0,0
Mar 21,1,1,0,0
Mar 22,1,1,0,0
Mar 23,1,1,0,0
Mar 24,1,1,0,0
Mar 25,1,1,0,0
Mar 26,1,1,0,0
Mar 27,1,1,0,0
Mar 28,1,1,0,0
Mar 29,1,1,0,0
Mar 30,1,1,0,0
Mar 31,1,1,0,0
Apr 01,1,1,0,0
Apr 02,1,1,0,0
Apr 03,1,1,0,0
Apr 04,1,1,0,0
Apr 05,1,1,0,0
Apr 06,2,2,0,0
Apr 07,2,2,0,0
Apr 08,2,2,0,0
Apr 09,2,2,0,0
Apr 10,2,2,0,0
Apr 11,2,2,0,0
Apr 12,2,2,0,0
Apr 13,2,2,0,0
Apr 14,2,2,0,0
Apr 15,2,2,0,0
Apr 16,7,7,0,0
Apr 17,7,7,0,0
Apr 18,7,7,0,0
Apr 19,7,7,0,0
Apr 20,7,7,0,0
Apr 21,7,7,0,0
Apr 22,8,8,0,0
Apr 23,8,8,0,0
Apr 24,8,8,0,0
Apr 25,8,8,0,0
Apr 26,8,8,0,0
Apr 27,8,8,0,0
Apr 28,8,8,0,0
Apr 29,8,8,0,0
Apr 30,8,8,0,0
May 01,8,8,0,0
May 02,8,8,0,0
May 03,8,8,0,0
May 04,8,2,0,6
May 05,8,0,0,8
May 06,8,0,0,8
May 07,8,0,0,8
May 08,8,0,0,8
May 09,8,0,0,8
May 10,8,0,0,8
May 11,8,0,0,8
May 12,8,0,0,8
May 13,8,0,0,8
May 14,8,0,0,8
May 15,8,0,0,8
May 16,8,0,0,8
May 17,8,0,0,8
May 18,8,0,0,8
May 19,8,0,0,8
May 20,8,0,0,8
May 21,8,0,0,8
May 22,8,0,0,8
May 23,8,0,0,8
May 24,8,0,0,8
May 25,8,0,0,8
May 26,8,0,0,8
May 27,8,0,0,8
May 28,8,0,0,8
May 29,8,0,0,8
May 30,8,0,0,8
May 31,8,0,0,8
Jun 01,8,0,0,8
Jun 02,8,0,0,8
Jun 03,8,0,0,8
Jun 04,8,0,0,8
Jun 05,8,0,0,8
Jun 06,8,0,0,8
Jun 07,8,0,0,8
Jun 08,8,0,0,8
Jun 09,8,0,0,8
Jun 10,8,0,0,8
Jun 11,8,0,0,8
