Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,1,1,0,0
Mar 08,1,1,0,0
Mar 09,1,1,0,0
Mar 10,2,2,0,0
Mar 11,5,5,0,0
Mar 12,6,6,0,0
Mar 13,6,6,0,0
Mar 14,7,7,0,0
Mar 15,8,8,0,0
Mar 16,8,8,0,0
Mar 17,9,9,0,0
Mar 18,11,11,0,0
Mar 19,13,13,0,0
Mar 20,18,18,0,0
Mar 21,22,21,1,1
Mar 22,22,21,1,1
Mar 23,22,21,1,1
Mar 24,27,25,2,2
Mar 25,37,34,3,3
Mar 26,41,38,3,3
Mar 27,52,48,3,4
Mar 28,56,52,3,4
Mar 29,59,55,3,4
Mar 30,64,60,3,4
Mar 31,65,61,3,4
Apr 01,69,65,3,4
Apr 02,77,72,3,5
Apr 03,92,83,3,9
Apr 04,96,81,3,15
Apr 05,104,89,3,15
Apr 06,113,96,5,17
Apr 07,115,95,5,20
Apr 08,119,99,5,20
Apr 09,124,101,5,23
Apr 10,129,105,6,24
Apr 11,133,109,6,24
Apr 12,134,106,6,28
Apr 13,147,119,6,28
Apr 14,159,130,7,29
Apr 15,161,130,8,31
Apr 16,174,136,8,38
Apr 17,199,161,8,38
Apr 18,202,159,8,43
Apr 19,206,157,8,49
Apr 20,208,154,8,54
Apr 21,208,147,8,61
Apr 22,213,142,9,71
Apr 23,213,137,9,76
Apr 24,220,141,9,79
Apr 25,223,136,9,87
Apr 26,228,134,9,94
Apr 27,228,126,9,102
Apr 28,230,126,9,104
