Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,1,1,0,0
Mar 08,1,1,0,0
Mar 09,1,1,0,0
Mar 10,2,2,0,0
Mar 11,5,5,0,0
Mar 12,6,6,0,0
Mar 13,6,6,0,0
Mar 14,7,7,0,0
Mar 15,8,8,0,0
Mar 16,8,8,0,0
Mar 17,9,9,0,0
Mar 18,11,11,0,0
Mar 19,13,13,0,0
Mar 20,18,18,0,0
Mar 21,22,21,1,1
Mar 22,22,21,1,1
Mar 23,22,21,1,1
Mar 24,27,25,2,2
Mar 25,37,34,3,3
Mar 26,41,38,3,3
Mar 27,52,48,3,4
Mar 28,56,52,3,4
Mar 29,59,55,3,4
Mar 30,64,60,3,4
Mar 31,65,61,3,4
Apr 01,69,65,3,4
Apr 02,77,72,3,5
Apr 03,92,83,3,9
Apr 04,96,81,3,15
Apr 05,104,89,3,15
Apr 06,113,96,5,17
Apr 07,115,95,5,20
Apr 08,119,99,5,20
Apr 09,124,101,5,23
Apr 10,129,105,6,24
Apr 11,133,109,6,24
Apr 12,134,106,6,28
Apr 13,147,119,6,28
Apr 14,159,130,7,29
Apr 15,161,130,8,31
Apr 16,174,136,8,38
Apr 17,199,161,8,38
Apr 18,202,159,8,43
Apr 19,206,157,8,49
Apr 20,208,154,8,54
Apr 21,208,147,8,61
Apr 22,213,142,9,71
Apr 23,213,137,9,76
Apr 24,220,141,9,79
Apr 25,223,136,9,87
Apr 26,228,134,9,94
Apr 27,228,126,9,102
Apr 28,230,126,9,104
Apr 29,239,128,9,111
Apr 30,249,129,9,120
May 01,266,143,10,123
May 02,333,208,10,125
May 03,370,241,10,129
May 04,396,260,10,136
May 05,431,286,10,145
May 06,440,288,10,152
May 07,462,304,10,158
May 08,563,401,10,162
May 09,689,524,10,165
May 10,713,538,10,175
May 11,724,544,10,180
May 12,737,554,10,183
May 13,740,547,11,193
May 14,754,559,11,195
May 15,759,555,11,204
May 16,778,569,11,209
May 17,786,573,11,213
May 18,788,558,11,230
May 19,829,588,11,241
May 20,833,580,11,253
May 21,836,569,11,267
May 22,838,563,11,275
May 23,850,541,11,309
May 24,862,544,11,318
May 25,865,510,11,355
May 26,877,484,11,393
May 27,884,481,11,403
May 28,900,487,11,413
May 29,917,493,11,424
May 30,964,487,11,477
May 31,986,498,11,488
Jun 01,995,496,11,499
Jun 02,1013,504,11,509
Jun 03,1070,548,11,522
Jun 04,1086,564,11,522
Jun 05,1087,560,11,527
Jun 06,1090,547,11,543
Jun 07,1135,549,11,586
Jun 08,1145,531,11,614
Jun 09,1187,572,11,615
Jun 10,1202,572,11,630
Jun 11,1230,595,11,635
Jun 12,1254,610,11,644
Jun 13,1261,603,11,658
Jun 14,1289,628,11,661
Jun 15,1296,611,12,685
Jun 16,1303,592,12,711
Jun 17,1308,584,13,724
Jun 18,1330,600,13,730
Jun 19,1336,582,13,754
Jun 20,1362,558,13,804
Jun 21,1379,495,13,884
Jun 22,1392,476,13,916
Jun 23,1422,483,13,939
Jun 24,1528,571,13,957
Jun 25,1569,580,13,989
Jun 26,1711,685,13,1026
Jun 27,1942,882,15,1060
Jun 28,2127,1047,15,1080
Jun 29,2191,1095,16,1096
Jun 30,2221,1115,17,1106
Jul 01,2260,1139,19,1121
Jul 02,2303,1176,19,1127
Jul 03,2349,1217,19,1132
Jul 04,2385,1231,20,1154
Jul 05,2427,1241,20,1186
Jul 06,2456,1256,20,1200
Jul 07,2502,1289,20,1213
Jul 08,2554,1322,20,1232
Jul 09,2638,1389,20,1249
Jul 10,2736,1460,20,1276
Jul 11,2820,1538,21,1282
Jul 12,2948,1651,22,1297
Jul 13,2980,1662,25,1318
Jul 14,3074,1741,25,1333
Jul 15,3198,1835,25,1363
Jul 16,3342,1936,27,1406
Jul 17,3457,1948,28,1509
Jul 18,3629,1957,29,1672
Jul 19,3721,1772,31,1949
Jul 20,3748,1544,33,2204
Jul 21,3817,1475,35,2342
Jul 22,4000,1573,36,2427
Jul 23,4113,1590,36,2523
Jul 24,4224,1590,38,2634
Jul 25,4328,1609,40,2719
Jul 26,4444,1609,41,2835
Jul 27,4548,1600,43,2948
Jul 28,4674,1590,45,3084
Jul 29,4866,1651,46,3215
Jul 30,5207,1910,47,3297
Jul 31,5338,1741,49,3597
Aug 01,5485,1647,52,3838
Aug 02,5644,1626,52,4018
Aug 03,5724,1420,55,4304
Aug 04,5852,1148,59,4704
Aug 05,6060,1160,61,4900
Aug 06,6375,1335,66,5040
Aug 07,6508,1316,69,5192
Aug 08,6705,1452,72,5253
Aug 09,6907,1610,75,5297
Aug 10,7234,1876,82,5358
Aug 11,7519,2107,86,5412
Aug 12,8018,2541,93,5477
Aug 13,8389,2776,97,5613
Aug 14,9022,3257,108,5765
Aug 15,9381,3413,127,5968
Aug 16,9791,3619,138,6172
Aug 17,10135,3780,145,6355
Aug 18,10606,4043,161,6563
Aug 19,11133,4386,165,6747
Aug 20,11817,4864,170,6953
