Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,1,1,0,0
Mar 08,1,1,0,0
Mar 09,1,1,0,0
Mar 10,2,2,0,0
Mar 11,5,5,0,0
Mar 12,6,6,0,0
Mar 13,6,6,0,0
Mar 14,7,7,0,0
Mar 15,8,8,0,0
Mar 16,8,8,0,0
Mar 17,9,9,0,0
Mar 18,11,11,0,0
Mar 19,13,13,0,0
Mar 20,18,18,0,0
Mar 21,22,21,1,1
Mar 22,22,21,1,1
Mar 23,22,21,1,1
Mar 24,27,25,2,2
Mar 25,37,34,3,3
Mar 26,41,38,3,3
Mar 27,52,48,3,4
Mar 28,56,52,3,4
Mar 29,59,55,3,4
Mar 30,64,60,3,4
Mar 31,65,61,3,4
Apr 01,69,65,3,4
Apr 02,77,72,3,5
Apr 03,92,83,3,9
Apr 04,96,81,3,15
Apr 05,104,89,3,15
Apr 06,113,96,5,17
Apr 07,115,95,5,20
Apr 08,119,99,5,20
Apr 09,124,101,5,23
Apr 10,129,105,6,24
Apr 11,133,109,6,24
Apr 12,134,106,6,28
Apr 13,147,119,6,28
Apr 14,159,130,7,29
Apr 15,161,130,8,31
Apr 16,174,136,8,38
Apr 17,199,161,8,38
Apr 18,202,159,8,43
Apr 19,206,157,8,49
Apr 20,208,154,8,54
Apr 21,208,147,8,61
Apr 22,213,142,9,71
Apr 23,213,137,9,76
Apr 24,220,141,9,79
Apr 25,223,136,9,87
Apr 26,228,134,9,94
Apr 27,228,126,9,102
Apr 28,230,126,9,104
Apr 29,239,128,9,111
Apr 30,249,129,9,120
May 01,266,143,10,123
May 02,333,208,10,125
May 03,370,241,10,129
May 04,396,260,10,136
May 05,431,286,10,145
May 06,440,288,10,152
May 07,462,304,10,158
May 08,563,401,10,162
May 09,689,524,10,165
May 10,713,538,10,175
May 11,724,544,10,180
May 12,737,554,10,183
May 13,740,547,11,193
May 14,754,559,11,195
May 15,759,555,11,204
May 16,778,569,11,209
May 17,786,573,11,213
May 18,788,558,11,230
May 19,829,588,11,241
May 20,833,580,11,253
May 21,836,569,11,267
May 22,838,563,11,275
May 23,850,541,11,309
May 24,862,544,11,318
May 25,865,510,11,355
May 26,877,484,11,393
May 27,884,481,11,403
May 28,900,487,11,413
May 29,917,493,11,424
May 30,964,487,11,477
May 31,986,498,11,488
Jun 01,995,496,11,499
Jun 02,1013,504,11,509
Jun 03,1070,548,11,522
Jun 04,1086,564,11,522
Jun 05,1087,560,11,527
Jun 06,1090,547,11,543
Jun 07,1135,549,11,586
Jun 08,1145,531,11,614
Jun 09,1187,572,11,615
Jun 10,1202,572,11,630
Jun 11,1230,595,11,635
