Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,1,1,0,0
Mar 07,6,6,0,0
Mar 08,7,7,0,0
Mar 09,9,9,0,0
Mar 10,11,11,0,0
Mar 11,17,17,0,0
Mar 12,22,22,0,0
Mar 13,38,38,0,0
Mar 14,43,43,0,0
Mar 15,71,71,0,0
Mar 16,86,85,0,1
Mar 17,117,116,0,1
Mar 18,145,144,0,1
Mar 19,234,232,1,2
Mar 20,263,261,1,2
Mar 21,318,313,4,5
Mar 22,363,356,6,7
Mar 23,395,387,7,8
Mar 24,416,406,9,10
Mar 25,480,469,10,11
Mar 26,580,552,14,28
Mar 27,635,599,20,36
Mar 28,671,627,28,44
Mar 29,852,804,32,48
Mar 30,950,853,44,97
Mar 31,1065,614,57,451
Apr 01,1323,852,77,471
Apr 02,1414,787,90,627
Apr 03,1595,953,105,642
Apr 04,1746,694,138,1052
Apr 05,2281,1109,183,1172
Apr 06,2561,1365,199,1196
Apr 07,2954,1424,229,1530
Apr 08,4342,2751,258,1591
Apr 09,5256,3503,315,1753
Apr 10,5897,3962,366,1935
Apr 11,6848,4690,419,2158
Apr 12,7519,5257,464,2262
Apr 13,9784,6611,531,3173
Apr 14,10303,6837,597,3466
Apr 15,11475,7683,684,3792
Apr 16,12491,5595,776,6896
Apr 17,13489,6073,875,7416
Apr 18,14420,6763,973,7657
Apr 19,15628,7739,1078,7889
Apr 20,16325,8165,1192,8160
Apr 21,17837,9547,1308,8290
Apr 22,19250,10801,1422,8449
Apr 23,20914,11933,1559,8981
Apr 24,21648,12456,1696,9192
Apr 25,25331,15691,1843,9640
Apr 26,27517,17446,1983,10071
Apr 27,28699,18129,2145,10570
Apr 28,31190,19699,2312,11491
Apr 29,33931,21408,2486,12523
Apr 30,36976,23923,2648,13053
May 01,40459,26497,2833,13962
May 02,42534,27052,3048,15482
May 03,45928,29127,3251,16801
May 04,47372,29469,3476,17903
May 05,51189,32098,3678,19091
May 06,54817,33384,3906,21433
May 07,58526,35993,4145,22533
May 08,61847,38483,4352,23364
May 09,65015,40194,4575,24821
May 10,67307,41143,4815,26164
May 11,68822,41371,5045,27451
May 12,72059,43431,5304,28628
May 13,76306,46488,5494,29818
May 14,80604,49763,5690,30841
May 15,84495,51424,5924,33071
May 16,88541,54150,6119,34391
May 17,92273,57323,6329,34950
May 18,94933,58083,6544,36850
May 19,99483,56144,6815,43339
May 20,104020,55014,7038,49006
May 21,108769,57875,7307,50894
May 22,111698,59312,7538,52386
May 23,115754,60056,7783,55698
May 24,119959,62151,8013,57808
May 25,123979,64737,8293,59242
May 26,129751,68308,8537,61443
May 27,135905,71039,8697,64866
May 28,141779,73421,8916,68358
May 29,148285,76357,9137,71928
May 30,155671,79839,9385,75832
May 31,164476,87630,9638,76846
Jun 01,170039,91665,9867,78374
Jun 02,174884,95516,10111,79368
Jun 03,178914,96265,10330,82649
