Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,1,1,0,0
Mar 07,6,6,0,0
Mar 08,7,7,0,0
Mar 09,9,9,0,0
Mar 10,11,11,0,0
Mar 11,17,17,0,0
Mar 12,22,22,0,0
Mar 13,38,38,0,0
Mar 14,43,43,0,0
Mar 15,71,71,0,0
Mar 16,86,85,0,1
Mar 17,117,116,0,1
Mar 18,145,144,0,1
Mar 19,234,232,1,2
Mar 20,263,258,4,5
Mar 21,318,312,5,6
Mar 22,363,357,5,6
Mar 23,395,389,5,6
Mar 24,416,408,7,8
Mar 25,480,470,9,10
Mar 26,580,557,9,23
Mar 27,635,608,11,27
Mar 28,671,639,16,32
Mar 29,852,818,18,34
Mar 30,950,873,24,77
Mar 31,1065,641,30,424
Apr 01,1323,891,38,432
Apr 02,1414,822,55,592
Apr 03,1595,997,61,598
Apr 04,1746,759,73,987
Apr 05,2281,1209,83,1072
Apr 06,2561,1472,92,1089
Apr 07,2954,1546,107,1408
Apr 08,4342,2888,121,1454
Apr 09,5256,3680,138,1576
Apr 10,5897,4159,169,1738
Apr 11,6848,4928,181,1920
Apr 12,7519,5528,193,1991
Apr 13,9784,6926,216,2858
Apr 14,10303,7204,230,3099
Apr 15,11475,8113,254,3362
Apr 16,12491,6097,274,6394
Apr 17,13489,6648,300,6841
Apr 18,14420,7388,348,7032
Apr 19,15628,8417,400,7211
Apr 20,16325,8912,445,7413
Apr 21,17837,10371,484,7466
Apr 22,19250,11693,530,7557
Apr 23,20914,12920,572,7994
Apr 24,21648,13518,634,8130
Apr 25,25331,16834,700,8497
Apr 26,27517,18701,728,8816
Apr 27,28699,19492,782,9207
Apr 28,31190,21157,854,10033
Apr 29,33931,22951,943,10980
Apr 30,36976,25520,1051,11456
May 01,40459,28206,1124,12253
May 02,42534,28900,1200,13634
May 03,45928,31092,1286,14836
May 04,47372,31601,1344,15771
May 05,51189,34332,1444,16857
May 06,54817,35757,1533,19060
May 07,58526,38511,1627,20015
May 08,61847,41121,1714,20726
May 09,65015,42955,1814,22060
May 10,67307,44069,1889,23238
May 11,68822,44455,1961,24367
May 12,72059,46678,2057,25381
May 13,76306,49813,2169,26493
May 14,80604,53186,2267,27418
May 15,84495,54956,2392,29539
May 16,88541,57746,2523,30795
May 17,92273,61004,2648,31269
May 18,94933,61838,2789,33095
May 19,99483,60045,2914,39438
May 20,104020,59028,3024,44992
May 21,108769,62034,3148,46735
May 22,111698,63606,3244,48092
May 23,115754,64466,3373,51288
May 24,119959,66708,3456,53251
May 25,123979,69401,3629,54578
May 26,129751,73057,3788,56694
May 27,135905,75753,3983,60152
