Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,3,0,1,3
Feb 16,3,0,1,3
Feb 17,3,0,1,3
Feb 18,3,0,1,3
Feb 19,3,0,1,3
Feb 20,3,0,1,3
Feb 21,3,0,1,3
Feb 22,3,0,1,3
Feb 23,3,0,1,3
Feb 24,3,0,1,3
Feb 25,3,0,1,3
Feb 26,3,0,1,3
Feb 27,3,0,1,3
Feb 28,3,0,1,3
Feb 29,3,0,1,3
Mar 01,3,0,1,3
Mar 02,3,0,1,3
Mar 03,3,0,1,3
Mar 04,3,0,1,3
Mar 05,3,0,1,3
Mar 06,5,2,1,3
Mar 07,6,3,1,3
Mar 08,10,7,1,3
Mar 09,24,21,1,3
Mar 10,33,30,1,3
Mar 11,49,45,2,4
Mar 12,52,45,5,7
Mar 13,64,57,5,7
Mar 14,111,101,8,10
Mar 15,140,126,12,14
Mar 16,142,127,12,15
Mar 17,187,169,14,18
Mar 18,202,178,17,24
Mar 19,217,192,17,25
Mar 20,230,204,18,26
Mar 21,307,275,19,32
Mar 22,380,340,25,40
Mar 23,462,411,33,51
Mar 24,552,497,35,55
Mar 25,636,572,38,64
Mar 26,707,634,45,73
Mar 27,803,718,54,85
Mar 28,1075,972,68,103
Mar 29,1418,1305,71,113
Mar 30,1546,1426,78,120
Mar 31,2084,1947,88,137
Apr 01,2311,2165,96,146
Apr 02,2633,2475,107,158
Apr 03,3018,2830,136,188
Apr 04,3094,2893,144,201
Apr 05,3246,3030,152,216
Apr 06,3660,3424,163,236
Apr 07,3764,3503,177,261
Apr 08,3870,3592,182,278
Apr 09,4076,3749,203,327
Apr 10,4195,3834,221,361
Apr 11,4428,4024,247,404
Apr 12,4648,4154,297,494
Apr 13,4932,4375,315,557
Apr 14,5223,4593,335,630
Apr 15,5453,4751,349,702
Apr 16,5660,4863,362,797
Apr 17,5878,5004,387,874
Apr 18,6087,5174,397,913
Apr 19,6259,5278,409,981
Apr 20,6459,5418,428,1041
Apr 21,6599,5508,437,1091
Apr 22,6710,5571,446,1139
Apr 23,6981,5797,462,1184
Apr 24,7192,5953,477,1239
Apr 25,7294,6008,494,1286
Apr 26,7579,6216,501,1363
Apr 27,7777,6334,511,1443
Apr 28,7958,6453,530,1505
Apr 29,8212,6631,558,1581
Apr 30,8488,6877,568,1611
May 01,8772,7109,579,1663
May 02,8928,7201,603,1727
May 03,9223,7402,607,1821
May 04,9485,7547,623,1938
May 05,9684,7639,637,2045
May 06,10004,7840,658,2164
May 07,10343,8040,685,2303
May 08,10463,8033,696,2430
May 09,10610,8064,704,2546
May 10,10794,8151,719,2643
May 11,11086,8361,726,2725
May 12,11350,8493,751,2857
May 13,11618,8595,772,3023
May 14,11876,8749,790,3127
May 15,12091,8825,806,3266
May 16,12305,8927,817,3378
May 17,12513,9054,824,3459
May 18,12718,9158,831,3560
May 19,12942,9262,837,3680
May 20,13221,9447,842,3774
May 21,13434,9588,846,3846
May 22,13597,9648,857,3949
May 23,13777,9737,863,4040
May 24,14035,9918,868,4117
May 25,14319,10123,873,4196
May 26,14669,10371,886,4298
May 27,15049,10639,904,4410
