Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,1,1,0,0
Mar 05,1,1,0,0
Mar 06,5,5,0,0
Mar 07,6,6,0,0
Mar 08,11,11,0,0
Mar 09,17,17,0,0
Mar 10,22,22,0,0
Mar 11,31,31,0,0
Mar 12,51,50,1,1
Mar 13,68,66,2,2
Mar 14,104,88,3,16
Mar 15,125,109,3,16
Mar 16,177,160,4,17
Mar 17,238,220,5,18
Mar 18,287,269,5,18
Mar 19,355,337,5,18
Mar 20,425,407,5,18
Mar 21,536,518,5,18
Mar 22,634,614,7,20
Mar 23,749,728,8,21
Mar 24,901,890,10,11
Mar 25,1051,1030,14,21
Mar 26,1221,1198,16,23
Mar 27,1389,1366,16,23
Mar 28,1638,1613,18,25
Mar 29,1862,1833,22,29
Mar 30,2055,2017,31,38
Mar 31,2311,2271,33,40
Apr 01,2554,2455,43,99
Apr 02,2946,2833,57,113
Apr 03,3383,3256,71,127
Apr 04,3627,3432,79,195
Apr 05,4102,3874,94,228
Apr 06,4413,4144,107,269
Apr 07,4848,4528,129,320
Apr 08,5205,4824,159,381
Apr 09,5575,5117,174,458
Apr 10,5955,5456,181,499
Apr 11,6356,5773,208,583
Apr 12,6674,6003,232,671
Apr 13,6934,6202,245,732
Apr 14,7202,6321,263,881
Apr 15,7582,6628,286,954
Apr 16,7918,6830,314,1088
Apr 17,8379,7181,332,1198
Apr 18,8742,7414,347,1328
Apr 19,9287,7887,360,1400
Apr 20,9593,8080,380,1513
Apr 21,9856,8158,401,1698
Apr 22,10169,8230,426,1939
Apr 23,10511,8317,454,2194
Apr 24,10892,8454,494,2438
Apr 25,11273,8623,524,2650
Apr 26,11617,8817,535,2800
Apr 27,11902,8874,562,3028
Apr 28,12218,8967,596,3251
Apr 29,12640,8991,624,3649
Apr 30,12877,8997,644,3880
May 01,13105,8963,651,4142
May 02,13375,8949,664,4426
May 03,13693,9070,678,4623
May 04,14006,9213,698,4793
May 05,14431,9435,716,4996
May 06,14740,9352,733,5388
May 07,15047,9430,755,5617
May 08,15366,9406,776,5960
May 09,15651,9429,785,6222
May 10,15996,9498,800,6498
May 11,16326,9699,811,6627
May 12,16921,9951,839,6970
May 13,17204,9933,861,7271
May 14,17615,10036,883,7579
May 15,18016,10191,907,7825
May 16,18257,10167,915,8090
May 17,18529,10153,925,8376
May 18,18885,10321,936,8564
May 19,19268,10417,948,8851
May 20,19739,10594,962,9145
May 21,20143,10719,972,9424
May 22,20619,10906,982,9713
May 23,20931,10961,993,9970
May 24,21326,11136,996,10190
May 25,21631,11348,1007,10283
May 26,22074,11030,1024,11044
May 27,22473,11115,1028,11358
