Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,1,1,0,0
Mar 12,4,4,0,0
Mar 13,5,5,0,0
Mar 14,6,6,0,0
Mar 15,7,7,0,0
Mar 16,9,9,0,0
Mar 17,9,9,0,0
Mar 18,14,14,0,0
Mar 19,28,28,0,0
Mar 20,38,38,0,0
Mar 21,47,47,0,0
Mar 22,64,63,0,1
Mar 23,71,70,0,1
Mar 24,94,93,0,1
Mar 25,111,110,0,1
Mar 26,135,134,0,1
Mar 27,145,144,0,1
Mar 28,183,182,0,1
Mar 29,183,182,0,1
Mar 30,224,223,0,1
Mar 31,247,246,0,1
Apr 01,281,241,0,40
Apr 02,308,268,0,40
Apr 03,321,281,0,40
Apr 04,334,294,0,40
Apr 05,344,304,0,40
Apr 06,349,309,0,40
Apr 07,358,318,0,40
Apr 08,362,322,0,40
Apr 09,362,322,0,40
Apr 10,382,342,0,40
Apr 11,388,348,0,40
Apr 12,389,349,0,40
Apr 13,391,351,0,40
Apr 14,391,351,0,40
Apr 15,391,154,0,237
Apr 16,394,157,0,237
Apr 17,402,165,0,237
Apr 18,407,170,0,237
Apr 19,408,171,0,237
Apr 20,408,171,0,237
Apr 21,410,172,0,238
Apr 22,410,172,0,238
Apr 23,412,174,0,238
Apr 24,412,112,0,300
Apr 25,417,117,0,300
Apr 26,417,117,0,300
Apr 27,418,118,0,300
Apr 28,418,118,0,300
Apr 29,420,120,0,300
Apr 30,420,120,0,300
May 01,422,122,0,300
May 02,423,123,0,300
May 03,423,123,0,300
May 04,424,124,0,300
May 05,424,124,0,300
May 06,425,125,0,300
May 07,426,72,0,354
May 08,426,72,0,354
May 09,431,77,0,354
May 10,436,82,0,354
May 11,436,82,0,354
May 12,437,83,0,354
May 13,439,85,0,354
May 14,440,86,0,354
May 15,441,87,0,354
May 16,443,89,0,354
May 17,443,89,0,354
May 18,446,92,0,354
May 19,446,92,0,354
May 20,447,35,1,412
May 21,449,37,1,412
May 22,449,37,1,412
May 23,452,40,1,412
May 24,452,40,1,412
May 25,456,44,1,412
May 26,459,47,1,412
May 27,460,48,1,412
May 28,465,53,1,412
May 29,470,58,1,412
May 30,471,59,1,412
May 31,471,59,1,412
Jun 01,473,61,1,412
Jun 02,477,65,1,412
Jun 03,478,66,1,412
Jun 04,479,67,1,412
Jun 05,480,68,1,412
Jun 06,480,68,1,412
Jun 07,480,68,1,412
Jun 08,481,33,1,448
Jun 09,481,33,1,448
Jun 10,486,38,1,448
Jun 11,487,39,1,448
Jun 12,488,27,1,461
Jun 13,489,28,1,461
Jun 14,495,34,1,461
Jun 15,496,35,1,461
Jun 16,495,34,1,461
Jun 17,497,36,1,461
Jun 18,502,41,1,461
Jun 19,504,43,1,461
Jun 20,505,44,1,461
Jun 21,506,45,1,461
Jun 22,507,46,1,461
Jun 23,507,46,1,461
Jun 24,508,47,1,461
Jun 25,516,54,2,462
Jun 26,517,55,2,462
Jun 27,520,46,2,474
Jun 28,521,47,2,474
Jun 29,522,48,2,474
Jun 30,526,52,2,474
Jul 01,528,54,2,474
Jul 02,531,57,2,474
Jul 03,533,59,2,474
Jul 04,536,62,2,474
Jul 05,547,73,2,474
Jul 06,550,76,2,474
Jul 07,551,76,3,475
Jul 08,563,88,3,475
Jul 09,566,91,3,475
Jul 10,571,96,3,475
Jul 11,577,102,3,475
Jul 12,593,118,3,475
Jul 13,596,121,3,475
Jul 14,599,124,3,475
Jul 15,608,133,3,475
Jul 16,612,137,3,475
Jul 17,614,139,3,475
Jul 18,624,149,3,475
Jul 19,628,153,3,475
Jul 20,631,156,3,475
Jul 21,639,164,3,475
Jul 22,645,84,3,561
Jul 23,646,85,3,561
Jul 24,654,93,3,561
Jul 25,657,96,3,561
Jul 26,657,96,3,561
Jul 27,657,61,4,596
Jul 28,657,61,4,596
Jul 29,657,61,4,596
Jul 30,657,61,4,596
Jul 31,660,64,4,596
Aug 01,664,68,4,596
Aug 02,667,71,4,596
Aug 03,667,71,4,596
Aug 04,669,73,4,596
Aug 05,670,73,5,597
Aug 06,671,74,5,597
Aug 07,675,39,5,636
Aug 08,681,45,5,636
Aug 09,687,51,5,636
Aug 10,690,54,5,636
Aug 11,702,66,5,636
Aug 12,734,98,5,636
Aug 13,754,118,5,636
Aug 14,776,114,5,662
Aug 15,816,154,5,662
Aug 16,855,193,5,662
Aug 17,880,218,5,662
Aug 18,903,241,5,662
Aug 19,945,283,5,662
Aug 20,996,334,5,662
