Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,1,1,0,0
Mar 15,5,5,0,0
Mar 16,7,7,0,0
Mar 17,7,7,0,0
Mar 18,11,11,0,0
Mar 19,11,11,0,0
Mar 20,17,17,0,0
Mar 21,17,17,0,0
Mar 22,19,19,0,0
Mar 23,36,36,0,0
Mar 24,40,40,0,0
Mar 25,41,41,0,0
Mar 26,50,50,0,0
Mar 27,54,54,0,0
Mar 28,60,60,0,0
Mar 29,70,70,0,0
Mar 30,70,70,0,0
Mar 31,75,75,0,0
Apr 01,82,82,0,0
Apr 02,84,84,0,0
Apr 03,89,89,0,0
Apr 04,102,102,0,0
Apr 05,104,100,0,4
Apr 06,105,101,0,4
Apr 07,105,98,0,7
Apr 08,110,103,0,7
Apr 09,113,106,0,7
Apr 10,118,111,0,7
Apr 11,120,102,0,18
Apr 12,126,101,0,25
Apr 13,127,85,0,42
Apr 14,134,85,0,49
Apr 15,136,82,0,54
Apr 16,138,78,0,60
Apr 17,143,78,0,65
Apr 18,144,75,0,69
Apr 19,147,71,0,76
Apr 20,147,71,0,76
Apr 21,150,66,0,84
Apr 22,153,69,0,84
Apr 23,154,67,0,87
Apr 24,176,89,0,87
Apr 25,183,95,0,88
Apr 26,191,99,0,92
Apr 27,207,114,0,93
Apr 28,212,117,0,95
Apr 29,225,127,0,98
Apr 30,243,139,0,104
May 01,249,140,0,109
May 02,255,135,0,120
May 03,259,135,0,124
May 04,261,133,0,128
May 05,261,132,0,129
May 06,268,138,0,130
May 07,271,138,0,133
May 08,273,137,0,136
May 09,280,140,0,140
May 10,284,144,0,140
May 11,285,135,0,150
May 12,286,133,0,153
May 13,287,123,0,164
May 14,287,119,0,168
May 15,287,110,0,177
May 16,289,111,0,178
May 17,292,95,0,197
May 18,297,94,0,203
May 19,308,99,0,209
May 20,314,98,0,216
May 21,320,103,0,217
May 22,321,99,0,222
May 23,325,98,0,227
May 24,327,90,0,237
May 25,336,98,0,238
May 26,339,95,0,244
May 27,346,101,0,245
May 28,349,104,0,245
May 29,355,108,0,247
May 30,359,108,1,251
May 31,370,113,1,257
Jun 01,377,114,1,263
Jun 02,384,113,2,271
Jun 03,397,124,2,273
Jun 04,410,128,2,282
Jun 05,420,136,2,284
Jun 06,431,146,2,285
Jun 07,439,147,2,292
Jun 08,451,152,2,299
Jun 09,463,161,2,302
Jun 10,476,167,2,309
Jun 11,494,179,2,315
Jun 12,510,187,2,323
Jun 13,541,207,2,334
Jun 14,582,248,2,334
Jun 15,612,272,2,340
Jun 16,636,296,2,340
Jun 17,639,290,2,349
Jun 18,646,294,2,352
Jun 19,661,308,2,353
Jun 20,702,343,2,359
Jun 21,728,367,2,361
Jun 22,787,415,2,372
Jun 23,798,425,2,373
Jun 24,830,452,2,378
Jun 25,850,463,2,387
Jun 26,858,458,2,400
Jun 27,878,463,2,415
Jun 28,900,455,2,445
Jun 29,1001,556,2,445
Jun 30,1025,576,2,449
Jul 01,1042,559,3,483
Jul 02,1063,567,3,496
Jul 03,1081,566,3,515
Jul 04,1092,566,3,526
Jul 05,1105,535,3,570
Jul 06,1113,535,3,578
Jul 07,1172,574,3,598
Jul 08,1194,581,3,613
Jul 09,1210,584,3,626
Jul 10,1252,614,3,638
Jul 11,1299,632,4,667
Jul 12,1337,649,4,688
Jul 13,1378,664,4,714
Jul 14,1416,675,4,741
Jul 15,1435,679,4,756
Jul 16,1473,699,4,774
Jul 17,1485,670,4,815
Jul 18,1539,715,5,824
Jul 19,1582,743,5,839
Jul 20,1629,786,5,843
Jul 21,1655,802,5,853
Jul 22,1689,817,5,872
Jul 23,1710,816,5,894
Jul 24,1729,824,5,905
Jul 25,1752,840,5,912
Jul 26,1821,898,5,923
Jul 27,1879,899,5,980
Jul 28,1926,916,5,1010
Jul 29,1963,922,5,1041
Jul 30,1994,904,5,1090
Jul 31,2022,911,5,1111
Aug 01,2042,918,5,1124
Aug 02,2062,913,5,1149
Aug 03,2092,918,5,1174
Aug 04,2099,872,5,1227
Aug 05,2104,862,5,1242
Aug 06,2111,848,5,1263
Aug 07,2128,826,5,1302
Aug 08,2134,828,6,1306
Aug 09,2140,787,7,1353
Aug 10,2152,753,7,1399
Aug 11,2171,686,7,1485
Aug 12,2189,657,8,1532
Aug 13,2200,634,8,1566
Aug 14,2293,681,8,1612
Aug 15,2352,713,8,1639
Aug 16,2453,797,8,1656
Aug 17,2540,871,8,1669
Aug 18,2577,884,10,1693
Aug 19,2644,936,10,1708
Aug 20,2717,1001,11,1716
