Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,1,1,0,0
Mar 15,5,5,0,0
Mar 16,7,7,0,0
Mar 17,7,7,0,0
Mar 18,11,11,0,0
Mar 19,11,11,0,0
Mar 20,17,17,0,0
Mar 21,17,17,0,0
Mar 22,19,19,0,0
Mar 23,36,36,0,0
Mar 24,40,40,0,0
Mar 25,41,41,0,0
Mar 26,50,50,0,0
Mar 27,54,54,0,0
Mar 28,60,60,0,0
Mar 29,70,70,0,0
Mar 30,70,70,0,0
Mar 31,75,75,0,0
Apr 01,82,82,0,0
Apr 02,84,84,0,0
Apr 03,89,89,0,0
Apr 04,102,102,0,0
Apr 05,104,100,0,4
Apr 06,105,101,0,4
Apr 07,105,98,0,7
Apr 08,110,103,0,7
Apr 09,113,106,0,7
Apr 10,118,111,0,7
Apr 11,120,102,0,18
Apr 12,126,101,0,25
Apr 13,127,85,0,42
Apr 14,134,85,0,49
Apr 15,136,82,0,54
Apr 16,138,78,0,60
Apr 17,143,78,0,65
Apr 18,144,75,0,69
Apr 19,147,71,0,76
Apr 20,147,71,0,76
Apr 21,150,66,0,84
Apr 22,153,69,0,84
Apr 23,154,67,0,87
Apr 24,176,89,0,87
Apr 25,183,95,0,88
Apr 26,191,99,0,92
Apr 27,207,114,0,93
Apr 28,212,117,0,95
Apr 29,225,127,0,98
Apr 30,243,139,0,104
May 01,249,140,0,109
May 02,255,135,0,120
May 03,259,135,0,124
May 04,261,133,0,128
May 05,261,132,0,129
May 06,268,138,0,130
May 07,271,138,0,133
May 08,273,137,0,136
May 09,280,140,0,140
May 10,284,144,0,140
May 11,285,135,0,150
May 12,286,133,0,153
May 13,287,123,0,164
May 14,287,119,0,168
May 15,287,110,0,177
May 16,289,111,0,178
May 17,292,95,0,197
May 18,297,94,0,203
May 19,308,99,0,209
May 20,314,98,0,216
May 21,320,103,0,217
May 22,321,99,0,222
May 23,325,98,0,227
May 24,327,90,0,237
May 25,336,98,0,238
May 26,339,95,0,244
May 27,346,101,0,245
May 28,349,104,0,245
May 29,355,108,0,247
May 30,359,108,1,251
May 31,370,113,1,257
Jun 01,377,114,1,263
Jun 02,384,113,2,271
Jun 03,397,124,2,273
Jun 04,410,128,2,282
Jun 05,420,136,2,284
Jun 06,431,146,2,285
Jun 07,439,147,2,292
Jun 08,451,152,2,299
Jun 09,463,161,2,302
Jun 10,476,167,2,309
Jun 11,494,179,2,315
