Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,28,19,0,9
Feb 16,29,20,0,9
Feb 17,30,20,0,10
Feb 18,31,19,0,12
Feb 19,58,42,0,16
Feb 20,111,94,1,17
Feb 21,209,190,2,19
Feb 22,436,416,2,20
Feb 23,602,578,6,24
Feb 24,833,803,8,30
Feb 25,977,944,11,33
Feb 26,1261,1225,12,36
Feb 27,1766,1729,13,37
Feb 28,2337,2297,16,40
Feb 29,3150,3109,17,41
Mar 01,3736,3685,21,51
Mar 02,4335,4277,28,58
Mar 03,5186,5120,32,66
Mar 04,5621,5498,35,123
Mar 05,6284,6107,42,177
Mar 06,6593,6415,43,178
Mar 07,7041,6875,48,166
Mar 08,7313,7097,50,216
Mar 09,7478,7178,53,300
Mar 10,7513,7165,60,348
Mar 11,7755,7362,60,393
Mar 12,7869,7293,66,576
Mar 13,7979,7198,67,781
Mar 14,8086,7180,72,906
Mar 15,8162,7253,75,909
Mar 16,8236,7024,75,1212
Mar 17,8320,6838,81,1482
Mar 18,8413,6789,84,1624
Mar 19,8565,6527,91,2038
Mar 20,8652,6325,94,2327
Mar 21,8799,6085,102,2714
Mar 22,8897,5884,104,3013
Mar 23,8961,5684,111,3277
Mar 24,9037,5410,120,3627
Mar 25,9137,5281,126,3856
Mar 26,9241,4966,131,4275
Mar 27,9332,4665,139,4667
Mar 28,9478,4523,144,4955
Mar 29,9583,4398,152,5185
Mar 30,9661,4275,158,5386
Mar 31,9786,4216,162,5570
Apr 01,9887,4155,165,5732
Apr 02,9976,3979,169,5997
Apr 03,10062,3867,174,6195
Apr 04,10156,3654,177,6502
Apr 05,10237,3591,183,6646
Apr 06,10284,3500,186,6784
Apr 07,10331,3445,192,6886
Apr 08,10384,3408,200,6976
Apr 09,10423,3246,204,7177
Apr 10,10450,3125,208,7325
Apr 11,10480,3026,211,7454
Apr 12,10512,2930,214,7582
Apr 13,10537,2873,217,7664
Apr 14,10564,2808,222,7756
Apr 15,10591,2750,225,7841
Apr 16,10613,2627,229,7986
Apr 17,10635,2576,230,8059
Apr 18,10653,2484,232,8169
Apr 19,10661,2385,234,8276
Apr 20,10674,2324,236,8350
Apr 21,10683,2233,237,8450
Apr 22,10694,2179,238,8515
Apr 23,10702,2051,240,8651
Apr 24,10708,1967,240,8741
Apr 25,10718,1843,240,8875
Apr 26,10728,1769,242,8959
Apr 27,10738,1731,243,9007
Apr 28,10752,1654,244,9098
