Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,0,0,0,0
Mar 22,0,0,0,0
Mar 23,0,0,0,0
Mar 24,0,0,0,0
Mar 25,0,0,0,0
Mar 26,0,0,0,0
Mar 27,0,0,0,0
Mar 28,0,0,0,0
Mar 29,0,0,0,0
Mar 30,0,0,0,0
Mar 31,0,0,0,0
Apr 01,0,0,0,0
Apr 02,0,0,0,0
Apr 03,0,0,0,0
Apr 04,0,0,0,0
Apr 05,0,0,0,0
Apr 06,4,4,0,0
Apr 07,4,4,0,0
Apr 08,4,4,0,0
Apr 09,4,4,0,0
Apr 10,4,4,0,0
Apr 11,4,4,0,0
Apr 12,4,4,0,0
Apr 13,4,4,0,0
Apr 14,4,4,0,0
Apr 15,4,4,0,0
Apr 16,4,4,0,0
Apr 17,4,4,0,0
Apr 18,4,4,0,0
Apr 19,4,4,0,0
Apr 20,4,4,0,0
Apr 21,4,4,0,0
Apr 22,4,4,0,0
Apr 23,4,4,0,0
Apr 24,4,4,0,0
Apr 25,4,4,0,0
Apr 26,4,4,0,0
Apr 27,4,4,0,0
Apr 28,8,4,0,4
Apr 29,8,4,0,4
Apr 30,14,10,0,4
May 01,16,11,1,5
May 02,16,11,1,5
May 03,16,11,1,5
May 04,23,16,3,7
May 05,174,167,3,7
May 06,174,167,3,7
May 07,187,179,4,8
May 08,208,199,5,9
May 09,208,199,5,9
May 10,208,199,5,9
May 11,208,199,5,9
May 12,208,199,5,9
May 13,220,210,6,10
May 14,235,224,7,11
May 15,235,224,7,11
May 16,235,224,7,11
May 17,235,224,7,11
May 18,246,235,7,11
May 19,251,239,8,12
May 20,251,239,8,12
May 21,251,239,8,12
May 22,251,239,8,12
May 23,251,239,8,12
May 24,251,239,8,12
May 25,299,284,11,15
May 26,441,361,12,80
May 27,443,363,12,80
