Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,0,0,0,0
Mar 22,0,0,0,0
Mar 23,0,0,0,0
Mar 24,0,0,0,0
Mar 25,0,0,0,0
Mar 26,0,0,0,0
Mar 27,0,0,0,0
Mar 28,0,0,0,0
Mar 29,0,0,0,0
Mar 30,0,0,0,0
Mar 31,1,1,0,0
Apr 01,2,2,0,0
Apr 02,2,2,0,0
Apr 03,2,2,0,0
Apr 04,4,4,0,0
Apr 05,6,6,0,0
Apr 06,6,6,0,0
Apr 07,6,6,0,0
Apr 08,7,7,0,0
Apr 09,7,7,0,0
Apr 10,8,8,0,0
Apr 11,10,10,0,0
Apr 12,10,10,0,0
Apr 13,10,10,0,0
Apr 14,11,11,0,0
Apr 15,13,13,0,0
Apr 16,15,15,0,0
Apr 17,26,26,0,0
Apr 18,30,30,0,0
Apr 19,35,29,0,6
Apr 20,43,37,0,6
Apr 21,50,44,0,6
Apr 22,61,55,0,6
Apr 23,64,53,1,11
Apr 24,82,70,2,12
Apr 25,82,70,2,12
Apr 26,93,79,4,14
Apr 27,99,85,4,14
Apr 28,104,88,4,16
Apr 29,104,88,4,16
Apr 30,124,96,7,28
May 01,136,108,7,28
May 02,155,126,8,29
May 03,166,129,8,37
May 04,178,132,9,46
May 05,199,145,11,54
May 06,225,157,14,68
May 07,231,161,16,70
May 08,257,186,17,71
May 09,291,215,18,76
May 10,307,222,18,85
May 11,338,247,19,91
May 12,338,247,19,91
May 13,387,264,26,123
May 14,408,285,26,123
May 15,447,323,27,124
May 16,462,327,29,135
May 17,505,332,32,173
May 18,519,338,33,181
May 19,534,334,33,200
May 20,570,331,34,239
May 21,585,345,35,240
May 22,606,338,38,268
May 23,621,341,39,280
May 24,707,426,40,281
May 25,735,400,42,335
May 26,754,413,44,341
May 27,782,440,45,342
May 28,812,406,45,406
May 29,829,398,45,431
May 30,852,391,46,461
May 31,861,361,46,500
Jun 01,865,344,46,521
Jun 02,896,370,46,526
Jun 03,909,371,47,538
Jun 04,914,376,47,538
Jun 05,929,302,47,627
Jun 06,946,298,48,648
Jun 07,969,313,48,656
Jun 08,1001,341,49,660
Jun 09,1025,354,50,671
Jun 10,1062,375,50,687
Jun 11,1085,393,50,692
Jun 12,1103,404,51,699
Jun 13,1132,411,51,721
Jun 14,1169,438,51,731
Jun 15,1176,442,51,734
Jun 16,1225,488,51,737
Jun 17,1249,491,51,758
Jun 18,1272,511,51,761
Jun 19,1298,513,53,785
Jun 20,1309,510,53,799
Jun 21,1327,484,55,843
Jun 22,1340,497,55,843
Jun 23,1347,439,55,908
Jun 24,1354,429,56,925
Jun 25,1354,429,56,925
Jun 26,1394,421,59,973
Jun 27,1410,414,59,996
Jun 28,1427,424,60,1003
Jun 29,1450,429,60,1021
Jun 30,1462,428,60,1034
Jul 01,1498,439,60,1059
Jul 02,1518,451,60,1067
Jul 03,1524,420,62,1104
Jul 04,1533,420,62,1113
Jul 05,1542,418,62,1124
Jul 06,1547,399,62,1148
Jul 07,1572,421,63,1151
Jul 08,1584,399,63,1185
Jul 09,1598,412,63,1186
Jul 10,1613,417,63,1196
Jul 11,1618,414,63,1204
Jul 12,1635,418,63,1217
Jul 13,1642,404,63,1238
Jul 14,1651,397,64,1254
Jul 15,1668,404,64,1264
Jul 16,1678,401,64,1277
Jul 17,1688,404,65,1284
Jul 18,1701,399,65,1302
Jul 19,1711,409,65,1302
Jul 20,1711,384,66,1327
Jul 21,1727,388,66,1339
Jul 22,1731,377,66,1354
Jul 23,1752,394,66,1358
Jul 24,1765,402,66,1363
Jul 25,1768,405,66,1363
Jul 26,1783,404,66,1379
Jul 27,1783,400,66,1383
Jul 28,1786,384,66,1402
Jul 29,1803,381,67,1422
Jul 30,1818,389,67,1429
Jul 31,1823,394,67,1429
Aug 01,1823,394,67,1429
Aug 02,1843,401,67,1442
Aug 03,1848,406,67,1442
Aug 04,1855,391,67,1464
Aug 05,1860,392,67,1468
Aug 06,1877,383,67,1494
Aug 07,1887,384,68,1503
Aug 08,1895,385,68,1510
Aug 09,1916,403,68,1513
Aug 10,1917,401,69,1516
Aug 11,1932,385,69,1547
Aug 12,1937,385,69,1552
Aug 13,1940,375,69,1565
Aug 14,1947,376,69,1571
Aug 15,1954,380,69,1574
Aug 16,1956,381,69,1575
Aug 17,1956,381,69,1575
Aug 18,1959,361,69,1598
Aug 19,1961,361,69,1600
Aug 20,1969,364,69,1605
