Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,1,1,0,0
Mar 19,1,1,0,0
Mar 20,1,1,0,0
Mar 21,1,1,0,0
Mar 22,1,1,0,0
Mar 23,2,2,0,0
Mar 24,2,2,0,0
Mar 25,3,3,0,0
Mar 26,3,3,0,0
Mar 27,3,3,0,0
Mar 28,6,6,0,0
Mar 29,6,6,0,0
Mar 30,6,6,0,0
Mar 31,6,6,0,0
Apr 01,16,9,1,7
Apr 02,18,11,1,7
Apr 03,23,13,4,10
Apr 04,23,13,4,10
Apr 05,25,20,4,5
Apr 06,37,30,6,7
Apr 07,40,33,6,7
Apr 08,40,33,6,7
Apr 09,43,36,6,7
Apr 10,50,39,8,11
Apr 11,50,36,9,14
Apr 12,50,36,9,14
Apr 13,50,36,9,14
