Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,1,1,0,0
Mar 19,1,1,0,0
Mar 20,1,1,0,0
Mar 21,1,1,0,0
Mar 22,1,1,0,0
Mar 23,2,2,0,0
Mar 24,2,2,0,0
Mar 25,3,3,0,0
Mar 26,3,3,0,0
Mar 27,3,3,0,0
Mar 28,6,6,0,0
Mar 29,6,6,0,0
Mar 30,6,6,0,0
Mar 31,6,6,0,0
Apr 01,16,9,1,7
Apr 02,18,11,1,7
Apr 03,23,13,4,10
Apr 04,23,13,4,10
Apr 05,25,20,4,5
Apr 06,37,30,6,7
Apr 07,40,33,6,7
Apr 08,40,33,6,7
Apr 09,43,36,6,7
Apr 10,50,39,8,11
Apr 11,50,36,9,14
Apr 12,50,36,9,14
Apr 13,50,36,9,14
Apr 14,52,38,9,14
Apr 15,53,39,9,14
Apr 16,57,36,9,21
Apr 17,57,36,9,21
Apr 18,64,43,9,21
Apr 19,67,45,10,22
Apr 20,67,45,10,22
Apr 21,68,46,10,22
Apr 22,71,38,11,33
Apr 23,73,39,12,34
Apr 24,73,39,12,34
Apr 25,73,39,12,34
Apr 26,74,28,13,46
Apr 27,74,28,13,46
Apr 28,75,29,13,46
Apr 29,75,29,13,46
Apr 30,75,29,13,46
May 01,76,19,13,57
May 02,76,19,13,57
May 03,76,19,13,57
May 04,76,19,13,57
May 05,76,18,14,58
May 06,76,18,14,58
May 07,76,18,14,58
May 08,76,18,14,58
May 09,76,15,15,61
May 10,76,15,15,61
May 11,76,15,15,61
May 12,76,15,15,61
May 13,76,15,15,61
May 14,76,15,15,61
May 15,77,8,15,69
May 16,77,8,15,69
May 17,77,8,15,69
May 18,77,8,15,69
May 19,77,8,15,69
May 20,77,8,15,69
May 21,77,8,15,69
May 22,77,3,15,74
May 23,77,3,15,74
May 24,77,3,15,74
May 25,77,3,15,74
May 26,77,3,15,74
May 27,77,2,15,75
May 28,77,2,15,75
May 29,77,2,15,75
May 30,77,2,15,75
May 31,77,2,15,75
Jun 01,77,2,15,75
Jun 02,77,2,15,75
Jun 03,77,2,15,75
Jun 04,77,2,15,75
Jun 05,77,1,15,76
Jun 06,77,1,15,76
Jun 07,77,1,15,76
Jun 08,77,1,15,76
Jun 09,77,1,15,76
Jun 10,77,1,15,76
Jun 11,77,1,15,76
