Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,1,1,0,0
Mar 07,3,3,0,0
Mar 08,5,5,0,0
Mar 09,7,7,0,0
Mar 10,7,7,0,0
Mar 11,10,10,0,0
Mar 12,21,21,0,0
Mar 13,32,32,0,0
Mar 14,44,44,0,0
Mar 15,61,61,0,0
Mar 16,72,72,0,0
Mar 17,97,97,0,0
Mar 18,105,105,0,0
Mar 19,124,124,0,0
Mar 20,137,137,0,0
Mar 21,178,171,0,7
Mar 22,185,178,0,7
Mar 23,186,179,0,7
Mar 24,204,197,0,7
Mar 25,216,209,0,7
Mar 26,226,224,0,2
Mar 27,269,267,0,2
Mar 28,292,290,0,2
Mar 29,314,312,0,2
Mar 30,336,329,0,7
Mar 31,363,360,0,3
Apr 01,400,396,1,4
Apr 02,426,420,1,6
Apr 03,450,441,1,9
Apr 04,471,462,1,9
Apr 05,485,476,1,9
Apr 06,534,524,2,10
Apr 07,581,566,2,15
Apr 08,682,664,2,18
Apr 09,701,676,2,25
Apr 10,715,690,2,25
Apr 11,728,703,2,25
Apr 12,742,717,2,25
Apr 13,769,660,2,109
