Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,1,1,0,0
Mar 06,1,1,0,0
Mar 07,2,2,0,0
Mar 08,3,3,0,0
Mar 09,7,7,0,0
Mar 10,7,7,0,0
Mar 11,13,13,0,0
Mar 12,16,16,0,0
Mar 13,24,24,0,0
Mar 14,38,38,0,0
Mar 15,61,61,0,0
Mar 16,64,64,0,0
Mar 17,85,85,0,0
Mar 18,116,116,0,0
Mar 19,150,150,0,0
Mar 20,202,202,0,0
Mar 21,240,238,0,2
Mar 22,274,272,0,2
Mar 23,402,398,0,4
Mar 24,554,550,0,4
Mar 25,709,697,0,12
Mar 26,927,915,0,12
Mar 27,1170,1138,1,32
Mar 28,1187,1155,1,32
Mar 29,1280,1247,2,33
Mar 30,1326,1292,3,34
Mar 31,1353,1317,5,36
Apr 01,1380,1325,5,55
Apr 02,1462,1407,5,55
Apr 03,1505,1401,9,104
Apr 04,1585,1481,9,104
Apr 05,1655,1549,11,106
Apr 06,1686,1579,12,107
Apr 07,1749,1641,13,108
Apr 08,1845,1732,18,113
Apr 09,1934,1821,18,113
Apr 10,2003,1569,24,434
Apr 11,2028,1593,25,435
Apr 12,2173,1738,25,435
Apr 13,2272,1835,27,437
Apr 14,2415,1978,27,437
Apr 15,2506,2062,34,444
Apr 16,2605,1654,48,951
Apr 17,2783,1830,50,953
Apr 18,3034,2079,52,955
Apr 19,3158,2201,54,957
Apr 20,3300,2187,58,1113
Apr 21,3465,2352,58,1113
Apr 22,3635,2515,65,1120
Apr 23,3953,2405,75,1548
Apr 24,4220,2668,79,1552
Apr 25,4361,2802,86,1559
Apr 26,4546,2986,87,1560
Apr 27,4793,3230,90,1563
Apr 28,4996,2830,93,2166
Apr 29,5350,3174,103,2176
Apr 30,5647,3471,103,2176
May 01,5951,3453,116,2498
May 02,6336,3664,123,2672
May 03,6783,4103,131,2680
May 04,7220,4336,138,2884
May 05,7572,4678,148,2894
May 06,7808,4502,153,3306
May 07,8232,4918,161,3314
May 08,8895,5564,178,3331
May 09,9420,5251,186,4169
May 10,10015,5648,194,4367
May 11,10652,6089,206,4563
May 12,11350,6787,206,4563
May 13,12074,7110,219,4964
May 14,12739,6825,238,5914
May 15,13524,7194,247,6330
May 16,14355,7616,261,6739
May 17,15515,8245,264,7270
May 18,16433,8849,286,7584
May 19,17200,8928,312,8272
May 20,18003,8714,339,9289
May 21,19137,9818,369,9319
May 22,20125,9624,397,10501
May 23,21343,10832,407,10511
May 24,22583,11054,429,11529
May 25,23615,11217,481,12398
May 26,24264,10999,524,13265
May 27,25937,11934,552,14003
