Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,0,0,0,0
Mar 22,0,0,0,0
Mar 23,0,0,0,0
Mar 24,0,0,0,0
Mar 25,0,0,0,0
Mar 26,0,0,0,0
Mar 27,0,0,0,0
Mar 28,0,0,0,0
Mar 29,0,0,0,0
Mar 30,0,0,0,0
Mar 31,0,0,0,0
Apr 01,0,0,0,0
Apr 02,0,0,0,0
Apr 03,0,0,0,0
Apr 04,0,0,0,0
Apr 05,1,1,0,0
Apr 06,1,1,0,0
Apr 07,2,2,0,0
Apr 08,2,2,0,0
Apr 09,3,3,0,0
Apr 10,4,4,0,0
Apr 11,4,4,0,0
Apr 12,4,4,0,0
Apr 13,4,4,0,0
Apr 14,4,4,0,0
Apr 15,4,4,0,0
Apr 16,4,4,0,0
Apr 17,4,4,0,0
Apr 18,4,4,0,0
Apr 19,4,4,0,0
Apr 20,4,4,0,0
Apr 21,4,4,0,0
Apr 22,4,4,0,0
Apr 23,4,4,0,0
Apr 24,5,5,0,0
Apr 25,5,5,0,0
Apr 26,6,6,0,0
Apr 27,6,6,0,0
Apr 28,34,34,0,0
Apr 29,34,34,0,0
Apr 30,35,35,0,0
May 01,45,45,0,0
May 02,45,45,0,0
May 03,46,46,0,0
May 04,46,46,0,0
May 05,52,52,0,0
May 06,58,58,0,0
May 07,74,74,0,0
May 08,120,118,0,2
May 09,120,118,0,2
May 10,120,118,0,2
May 11,156,154,0,2
May 12,194,192,0,2
May 13,203,201,0,2
May 14,203,200,0,3
May 15,236,228,4,8
May 16,236,228,4,8
May 17,290,282,4,8
May 18,290,282,4,8
May 19,290,282,4,8
May 20,290,282,4,8
May 21,481,473,4,8
May 22,563,551,6,12
May 23,655,641,8,14
May 24,655,641,8,14
May 25,806,792,8,14
May 26,806,792,8,14
May 27,994,978,10,16
May 28,994,978,10,16
May 29,994,978,10,16
May 30,994,978,10,16
May 31,994,978,10,16
Jun 01,994,978,10,16
Jun 02,994,978,10,16
Jun 03,994,978,10,16
Jun 04,994,978,10,16
Jun 05,994,978,10,16
Jun 06,994,978,10,16
Jun 07,1317,1297,14,20
Jun 08,1604,1570,19,34
Jun 09,1604,1570,19,34
Jun 10,1604,1570,19,34
Jun 11,1670,1598,24,72
Jun 12,1670,1598,24,72
Jun 13,1693,1617,27,76
Jun 14,1693,1617,27,76
Jun 15,1693,1617,27,76
Jun 16,1776,1688,30,88
Jun 17,1813,1693,31,120
Jun 18,1830,1681,32,149
Jun 19,1864,1708,34,156
Jun 20,1882,1726,34,156
Jun 21,1892,1689,34,203
Jun 22,1916,1691,35,225
Jun 23,1930,1677,36,253
Jun 24,1942,1682,36,260
Jun 25,1942,1682,36,260
Jun 26,1942,1682,36,260
Jun 27,1942,1682,36,260
Jun 28,1989,1707,36,282
Jun 29,1989,1707,36,282
Jun 30,2007,1690,38,317
Jul 01,2021,1650,38,371
Jul 02,2021,1650,38,371
Jul 03,2021,1650,38,371
Jul 04,2021,1650,38,371
Jul 05,2021,1650,38,371
Jul 06,2021,1650,38,371
Jul 07,2021,1650,38,371
Jul 08,2021,1650,38,371
Jul 09,2021,1650,38,371
Jul 10,2021,1650,38,371
Jul 11,2021,1650,38,371
Jul 12,2021,1650,38,371
Jul 13,2148,1774,41,374
Jul 14,2148,1774,41,374
Jul 15,2153,937,41,1216
Jul 16,2171,955,41,1216
Jul 17,2191,973,43,1218
Jul 18,2191,973,43,1218
Jul 19,2200,982,43,1218
Jul 20,2211,991,45,1220
Jul 21,2211,991,45,1220
Jul 22,2211,991,45,1220
Jul 23,2239,1019,45,1220
Jul 24,2258,1038,45,1220
Jul 25,2258,1038,45,1220
Jul 26,2262,1042,45,1220
Jul 27,2305,1084,46,1221
Jul 28,2305,1084,46,1221
Jul 29,2322,1101,46,1221
Jul 30,2322,1101,46,1221
Jul 31,2322,1101,46,1221
Aug 01,2352,1131,46,1221
Aug 02,2429,1208,46,1221
Aug 03,2429,1208,46,1221
Aug 04,2437,1215,47,1222
Aug 05,2437,1215,47,1222
Aug 06,2450,1228,47,1222
Aug 07,2450,1228,47,1222
Aug 08,2463,1241,47,1222
Aug 09,2470,1248,47,1222
Aug 10,2470,1248,47,1222
Aug 11,2472,1250,47,1222
Aug 12,2477,1255,47,1222
Aug 13,2478,1256,47,1222
Aug 14,2482,1260,47,1222
Aug 15,2488,1266,47,1222
Aug 16,2489,1267,47,1222
Aug 17,2490,1268,47,1222
Aug 18,2490,1268,47,1222
Aug 19,2494,1157,47,1337
Aug 20,2494,1157,47,1337
