Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,0,0,0,0
Mar 22,0,0,0,0
Mar 23,0,0,0,0
Mar 24,0,0,0,0
Mar 25,0,0,0,0
Mar 26,0,0,0,0
Mar 27,0,0,0,0
Mar 28,0,0,0,0
Mar 29,0,0,0,0
Mar 30,0,0,0,0
Mar 31,0,0,0,0
Apr 01,0,0,0,0
Apr 02,0,0,0,0
Apr 03,0,0,0,0
Apr 04,0,0,0,0
Apr 05,1,1,0,0
Apr 06,1,1,0,0
Apr 07,2,2,0,0
Apr 08,2,2,0,0
Apr 09,3,3,0,0
Apr 10,4,4,0,0
Apr 11,4,4,0,0
Apr 12,4,4,0,0
Apr 13,4,4,0,0
Apr 14,4,4,0,0
Apr 15,4,4,0,0
Apr 16,4,4,0,0
Apr 17,4,4,0,0
Apr 18,4,4,0,0
Apr 19,4,4,0,0
Apr 20,4,4,0,0
Apr 21,4,4,0,0
Apr 22,4,4,0,0
Apr 23,4,4,0,0
Apr 24,5,5,0,0
Apr 25,5,5,0,0
Apr 26,6,6,0,0
Apr 27,6,6,0,0
Apr 28,34,34,0,0
Apr 29,34,34,0,0
Apr 30,35,35,0,0
May 01,45,45,0,0
May 02,45,45,0,0
May 03,46,46,0,0
May 04,46,46,0,0
May 05,52,52,0,0
May 06,58,58,0,0
May 07,74,74,0,0
May 08,120,118,0,2
May 09,120,118,0,2
May 10,120,118,0,2
May 11,156,154,0,2
May 12,194,192,0,2
May 13,203,201,0,2
May 14,203,200,0,3
May 15,236,228,4,8
May 16,236,228,4,8
May 17,290,282,4,8
May 18,290,282,4,8
May 19,290,282,4,8
May 20,290,282,4,8
May 21,481,473,4,8
May 22,563,551,6,12
May 23,655,641,8,14
May 24,655,641,8,14
May 25,806,792,8,14
May 26,806,792,8,14
May 27,994,978,10,16
