Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,2,0,0,2
Feb 16,2,0,0,2
Feb 17,2,0,0,2
Feb 18,2,0,0,2
Feb 19,2,0,0,2
Feb 20,2,0,0,2
Feb 21,2,0,0,2
Feb 22,2,0,0,2
Feb 23,2,0,0,2
Feb 24,3,1,0,2
Feb 25,9,7,0,2
Feb 26,13,11,0,2
Feb 27,25,23,0,2
Feb 28,33,31,0,2
Feb 29,58,56,0,2
Mar 01,84,82,0,2
Mar 02,120,118,0,2
Mar 03,165,162,1,3
Mar 04,228,224,2,4
Mar 05,282,276,3,6
Mar 06,401,387,8,14
Mar 07,525,485,10,40
Mar 08,674,625,17,49
Mar 09,1231,1169,30,62
Mar 10,1695,1524,36,171
Mar 11,2277,2039,55,238
Mar 12,3146,2871,86,275
Mar 13,5232,4906,133,326
Mar 14,6391,5678,196,713
Mar 15,7988,7177,294,811
Mar 16,9942,9070,342,872
Mar 17,11826,10265,533,1561
Mar 18,14769,13050,638,1719
Mar 19,18077,16139,831,1938
Mar 20,21571,18890,1093,2681
Mar 21,25496,21990,1381,3506
Mar 22,28768,24421,1772,4347
Mar 23,35136,29470,2311,5666
Mar 24,42058,35273,2991,6785
Mar 25,49515,40501,3647,9014
Mar 26,57786,46406,4365,11380
Mar 27,65719,51224,5138,14495
Mar 28,73235,54968,5982,18267
Mar 29,80110,58598,6803,21512
Mar 30,87956,63460,7716,24496
Mar 31,95923,68200,8464,27723
Apr 01,104118,72084,9387,32034
Apr 02,112065,74974,10348,37091
Apr 03,119199,77488,11198,41711
Apr 04,126168,80002,11947,46166
Apr 05,131646,80925,12641,50721
Apr 06,136675,82897,13341,53778
Apr 07,141942,84689,14045,57253
Apr 08,148220,85407,14792,62813
Apr 09,153222,85610,15447,67612
Apr 10,158273,86524,16081,71749
Apr 11,163027,87312,16606,75715
Apr 12,166831,87231,17209,79600
Apr 13,170099,87616,17756,82483
Apr 14,174060,88301,18255,85759
Apr 15,180659,90994,18812,89665
Apr 16,184948,91021,19130,93927
Apr 17,190839,96564,19478,94275
Apr 18,194416,98382,20043,96034
Apr 19,198674,98338,20453,100336
Apr 20,200210,97464,20852,102746
Apr 21,204178,98958,21282,105220
Apr 22,208389,99440,21717,108949
Apr 23,213024,100106,22157,112918
Apr 24,219764,88111,22524,131653
Apr 25,223759,87295,22902,136464
Apr 26,226629,85712,23190,140917
Apr 27,229422,85069,23521,144353
Apr 28,232128,84403,23822,147725
Apr 29,236899,79695,24275,157204
Apr 30,239340,76842,24543,162498
May 01,242979,75714,24824,167265
May 02,245589,74234,25100,171355
May 03,247122,73300,25264,173822
May 04,248301,71240,25428,177061
May 05,250561,70230,25613,180331
May 06,253682,68466,25857,185216
May 07,256855,66866,26070,189989
May 08,260117,65410,26299,194707
May 09,262783,63148,26478,199635
May 10,264663,61603,26621,203060
May 11,268143,63553,26744,204590
May 12,269520,62130,26920,207390
May 13,271095,60764,27104,210331
May 14,272646,58845,27321,213801
May 15,274367,57941,27459,216426
May 16,276505,56689,27563,219816
May 17,277719,54124,27650,223595
May 18,278188,53521,27709,224667
May 19,278803,54067,27778,224736
May 20,279524,54678,27888,224846
May 21,280117,55219,27940,224898
May 22,281904,56318,28628,225586
May 23,282370,56734,28678,225636
May 24,282852,57142,28752,225710
May 25,282480,58685,26837,223795
May 26,283339,59264,27117,224075
May 27,283849,59773,27118,224076
