Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,1,0,0,1
Feb 16,1,0,0,1
Feb 17,1,0,0,1
Feb 18,1,0,0,1
Feb 19,1,0,0,1
Feb 20,1,0,0,1
Feb 21,1,0,0,1
Feb 22,1,0,0,1
Feb 23,1,0,0,1
Feb 24,1,0,0,1
Feb 25,1,0,0,1
Feb 26,1,0,0,1
Feb 27,1,0,0,1
Feb 28,1,0,0,1
Feb 29,1,0,0,1
Mar 01,1,0,0,1
Mar 02,1,0,0,1
Mar 03,1,0,0,1
Mar 04,1,0,0,1
Mar 05,1,0,0,1
Mar 06,1,0,0,1
Mar 07,1,0,0,1
Mar 08,1,0,0,1
Mar 09,1,0,0,1
Mar 10,1,0,0,1
Mar 11,2,1,0,1
Mar 12,3,2,0,1
Mar 13,6,5,0,1
Mar 14,10,9,0,1
Mar 15,18,17,0,1
Mar 16,28,27,0,1
Mar 17,44,43,0,1
Mar 18,51,48,0,3
Mar 19,60,57,0,3
Mar 20,73,70,0,3
Mar 21,77,74,0,3
Mar 22,82,79,0,3
Mar 23,97,95,0,2
Mar 24,102,100,0,2
Mar 25,102,99,0,3
Mar 26,106,99,0,7
Mar 27,106,99,0,7
Mar 28,113,103,1,10
Mar 29,117,105,1,12
Mar 30,122,105,2,17
Mar 31,143,124,2,19
Apr 01,146,122,3,24
Apr 02,151,126,4,25
Apr 03,159,131,4,28
Apr 04,166,134,5,32
Apr 05,176,138,5,38
Apr 06,178,135,5,43
Apr 07,185,137,6,48
Apr 08,189,138,7,51
Apr 09,190,134,7,56
Apr 10,190,129,7,61
Apr 11,198,137,7,61
Apr 12,210,147,7,63
Apr 13,217,154,7,63
Apr 14,233,165,7,68
Apr 15,238,168,7,70
Apr 16,238,163,7,75
Apr 17,244,160,7,84
Apr 18,254,161,7,93
Apr 19,271,168,7,103
Apr 20,304,199,7,105
Apr 21,310,201,7,109
Apr 22,330,218,7,112
Apr 23,368,254,7,114
Apr 24,417,301,7,116
Apr 25,452,327,7,125
Apr 26,523,396,7,127
Apr 27,588,455,7,133
Apr 28,619,478,7,141
