Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,1,0,0,1
Feb 16,1,0,0,1
Feb 17,1,0,0,1
Feb 18,1,0,0,1
Feb 19,1,0,0,1
Feb 20,1,0,0,1
Feb 21,1,0,0,1
Feb 22,1,0,0,1
Feb 23,1,0,0,1
Feb 24,1,0,0,1
Feb 25,1,0,0,1
Feb 26,1,0,0,1
Feb 27,1,0,0,1
Feb 28,1,0,0,1
Feb 29,1,0,0,1
Mar 01,1,0,0,1
Mar 02,1,0,0,1
Mar 03,1,0,0,1
Mar 04,1,0,0,1
Mar 05,1,0,0,1
Mar 06,1,0,0,1
Mar 07,1,0,0,1
Mar 08,1,0,0,1
Mar 09,1,0,0,1
Mar 10,1,0,0,1
Mar 11,2,1,0,1
Mar 12,3,2,0,1
Mar 13,6,5,0,1
Mar 14,10,9,0,1
Mar 15,18,17,0,1
Mar 16,28,27,0,1
Mar 17,44,43,0,1
Mar 18,51,48,0,3
Mar 19,60,57,0,3
Mar 20,73,70,0,3
Mar 21,77,74,0,3
Mar 22,82,79,0,3
Mar 23,97,95,0,2
Mar 24,102,100,0,2
Mar 25,102,99,0,3
Mar 26,106,99,0,7
Mar 27,106,99,0,7
Mar 28,113,103,1,10
Mar 29,117,105,1,12
Mar 30,122,105,2,17
Mar 31,143,124,2,19
Apr 01,146,122,3,24
Apr 02,151,126,4,25
Apr 03,159,131,4,28
Apr 04,166,134,5,32
Apr 05,176,138,5,38
Apr 06,178,135,5,43
Apr 07,185,137,6,48
Apr 08,189,138,7,51
Apr 09,190,134,7,56
Apr 10,190,129,7,61
Apr 11,198,137,7,61
Apr 12,210,147,7,63
Apr 13,217,154,7,63
Apr 14,233,165,7,68
Apr 15,238,168,7,70
Apr 16,238,163,7,75
Apr 17,244,160,7,84
Apr 18,254,161,7,93
Apr 19,271,168,7,103
Apr 20,304,199,7,105
Apr 21,310,201,7,109
Apr 22,330,218,7,112
Apr 23,368,254,7,114
Apr 24,417,301,7,116
Apr 25,452,327,7,125
Apr 26,523,396,7,127
Apr 27,588,455,7,133
Apr 28,619,478,7,141
Apr 29,649,506,7,143
Apr 30,663,502,7,161
May 01,690,521,7,169
May 02,702,523,7,179
May 03,718,527,7,191
May 04,751,549,8,202
May 05,771,549,9,222
May 06,797,573,9,224
May 07,823,582,9,241
May 08,835,586,9,249
May 09,847,578,9,269
May 10,856,526,9,330
May 11,863,511,9,352
May 12,889,514,9,375
May 13,893,502,9,391
May 14,925,471,9,454
May 15,935,449,9,486
May 16,957,428,9,529
May 17,981,434,9,547
May 18,992,424,9,568
May 19,1023,445,9,578
May 20,1028,435,9,593
May 21,1048,435,9,613
May 22,1068,439,9,629
May 23,1089,420,9,669
May 24,1141,458,9,683
May 25,1182,477,10,705
May 26,1319,597,10,722
May 27,1469,727,10,742
May 28,1530,775,10,755
May 29,1558,794,10,764
May 30,1613,822,10,791
May 31,1633,822,10,811
Jun 01,1643,821,11,822
Jun 02,1683,849,11,834
Jun 03,1735,888,11,847
Jun 04,1797,947,11,850
Jun 05,1801,932,11,869
Jun 06,1814,912,11,902
Jun 07,1835,883,11,952
Jun 08,1857,856,11,1001
Jun 09,1859,791,11,1068
Jun 10,1869,736,11,1133
Jun 11,1877,716,11,1161
