Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,1,1,0,0
Mar 02,1,1,0,0
Mar 03,1,1,0,0
Mar 04,1,1,0,0
Mar 05,1,1,0,0
Mar 06,1,1,0,0
Mar 07,1,1,0,0
Mar 08,1,1,0,0
Mar 09,1,1,0,0
Mar 10,1,1,0,0
Mar 11,1,1,0,0
Mar 12,1,1,0,0
Mar 13,1,1,0,0
Mar 14,1,1,0,0
Mar 15,1,1,0,0
Mar 16,3,3,0,0
Mar 17,3,3,0,0
Mar 18,3,3,0,0
Mar 19,3,3,0,0
Mar 20,3,3,0,0
Mar 21,3,3,0,0
Mar 22,3,3,0,0
Mar 23,3,3,0,0
Mar 24,3,3,0,0
Mar 25,3,3,0,0
Mar 26,3,3,0,0
Mar 27,5,5,0,0
Mar 28,5,5,0,0
Mar 29,5,5,0,0
Mar 30,6,5,0,1
Mar 31,6,5,0,1
Apr 01,6,5,0,1
Apr 02,6,5,0,1
Apr 03,6,5,0,1
Apr 04,6,5,0,1
Apr 05,6,5,0,1
Apr 06,6,5,0,1
Apr 07,6,5,0,1
Apr 08,6,5,0,1
Apr 09,6,5,0,1
Apr 10,6,5,0,1
Apr 11,6,5,0,1
Apr 12,6,2,0,4
Apr 13,6,2,0,4
Apr 14,6,2,0,4
Apr 15,6,2,0,4
Apr 16,6,2,0,4
Apr 17,6,2,0,4
Apr 18,6,1,0,5
Apr 19,6,1,0,5
Apr 20,6,1,0,5
Apr 21,6,0,0,6
Apr 22,6,0,0,6
Apr 23,6,0,0,6
Apr 24,6,0,0,6
Apr 25,6,0,0,6
Apr 26,6,0,0,6
Apr 27,6,0,0,6
Apr 28,6,0,0,6
Apr 29,6,0,0,6
Apr 30,6,0,0,6
May 01,6,0,0,6
May 02,6,0,0,6
May 03,6,0,0,6
May 04,6,0,0,6
May 05,6,0,0,6
May 06,6,0,0,6
May 07,6,0,0,6
May 08,6,0,0,6
May 09,6,0,0,6
May 10,6,0,0,6
May 11,6,0,0,6
May 12,6,0,0,6
May 13,6,0,0,6
May 14,6,0,0,6
May 15,6,0,0,6
May 16,6,0,0,6
May 17,6,0,0,6
May 18,6,0,0,6
May 19,6,0,0,6
May 20,6,0,0,6
May 21,6,0,0,6
May 22,6,0,0,6
May 23,6,0,0,6
May 24,6,0,0,6
May 25,6,0,0,6
May 26,6,0,0,6
May 27,6,0,0,6
May 28,6,0,0,6
May 29,6,0,0,6
May 30,6,0,0,6
May 31,6,0,0,6
Jun 01,6,0,0,6
Jun 02,6,0,0,6
Jun 03,6,0,0,6
Jun 04,6,0,0,6
Jun 05,6,0,0,6
Jun 06,6,0,0,6
Jun 07,6,0,0,6
Jun 08,6,0,0,6
Jun 09,6,0,0,6
Jun 10,6,0,0,6
Jun 11,6,0,0,6
Jun 12,6,0,0,6
Jun 13,6,0,0,6
Jun 14,6,0,0,6
Jun 15,6,0,0,6
Jun 16,6,0,0,6
Jun 17,6,0,0,6
Jun 18,6,0,0,6
Jun 19,6,0,0,6
Jun 20,6,0,0,6
Jun 21,6,0,0,6
Jun 22,6,0,0,6
Jun 23,6,0,0,6
Jun 24,6,0,0,6
Jun 25,6,0,0,6
Jun 26,6,0,0,6
Jun 27,6,0,0,6
Jun 28,6,0,0,6
Jun 29,6,0,0,6
Jun 30,6,0,0,6
Jul 01,6,0,0,6
Jul 02,6,0,0,6
Jul 03,6,0,0,6
Jul 04,6,0,0,6
Jul 05,6,0,0,6
Jul 06,6,0,0,6
Jul 07,6,0,0,6
Jul 08,6,0,0,6
Jul 09,6,0,0,6
Jul 10,6,0,0,6
Jul 11,6,0,0,6
Jul 12,6,0,0,6
Jul 13,6,0,0,6
Jul 14,6,0,0,6
Jul 15,6,0,0,6
Jul 16,6,0,0,6
Jul 17,6,0,0,6
Jul 18,6,0,0,6
Jul 19,6,0,0,6
Jul 20,6,0,0,6
Jul 21,6,0,0,6
Jul 22,6,0,0,6
Jul 23,6,0,0,6
Jul 24,6,0,0,6
Jul 25,7,1,0,6
Jul 26,7,1,0,6
Jul 27,7,1,0,6
Jul 28,7,1,0,6
Jul 29,7,1,0,6
Jul 30,8,2,0,6
Jul 31,8,2,0,6
Aug 01,8,2,0,6
Aug 02,9,3,0,6
Aug 03,9,3,0,6
Aug 04,9,3,0,6
Aug 05,9,3,0,6
Aug 06,9,3,0,6
Aug 07,9,3,0,6
Aug 08,9,3,0,6
Aug 09,13,7,0,6
Aug 10,13,7,0,6
Aug 11,13,7,0,6
Aug 12,13,7,0,6
Aug 13,13,5,0,8
Aug 14,13,4,0,9
Aug 15,13,4,0,9
Aug 16,13,4,0,9
Aug 17,16,7,0,9
Aug 18,16,7,0,9
Aug 19,16,7,0,9
Aug 20,16,7,0,9
