Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,1,0,1,1
Mar 14,1,0,1,1
Mar 15,1,0,1,1
Mar 16,1,0,1,1
Mar 17,1,0,1,1
Mar 18,2,1,1,1
Mar 19,2,1,1,1
Mar 20,2,1,1,1
Mar 21,2,1,1,1
Mar 22,2,1,1,1
Mar 23,2,1,1,1
Mar 24,3,2,1,1
Mar 25,3,2,1,1
Mar 26,3,2,1,1
Mar 27,3,2,1,1
Mar 28,5,4,1,1
Mar 29,6,5,1,1
Mar 30,6,4,2,2
Mar 31,7,4,2,3
Apr 01,7,3,2,4
Apr 02,8,4,2,4
Apr 03,10,6,2,4
Apr 04,10,6,2,4
Apr 05,12,8,2,4
Apr 06,12,8,2,4
Apr 07,14,10,2,4
Apr 08,14,10,2,4
Apr 09,15,11,2,4
Apr 10,17,13,2,4
Apr 11,19,15,2,4
Apr 12,19,15,2,4
Apr 13,29,21,4,8
Apr 14,32,23,5,9
Apr 15,32,23,5,9
Apr 16,32,23,5,9
Apr 17,33,23,6,10
Apr 18,66,50,10,16
Apr 19,66,50,10,16
Apr 20,107,87,12,20
Apr 21,140,119,13,21
Apr 22,140,115,13,25
Apr 23,162,135,13,27
Apr 24,174,144,16,30
Apr 25,213,177,17,36
Apr 26,237,196,21,41
Apr 27,275,232,22,43
Apr 28,318,262,25,56
