Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,1,0,1,1
Mar 14,1,0,1,1
Mar 15,1,0,1,1
Mar 16,1,0,1,1
Mar 17,1,0,1,1
Mar 18,2,1,1,1
Mar 19,2,1,1,1
Mar 20,2,1,1,1
Mar 21,2,1,1,1
Mar 22,2,1,1,1
Mar 23,2,1,1,1
Mar 24,3,2,1,1
Mar 25,3,2,1,1
Mar 26,3,2,1,1
Mar 27,3,2,1,1
Mar 28,5,4,1,1
Mar 29,6,5,1,1
Mar 30,6,4,2,2
Mar 31,7,4,2,3
Apr 01,7,3,2,4
Apr 02,8,4,2,4
Apr 03,10,6,2,4
Apr 04,10,6,2,4
Apr 05,12,8,2,4
Apr 06,12,8,2,4
Apr 07,14,10,2,4
Apr 08,14,10,2,4
Apr 09,15,11,2,4
Apr 10,17,13,2,4
Apr 11,19,15,2,4
Apr 12,19,15,2,4
Apr 13,29,21,4,8
Apr 14,32,23,5,9
Apr 15,32,23,5,9
Apr 16,32,23,5,9
Apr 17,33,23,6,10
Apr 18,66,50,10,16
Apr 19,66,50,10,16
Apr 20,107,87,12,20
Apr 21,140,119,13,21
Apr 22,140,115,13,25
Apr 23,162,135,13,27
Apr 24,174,144,16,30
Apr 25,213,177,17,36
Apr 26,237,196,21,41
Apr 27,275,232,22,43
Apr 28,318,262,25,56
Apr 29,375,315,28,60
Apr 30,442,372,31,70
May 01,442,372,31,70
May 02,592,499,41,93
May 03,592,499,41,93
May 04,678,576,41,102
May 05,778,663,45,115
May 06,852,723,49,129
May 07,930,786,52,144
May 08,1111,950,59,161
May 09,1164,981,64,183
May 10,1365,1146,70,219
May 11,1526,1291,74,235
May 12,1661,1408,80,253
May 13,1818,1530,90,288
May 14,1818,1530,90,288
May 15,1964,1668,91,296
May 16,2289,1970,97,319
May 17,2289,1970,97,319
May 18,2591,2239,105,352
May 19,2728,2331,111,397
May 20,2728,2331,111,397
May 21,3138,2708,121,430
May 22,3378,2869,137,509
May 23,3378,2869,137,509
May 24,3628,3058,146,570
May 25,3820,3197,165,623
May 26,3976,3303,170,673
May 27,4146,3374,184,772
May 28,4346,3402,195,944
May 29,4521,3472,233,1049
May 30,4800,3266,262,1534
May 31,5026,3317,286,1709
Jun 01,5173,3353,298,1820
Jun 02,5310,3378,307,1932
Jun 03,5499,3474,314,2025
Jun 04,5714,3556,333,2158
Jun 05,5865,3594,347,2271
Jun 06,6081,3708,359,2373
Jun 07,6081,3708,359,2373
Jun 08,6242,3811,372,2431
Jun 09,6427,3911,389,2516
Jun 10,6582,3979,401,2603
Jun 11,6582,3979,401,2603
Jun 12,6879,4030,433,2849
Jun 13,7007,4004,447,3003
Jun 14,7220,4151,459,3069
