Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,1,1,0,0
Mar 14,1,1,0,0
Mar 15,1,1,0,0
Mar 16,1,1,0,0
Mar 17,1,1,0,0
Mar 18,1,1,0,0
Mar 19,1,1,0,0
Mar 20,4,4,0,0
Mar 21,5,5,0,0
Mar 22,5,5,0,0
Mar 23,5,5,0,0
Mar 24,7,7,0,0
Mar 25,8,8,0,0
Mar 26,8,8,0,0
Mar 27,8,8,0,0
Mar 28,8,8,0,0
Mar 29,8,8,0,0
Mar 30,8,8,0,0
Mar 31,9,9,0,0
Apr 01,10,10,0,0
Apr 02,10,10,0,0
Apr 03,10,9,1,1
Apr 04,10,9,1,1
Apr 05,10,9,1,1
Apr 06,10,9,1,1
Apr 07,10,9,1,1
Apr 08,10,6,1,4
Apr 09,10,5,1,5
Apr 10,10,5,1,5
Apr 11,10,5,1,5
Apr 12,10,5,1,5
Apr 13,10,3,1,7
Apr 14,10,3,1,7
Apr 15,10,3,1,7
Apr 16,10,3,1,7
Apr 17,10,3,1,7
Apr 18,10,3,1,7
Apr 19,10,3,1,7
Apr 20,10,3,1,7
Apr 21,10,3,1,7
Apr 22,10,3,1,7
Apr 23,10,3,1,7
Apr 24,10,2,1,8
Apr 25,10,2,1,8
Apr 26,10,2,1,8
Apr 27,10,2,1,8
Apr 28,10,2,1,8
Apr 29,10,1,1,9
Apr 30,10,1,1,9
May 01,10,1,1,9
May 02,10,1,1,9
May 03,10,0,1,10
May 04,10,0,1,10
May 05,10,0,1,10
May 06,10,0,1,10
May 07,10,0,1,10
May 08,10,0,1,10
May 09,10,0,1,10
May 10,10,0,1,10
May 11,10,0,1,10
May 12,10,0,1,10
May 13,10,0,1,10
May 14,10,0,1,10
May 15,10,0,1,10
May 16,10,0,1,10
May 17,10,0,1,10
May 18,11,1,1,10
May 19,11,1,1,10
May 20,11,1,1,10
May 21,11,1,1,10
May 22,11,1,1,10
May 23,11,1,1,10
May 24,11,1,1,10
May 25,11,1,1,10
May 26,11,1,1,10
May 27,12,2,1,10
May 28,12,2,1,10
May 29,12,2,1,10
May 30,12,2,1,10
May 31,23,13,1,10
Jun 01,44,34,1,10
Jun 02,54,44,1,10
Jun 03,74,64,1,10
Jun 04,82,72,1,10
Jun 05,90,80,1,10
Jun 06,100,90,1,10
Jun 07,122,112,1,10
Jun 08,128,117,2,11
Jun 09,137,126,2,11
Jun 10,144,133,2,11
Jun 11,168,157,2,11
Jun 12,187,175,3,12
Jun 13,196,184,3,12
Jun 14,208,196,3,12
Jun 15,229,176,5,53
Jun 16,236,182,6,54
Jun 17,261,207,6,54
Jun 18,277,196,7,81
Jun 19,293,211,8,82
Jun 20,302,220,8,82
Jun 21,314,200,8,114
Jun 22,319,205,8,114
Jun 23,319,178,9,141
Jun 24,357,194,9,163
Jun 25,373,187,10,186
Jun 26,389,198,10,191
Jun 27,433,231,11,202
Jun 28,490,280,11,210
Jun 29,501,271,13,230
Jun 30,515,275,13,240
Jul 01,535,280,13,255
Jul 02,547,282,13,265
Jul 03,561,281,13,280
Jul 04,565,275,14,290
Jul 05,594,288,14,306
Jul 06,614,285,14,329
Jul 07,634,214,15,420
Jul 08,665,214,17,451
Jul 09,694,221,17,473
Jul 10,726,227,18,499
Jul 11,741,228,18,513
Jul 12,741,228,18,513
Jul 13,780,236,18,544
Jul 14,801,240,18,561
Jul 15,837,246,18,591
Jul 16,904,305,18,599
Jul 17,943,324,19,619
Jul 18,1001,371,20,630
Jul 19,1029,381,21,648
Jul 20,1079,402,21,677
Jul 21,1131,405,21,726
Jul 22,1176,416,21,760
Jul 23,1234,437,23,797
Jul 24,1305,478,23,827
Jul 25,1381,505,23,876
Jul 26,1439,526,23,913
Jul 27,1483,534,24,949
Jul 28,1510,521,24,989
Jul 29,1607,578,26,1029
Jul 30,1607,578,26,1029
Jul 31,1650,544,26,1106
Aug 01,1760,573,26,1187
Aug 02,1849,628,27,1221
Aug 03,1893,639,27,1254
Aug 04,1981,676,27,1305
Aug 05,2050,696,27,1354
Aug 06,2096,621,29,1475
Aug 07,2203,669,29,1534
Aug 08,2306,719,29,1587
Aug 09,2391,727,29,1664
Aug 10,2489,785,30,1704
Aug 11,2559,808,39,1751
Aug 12,2653,825,39,1828
Aug 13,2761,891,40,1870
Aug 14,2838,903,41,1935
Aug 15,2961,929,42,2032
Aug 16,3016,933,47,2083
Aug 17,3077,891,48,2186
Aug 18,3216,966,54,2250
Aug 19,3295,1014,54,2281
Aug 20,3366,928,55,2438
