Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,1,1,0,0
Mar 14,1,1,0,0
Mar 15,1,1,0,0
Mar 16,1,1,0,0
Mar 17,1,1,0,0
Mar 18,1,1,0,0
Mar 19,1,1,0,0
Mar 20,4,4,0,0
Mar 21,5,5,0,0
Mar 22,5,5,0,0
Mar 23,5,5,0,0
Mar 24,7,7,0,0
Mar 25,8,8,0,0
Mar 26,8,8,0,0
Mar 27,8,8,0,0
Mar 28,8,8,0,0
Mar 29,8,8,0,0
Mar 30,8,8,0,0
Mar 31,9,9,0,0
Apr 01,10,10,0,0
Apr 02,10,10,0,0
Apr 03,10,9,1,1
Apr 04,10,9,1,1
Apr 05,10,9,1,1
Apr 06,10,9,1,1
Apr 07,10,9,1,1
Apr 08,10,6,1,4
Apr 09,10,5,1,5
Apr 10,10,5,1,5
Apr 11,10,5,1,5
Apr 12,10,5,1,5
Apr 13,10,3,1,7
Apr 14,10,3,1,7
Apr 15,10,3,1,7
Apr 16,10,3,1,7
Apr 17,10,3,1,7
Apr 18,10,3,1,7
Apr 19,10,3,1,7
Apr 20,10,3,1,7
Apr 21,10,3,1,7
Apr 22,10,3,1,7
Apr 23,10,3,1,7
Apr 24,10,2,1,8
Apr 25,10,2,1,8
Apr 26,10,2,1,8
Apr 27,10,2,1,8
Apr 28,10,2,1,8
Apr 29,10,1,1,9
Apr 30,10,1,1,9
May 01,10,1,1,9
May 02,10,1,1,9
May 03,10,0,1,10
May 04,10,0,1,10
May 05,10,0,1,10
May 06,10,0,1,10
May 07,10,0,1,10
May 08,10,0,1,10
May 09,10,0,1,10
May 10,10,0,1,10
May 11,10,0,1,10
May 12,10,0,1,10
May 13,10,0,1,10
May 14,10,0,1,10
May 15,10,0,1,10
May 16,10,0,1,10
May 17,10,0,1,10
May 18,11,1,1,10
May 19,11,1,1,10
May 20,11,1,1,10
May 21,11,1,1,10
May 22,11,1,1,10
May 23,11,1,1,10
May 24,11,1,1,10
May 25,11,1,1,10
May 26,11,1,1,10
May 27,12,2,1,10
