Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,1,1,0,0
Feb 26,1,1,0,0
Feb 27,8,8,0,0
Feb 28,15,15,0,0
Feb 29,19,19,0,0
Mar 01,24,23,0,1
Mar 02,30,29,0,1
Mar 03,58,56,0,2
Mar 04,93,90,0,3
Mar 05,120,116,1,4
Mar 06,214,210,1,4
Mar 07,268,264,1,4
Mar 08,332,327,2,5
Mar 09,374,369,2,5
Mar 10,497,491,3,6
Mar 11,652,644,4,8
Mar 12,868,857,7,11
Mar 13,1139,1124,11,15
Mar 14,1375,1358,13,17
Mar 15,2217,2199,14,18
Mar 16,2353,2330,19,23
Mar 17,2742,2700,27,42
Mar 18,3115,3067,33,48
Mar 19,4222,4164,43,58
Mar 20,5615,5544,56,71
Mar 21,6863,6652,80,211
Mar 22,7474,7245,98,229
Mar 23,8795,8544,120,251
Mar 24,9877,9624,122,253
Mar 25,10897,10613,153,284
Mar 26,11811,11488,192,323
Mar 27,12928,11167,231,1761
Mar 28,14076,12282,264,1794
Mar 29,14829,12934,300,1895
Mar 30,15922,13740,359,2182
Mar 31,16605,14349,433,2256
Apr 01,17768,14313,488,3455
Apr 02,18827,14278,536,4549
Apr 03,19606,14169,591,5437
Apr 04,20505,13424,666,7081
Apr 05,21100,13970,715,7130
Apr 06,21657,12836,765,8821
Apr 07,22253,12728,821,9525
Apr 08,23280,12585,895,10695
Apr 09,24051,12503,948,11548
Apr 10,24551,12449,1002,12102
Apr 11,25107,11971,1036,13136
Apr 12,25415,11609,1106,13806
Apr 13,25688,10850,1138,14838
Apr 14,25936,11062,1174,14874
Apr 15,26336,9697,1239,16639
Apr 16,26732,9551,1281,17181
Apr 17,27078,9351,1327,17727
Apr 18,27404,8936,1368,18468
Apr 19,27740,8547,1393,19193
Apr 20,27944,7915,1429,20029
Apr 21,28063,7185,1478,20878
Apr 22,28268,6859,1509,21409
Apr 23,28496,6347,1549,22149
Apr 24,28677,6088,1589,22589
Apr 25,28894,5995,1599,22899
Apr 26,29061,5651,1610,23410
Apr 27,29164,5299,1665,23865
Apr 28,29264,4965,1699,24299
Apr 29,29407,5091,1716,24316
Apr 30,29586,4449,1737,25137
May 01,29705,4051,1754,25654
May 02,29817,3855,1762,25962
May 03,29905,3643,1762,26262
May 04,29981,2997,1784,26984
May 05,30009,2814,1795,27195
May 06,30060,2555,1805,27505
May 07,30126,2416,1810,27710
May 08,30207,2284,1823,27923
May 09,30251,2021,1830,28230
May 10,30305,1872,1833,28433
May 11,30344,1699,1845,28645
May 12,30380,1713,1867,28667
May 13,30413,1443,1870,28970
May 14,30463,1491,1872,28972
May 15,30514,1536,1878,28978
May 16,30572,1293,1879,29279
May 17,30587,1206,1881,29381
May 18,30597,1111,1886,29486
May 19,30618,1027,1891,29591
May 20,30658,966,1892,29692
May 21,30694,896,1898,29798
May 22,30707,904,1903,29803
May 23,30725,820,1905,29905
May 24,30736,730,1906,30006
May 25,30746,633,1913,30113
May 26,30761,646,1915,30115
May 27,30776,559,1917,30217
May 28,30796,577,1919,30219
May 29,30828,609,1919,30219
May 30,30845,526,1919,30319
May 31,30862,442,1920,30420
Jun 01,30871,451,1920,30420
