Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,0,0,0,0
Mar 22,1,1,0,0
Mar 23,1,1,0,0
Mar 24,1,1,0,0
Mar 25,5,5,0,0
Mar 26,5,5,0,0
Mar 27,5,5,0,0
Mar 28,5,5,0,0
Mar 29,9,8,1,1
Mar 30,10,8,2,2
Mar 31,10,8,2,2
Apr 01,10,8,2,2
Apr 02,16,14,2,2
Apr 03,16,14,2,2
Apr 04,16,12,2,4
Apr 05,19,15,2,4
Apr 06,19,15,2,4
Apr 07,19,14,2,5
Apr 08,19,13,2,6
Apr 09,19,13,2,6
Apr 10,19,13,2,6
Apr 11,25,18,2,7
Apr 12,25,18,2,7
Apr 13,25,18,2,7
Apr 14,29,22,2,7
Apr 15,33,26,2,7
Apr 16,33,26,2,7
Apr 17,38,31,2,7
Apr 18,38,31,2,7
Apr 19,39,31,3,8
Apr 20,39,31,3,8
Apr 21,42,33,3,9
Apr 22,42,33,3,9
Apr 23,42,33,3,9
Apr 24,42,33,3,9
Apr 25,42,28,3,14
Apr 26,43,26,3,17
Apr 27,43,21,3,22
Apr 28,43,19,3,24
Apr 29,43,19,3,24
Apr 30,43,19,3,24
May 01,44,14,3,30
May 02,44,14,3,30
May 03,44,14,3,30
May 04,44,14,3,30
May 05,44,14,3,30
May 06,45,15,3,30
May 07,45,15,3,30
May 08,47,15,3,32
May 09,47,15,3,32
May 10,47,15,3,32
May 11,47,15,3,32
May 12,47,15,3,32
May 13,48,16,3,32
May 14,48,16,3,32
May 15,50,11,3,39
May 16,51,12,3,39
May 17,58,19,3,39
May 18,58,19,3,39
May 19,58,19,3,39
May 20,58,19,3,39
May 21,58,19,3,39
May 22,59,18,4,41
May 23,70,29,4,41
May 24,86,41,4,45
May 25,106,61,4,45
May 26,121,76,4,45
May 27,121,74,4,47
May 28,122,75,4,47
May 29,122,75,4,47
May 30,122,75,4,47
May 31,122,71,5,51
Jun 01,123,72,5,51
Jun 02,123,67,6,56
Jun 03,123,64,6,59
Jun 04,124,65,6,59
Jun 05,124,65,6,59
Jun 06,125,61,6,64
Jun 07,141,77,6,64
Jun 08,144,76,6,68
Jun 09,146,78,6,68
Jun 10,152,78,6,74
Jun 11,164,90,6,74
Jun 12,164,90,6,74
Jun 13,170,93,6,77
Jun 14,177,97,6,80
Jun 15,177,93,6,84
Jun 16,177,93,6,84
Jun 17,178,93,7,85
Jun 18,187,102,7,85
Jun 19,187,102,7,85
Jun 20,198,108,7,90
Jun 21,204,114,7,90
Jun 22,219,129,7,90
Jun 23,231,130,7,101
Jun 24,231,130,7,101
Jun 25,242,139,7,103
Jun 26,255,145,8,110
Jun 27,256,145,9,111
Jun 28,256,145,9,111
Jun 29,269,158,9,111
Jun 30,279,165,9,114
Jul 01,293,174,9,119
Jul 02,312,190,9,122
Jul 03,328,195,10,133
Jul 04,338,205,10,133
Jul 05,358,219,13,139
Jul 06,372,232,14,140
Jul 07,372,232,14,140
Jul 08,372,232,14,140
Jul 09,372,232,14,140
Jul 10,394,252,16,142
Jul 11,394,252,16,142
Jul 12,394,252,16,142
Jul 13,417,262,19,155
Jul 14,439,280,21,159
Jul 15,458,296,22,162
Jul 16,477,315,22,162
Jul 17,496,327,25,169
Jul 18,496,327,25,169
Jul 19,496,327,25,169
Jul 20,522,339,29,183
Jul 21,540,349,31,191
Jul 22,561,364,32,197
Jul 23,584,375,35,209
Jul 24,608,389,35,219
Jul 25,627,400,36,227
Jul 26,650,412,38,238
Jul 27,674,424,40,250
Jul 28,694,434,40,260
Jul 29,717,448,40,269
Jul 30,738,468,41,270
Jul 31,757,477,43,280
Aug 01,780,500,43,280
Aug 02,809,509,44,300
Aug 03,847,533,46,314
Aug 04,892,563,46,329
Aug 05,944,600,48,344
Aug 06,999,640,48,359
Aug 07,1060,701,48,359
Aug 08,1125,744,50,381
Aug 09,1188,790,52,398
Aug 10,1255,839,52,416
Aug 11,1327,889,53,438
Aug 12,1327,889,53,438
Aug 13,1432,982,55,450
Aug 14,1515,1054,58,461
Aug 15,1593,1125,60,468
Aug 16,1677,1196,64,481
Aug 17,1764,1271,68,493
Aug 18,1844,1346,73,498
Aug 19,1927,1404,78,523
Aug 20,2008,1466,82,542
