Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,0,0,0,0
Mar 21,0,0,0,0
Mar 22,1,1,0,0
Mar 23,1,1,0,0
Mar 24,1,1,0,0
Mar 25,5,5,0,0
Mar 26,5,5,0,0
Mar 27,5,5,0,0
Mar 28,5,5,0,0
Mar 29,9,8,1,1
Mar 30,10,8,2,2
Mar 31,10,8,2,2
Apr 01,10,8,2,2
Apr 02,16,14,2,2
Apr 03,16,14,2,2
Apr 04,16,12,2,4
Apr 05,19,15,2,4
Apr 06,19,15,2,4
Apr 07,19,14,2,5
Apr 08,19,13,2,6
Apr 09,19,13,2,6
Apr 10,19,13,2,6
Apr 11,25,18,2,7
Apr 12,25,18,2,7
Apr 13,25,18,2,7
Apr 14,29,22,2,7
Apr 15,33,26,2,7
Apr 16,33,26,2,7
Apr 17,38,31,2,7
Apr 18,38,31,2,7
Apr 19,39,31,3,8
Apr 20,39,31,3,8
Apr 21,42,33,3,9
Apr 22,42,33,3,9
Apr 23,42,33,3,9
Apr 24,42,33,3,9
Apr 25,42,28,3,14
Apr 26,43,26,3,17
Apr 27,43,21,3,22
Apr 28,43,19,3,24
Apr 29,43,19,3,24
Apr 30,43,19,3,24
May 01,44,14,3,30
May 02,44,14,3,30
May 03,44,14,3,30
May 04,44,14,3,30
May 05,44,14,3,30
May 06,45,15,3,30
May 07,45,15,3,30
May 08,47,15,3,32
May 09,47,15,3,32
May 10,47,15,3,32
May 11,47,15,3,32
May 12,47,15,3,32
May 13,48,16,3,32
May 14,48,16,3,32
May 15,50,11,3,39
May 16,51,12,3,39
May 17,58,19,3,39
May 18,58,19,3,39
May 19,58,19,3,39
May 20,58,19,3,39
May 21,58,19,3,39
May 22,59,18,4,41
May 23,70,29,4,41
May 24,86,41,4,45
May 25,106,61,4,45
May 26,121,76,4,45
May 27,121,74,4,47
