Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,18,16,0,2
Feb 16,20,17,1,3
Feb 17,22,19,1,3
Feb 18,22,19,1,3
Feb 19,23,20,1,3
Feb 20,24,21,1,3
Feb 21,26,23,1,3
Feb 22,26,23,1,3
Feb 23,28,25,1,3
Feb 24,30,27,1,3
Feb 25,31,25,1,6
Feb 26,32,26,1,6
Feb 27,32,26,1,6
Feb 28,34,28,1,6
Feb 29,39,29,1,10
Mar 01,40,27,1,13
Mar 02,41,28,1,13
Mar 03,42,29,1,13
Mar 04,42,29,1,13
Mar 05,44,31,1,13
Mar 06,45,29,1,16
Mar 07,45,29,1,16
Mar 08,45,29,1,16
Mar 09,45,29,1,16
Mar 10,47,29,1,18
Mar 11,48,27,1,21
Mar 12,49,28,1,21
Mar 13,50,29,1,21
Mar 14,53,32,1,21
Mar 15,59,38,1,21
Mar 16,67,46,1,21
Mar 17,77,56,1,21
Mar 18,100,77,1,23
Mar 19,108,81,1,27
Mar 20,135,105,2,30
Mar 21,153,123,2,30
Mar 22,169,139,2,30
Mar 23,195,165,2,30
Mar 24,216,185,2,31
Mar 25,235,204,2,31
Mar 26,252,221,2,31
Mar 27,267,235,2,32
Mar 28,283,251,2,32
Mar 29,298,256,3,42
Mar 30,306,262,5,44
Mar 31,322,278,5,44
Apr 01,329,279,5,50
Apr 02,339,284,5,55
Apr 03,348,293,5,55
Apr 04,355,300,5,55
Apr 05,363,304,5,59
Apr 06,373,311,5,62
Apr 07,376,310,5,66
Apr 08,379,307,5,72
Apr 09,380,295,5,85
Apr 10,382,285,6,97
Apr 11,385,280,6,105
Apr 12,388,273,6,115
Apr 13,393,273,6,120
