Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,1,1,0,0
Mar 17,1,1,0,0
Mar 18,3,3,0,0
Mar 19,6,6,0,0
Mar 20,6,6,0,0
Mar 21,6,6,0,0
Mar 22,12,12,0,0
Mar 23,12,12,0,0
Mar 24,12,12,0,0
Mar 25,13,13,0,0
Mar 26,13,13,0,0
Mar 27,13,12,0,1
Mar 28,14,13,0,1
Mar 29,14,13,0,1
Mar 30,19,18,0,1
Mar 31,19,17,1,2
Apr 01,20,18,1,2
Apr 02,20,17,1,3
Apr 03,20,16,1,4
Apr 04,20,16,1,4
Apr 05,22,18,1,4
Apr 06,24,20,1,4
Apr 07,24,18,1,6
Apr 08,25,19,1,6
Apr 09,25,19,1,6
Apr 10,32,24,3,8
Apr 11,32,24,3,8
Apr 12,32,24,3,8
Apr 13,49,39,3,10
