Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,1,1,0,0
Mar 17,1,1,0,0
Mar 18,3,3,0,0
Mar 19,6,6,0,0
Mar 20,6,6,0,0
Mar 21,6,6,0,0
Mar 22,12,12,0,0
Mar 23,12,12,0,0
Mar 24,12,12,0,0
Mar 25,13,13,0,0
Mar 26,13,13,0,0
Mar 27,13,12,0,1
Mar 28,14,13,0,1
Mar 29,14,13,0,1
Mar 30,19,18,0,1
Mar 31,19,17,1,2
Apr 01,20,18,1,2
Apr 02,20,17,1,3
Apr 03,20,16,1,4
Apr 04,20,16,1,4
Apr 05,22,18,1,4
Apr 06,24,20,1,4
Apr 07,24,18,1,6
Apr 08,25,19,1,6
Apr 09,25,19,1,6
Apr 10,32,24,3,8
Apr 11,32,24,3,8
Apr 12,32,24,3,8
Apr 13,49,39,3,10
Apr 14,53,43,3,10
Apr 15,88,73,4,15
Apr 16,94,79,4,15
Apr 17,147,131,5,16
Apr 18,147,131,5,16
Apr 19,170,152,7,18
Apr 20,254,233,10,21
Apr 21,254,233,10,21
Apr 22,284,263,10,21
Apr 23,284,263,10,21
Apr 24,299,241,10,58
Apr 25,299,241,10,58
Apr 26,299,241,10,58
Apr 27,299,241,10,58
Apr 28,299,241,10,58
Apr 29,480,297,16,183
Apr 30,480,297,16,183
May 01,480,297,16,183
May 02,480,297,16,183
May 03,480,297,16,183
May 04,480,297,16,183
May 05,480,297,16,183
May 06,480,297,16,183
May 07,480,297,16,183
May 08,509,305,21,204
May 09,509,305,21,204
May 10,509,305,21,204
May 11,509,305,21,204
May 12,509,305,21,204
May 13,509,305,21,204
May 14,509,305,21,204
May 15,509,305,21,204
May 16,509,305,21,204
May 17,509,305,21,204
May 18,509,305,21,204
May 19,509,305,21,204
May 20,509,305,21,204
May 21,509,305,21,204
May 22,509,305,21,204
May 23,509,305,21,204
May 24,509,305,21,204
May 25,509,305,21,204
May 26,509,305,21,204
May 27,509,305,21,204
May 28,509,305,21,204
May 29,509,305,21,204
May 30,509,305,21,204
May 31,509,305,21,204
Jun 01,509,305,21,204
Jun 02,509,305,21,204
Jun 03,509,305,21,204
Jun 04,509,305,21,204
Jun 05,509,305,21,204
Jun 06,509,305,21,204
Jun 07,509,305,21,204
Jun 08,509,305,21,204
Jun 09,509,305,21,204
Jun 10,509,305,21,204
Jun 11,509,305,21,204
Jun 12,509,305,21,204
Jun 13,509,305,21,204
Jun 14,509,305,21,204
Jun 15,509,305,21,204
Jun 16,509,305,21,204
Jun 17,509,305,21,204
Jun 18,509,305,21,204
Jun 19,509,305,21,204
Jun 20,509,305,21,204
Jun 21,509,305,21,204
Jun 22,509,305,21,204
Jun 23,509,305,21,204
Jun 24,509,305,21,204
Jun 25,509,305,21,204
Jun 26,509,305,21,204
Jun 27,509,305,21,204
Jun 28,509,305,21,204
Jun 29,509,305,21,204
Jun 30,509,305,21,204
Jul 01,509,305,21,204
Jul 02,509,305,21,204
Jul 03,509,305,21,204
Jul 04,509,305,21,204
Jul 05,509,305,21,204
Jul 06,509,305,21,204
Jul 07,509,305,21,204
Jul 08,509,305,21,204
Jul 09,509,305,21,204
Jul 10,509,305,21,204
Jul 11,509,305,21,204
Jul 12,509,305,21,204
Jul 13,509,305,21,204
Jul 14,509,305,21,204
Jul 15,509,305,21,204
Jul 16,509,305,21,204
Jul 17,509,305,21,204
Jul 18,509,305,21,204
Jul 19,509,305,21,204
Jul 20,509,305,21,204
Jul 21,509,305,21,204
Jul 22,509,305,21,204
Jul 23,509,305,21,204
Jul 24,509,305,21,204
Jul 25,509,305,21,204
Jul 26,509,305,21,204
Jul 27,509,305,21,204
Jul 28,509,305,21,204
Jul 29,509,305,21,204
Jul 30,509,305,21,204
Jul 31,509,305,21,204
Aug 01,509,305,21,204
Aug 02,509,305,21,204
Aug 03,509,305,21,204
Aug 04,509,305,21,204
Aug 05,509,305,21,204
Aug 06,509,305,21,204
Aug 07,509,305,21,204
Aug 08,509,305,21,204
Aug 09,509,305,21,204
Aug 10,509,305,21,204
Aug 11,509,305,21,204
Aug 12,509,305,21,204
Aug 13,509,305,21,204
Aug 14,509,305,21,204
Aug 15,509,305,21,204
Aug 16,509,305,21,204
Aug 17,509,305,21,204
Aug 18,509,305,21,204
Aug 19,509,305,21,204
Aug 20,509,305,21,204
