Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,34,20,0,14
Feb 16,34,20,0,14
Feb 17,35,20,0,15
Feb 18,35,18,0,17
Feb 19,35,18,0,17
Feb 20,35,18,0,17
Feb 21,35,16,0,19
Feb 22,35,15,0,20
Feb 23,35,14,0,21
Feb 24,35,20,0,15
Feb 25,37,15,0,22
Feb 26,40,18,0,22
Feb 27,40,12,0,28
Feb 28,41,13,0,28
Feb 29,42,14,0,28
Mar 01,42,11,1,31
Mar 02,43,12,1,31
Mar 03,43,12,1,31
Mar 04,43,12,1,31
Mar 05,47,15,1,32
Mar 06,48,16,1,32
Mar 07,50,18,1,32
Mar 08,50,16,1,34
Mar 09,50,16,1,34
Mar 10,53,19,1,34
Mar 11,59,24,1,35
Mar 12,70,34,1,36
Mar 13,75,39,1,36
Mar 14,82,46,1,36
Mar 15,114,78,1,36
Mar 16,147,111,1,36
Mar 17,177,135,1,42
Mar 18,212,169,1,43
Mar 19,272,229,1,43
Mar 20,322,279,1,43
Mar 21,411,366,1,45
Mar 22,599,554,1,45
Mar 23,721,668,1,53
Mar 24,827,771,4,56
Mar 25,934,860,4,74
Mar 26,1045,953,4,92
Mar 27,1136,1034,5,102
Mar 28,1245,1142,6,103
Mar 29,1388,1152,7,236
Mar 30,1524,1286,9,238
Mar 31,1651,1299,10,352
Apr 01,1771,1254,12,517
Apr 02,1875,1355,15,520
Apr 03,1978,1347,19,631
Apr 04,2067,1373,20,694
Apr 05,2169,1353,23,816
Apr 06,2220,1401,26,819
Apr 07,2258,1343,27,915
Apr 08,2369,1451,30,918
Apr 09,2423,1451,32,972
Apr 10,2473,1427,33,1046
Apr 11,2518,1348,35,1170
Apr 12,2551,1295,38,1256
Apr 13,2579,1251,40,1328
Apr 14,2613,1167,41,1446
Apr 15,2643,1103,43,1540
Apr 16,2672,1033,46,1639
Apr 17,2700,964,47,1736
Apr 18,2733,899,47,1834
Apr 19,2765,790,47,1975
Apr 20,2792,746,47,2046
Apr 21,2811,655,48,2156
Apr 22,2826,425,49,2401
Apr 23,2839,359,50,2480
Apr 24,2854,314,50,2540
Apr 25,2907,309,51,2598
Apr 26,2922,277,51,2645
Apr 27,2931,270,52,2661
Apr 28,2938,232,54,2706
Apr 29,2947,228,54,2719
Apr 30,2954,213,54,2741
May 01,2960,187,54,2773
May 02,2966,180,54,2786
May 03,2969,176,54,2793
May 04,2987,193,54,2794
May 05,2988,187,54,2801
May 06,2989,173,55,2816
May 07,2992,165,55,2827
May 08,3000,161,55,2839
May 09,3004,161,56,2843
May 10,3009,159,56,2850
May 11,3015,163,56,2852
May 12,3017,163,56,2854
May 13,3017,117,56,2900
May 14,3018,112,56,2906
May 15,3025,115,56,2910
May 16,3025,114,56,2911
May 17,3028,116,56,2912
May 18,3031,118,56,2913
May 19,3033,120,56,2913
May 20,3034,90,56,2944
May 21,3037,84,56,2953
May 22,3037,71,56,2966
May 23,3040,68,56,2972
May 24,3040,63,56,2977
May 25,3042,57,57,2985
May 26,3045,59,57,2986
May 27,3054,66,57,2988
